"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,129946316,118629090,1,4,,,,5,23,"F",1,1,"N",23,0
2019,129952574,118624130,1,1,,,,,,"",,,"",,
2019,129946330,118629102,1,1,,,,,,"",,,"",,
2019,129956304,118629107,1,4,,,,5,59,"F",1,2,"",59,0
2019,129952582,118620152,1,8,,,,,,"",,,"",,
2019,129952596,118624154,1,4,,,,5,42,"F",1,2,"N",42,0
2019,129946363,118620169,1,1,,,,,,"",,,"",,
2019,129956379,118624207,1,8,,,,,,"",,,"",,
2019,129956384,118620217,1,4,,,,5,44,"F",2,2,"R",44,0
2019,129952669,118620229,1,4,,,,5,33,"F",2,2,"R",33,0
2019,129946422,118624227,1,4,,,,5,26,"M",1,,"",26,0
2019,129946432,118629197,1,4,,,,5,27,"F",1,2,"R",27,0
2019,129946438,118629206,1,8,,,,,,"",,,"",,
2019,129952699,118620252,1,1,,,,,,"",,,"",,
2019,129946460,118629218,1,4,,,,5,37,"F",2,2,"R",37,0
2019,129956454,118620267,1,4,,,,5,28,"F",1,,"",28,0
2019,129946496,118629244,1,4,,,,5,41,"F",2,2,"R",41,0
2019,129946500,118629248,1,4,,,,5,12,"M",1,1,"R",12,0
2019,129956467,118629254,1,4,,,,5,55,"F",1,1,"R",55,0
2019,129946527,118629269,1,4,,,,5,59,"F",1,2,"N",59,0
2019,129946529,118629273,1,4,,,,5,18,"M",1,1,"R",18,0
2019,129952750,118620291,1,4,,,,5,41,"F",1,2,"N",41,0
2019,129946548,118624324,1,1,,,,,,"",,,"",,
2019,129946558,118629299,1,8,,,,,,"",,,"",,
2019,129946562,118629303,1,4,,,,5,10,"M",2,2,"R",10,0
2019,129946572,118629314,1,4,,,,5,76,"M",1,3,"R",76,0
2019,129946580,118629319,1,4,,,,5,45,"F",1,1,"R",45,0
2019,129946586,118629327,1,8,,,,,,"",,,"",,
2019,129946592,118620348,1,1,,,,,,"",,,"",,
2019,129956626,118624441,1,1,,,,,,"",,,"",,
2019,129946662,118629404,1,4,,,,5,51,"F",2,2,"R",51,0
2019,129956635,118624451,1,4,,,,5,39,"F",2,2,"",39,0
2019,129957911,118620420,1,4,,,,5,55,"M",1,2,"R",55,0
2019,129957934,118629430,1,4,,,,5,65,"M",2,2,"R",65,0
2019,129956676,118629444,1,4,,,,5,20,"M",2,3,"R",20,0
2019,129946707,118629458,1,4,,,,5,70,"M",1,,"",70,0
