"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2019,17400,117080888,8200372,"N",22-OCT-19,06-AUG-19,"R",5,6,,0,"C","F",58720686
2019,17400,117080311,8200372,"",22-OCT-19,15-AUG-19,"",20,6,,0,"C","F",58719734
2019,17400,117080448,8200372,"",22-OCT-19,14-AUG-19,"",0,6,,0,"C","F",58719935
2019,17400,117080527,8200372,"",22-OCT-19,10-AUG-19,"",23,6,,0,"C","F",58720078
2019,17400,117080846,8208034,"N",22-OCT-19,01-SEP-19,"",18,6,,0,"C","F",58720617
2019,17400,117080858,8208034,"N",22-OCT-19,01-SEP-19,"",13,6,,0,"C","F",58720635
2019,17400,117081342,8200372,"",22-OCT-19,26-AUG-19,"",3,6,,0,"C","F",58721369
2019,17400,117081409,8200372,"",22-OCT-19,23-AUG-19,"",16,6,,0,"C","F",58721456
2019,17400,117081455,8208034,"",22-OCT-19,17-SEP-19,"",22,6,,0,"C","F",58721540
2019,17400,117064468,8200372,"",22-OCT-19,21-AUG-19,"",12,6,,0,"C","F",58721675
2019,17400,117081592,8208034,"",22-OCT-19,12-SEP-19,"",14,6,,0,"C","F",58721767
2019,17400,117064507,8200372,"",22-OCT-19,04-AUG-19,"",15,6,,0,"C","F",58722687
2019,17400,117064316,8200372,"",22-OCT-19,29-AUG-19,"",9,6,,0,"C","F",58718318
2019,17400,117064322,8192710,"",22-OCT-19,31-JUL-19,"R",16,6,,0,"C","F",58718483
2019,17400,117079700,8200372,"N",22-OCT-19,23-AUG-19,"",10,6,,0,"C","F",58718950
2019,17400,117079755,8208034,"",22-OCT-19,20-SEP-19,"",18,6,,0,"C","F",58712114
2019,17400,117080043,8208034,"",22-OCT-19,17-SEP-19,"",8,6,,0,"C","F",58719373
2019,17400,111573448,8154400,"N",28-MAY-19,23-FEB-19,"",7,6,,0,"C","F",47334633
2019,17400,111569806,8154400,"N",28-MAY-19,13-FEB-19,"",15,6,,0,"C","F",47334664
2019,17400,111565795,8154400,"N",28-MAY-19,11-FEB-19,"R",7,6,,0,"C","F",47334677
2019,17400,111569790,8154400,"N",28-MAY-19,21-FEB-19,"",13,6,,0,"C","F",47330815
2019,17400,111565788,8154400,"N",28-MAY-19,14-FEB-19,"",16,6,,0,"C","F",47334660
2019,17400,111573475,8154400,"",28-MAY-19,05-FEB-19,"",20,6,,0,"C","F",47334689
2019,17400,111569829,8146738,"",28-MAY-19,23-JAN-19,"",18,6,,0,"C","F",47330860
2019,17400,111565818,8154400,"",28-MAY-19,26-FEB-19,"",1,6,,0,"C","F",47334702
2019,17400,111569841,8154400,"N",28-MAY-19,20-FEB-19,"",9,6,,0,"C","F",47334715
2019,17400,111569845,8154400,"",28-MAY-19,14-FEB-19,"",1,6,,0,"C","F",47334722
2019,17400,111565856,8162062,"",28-MAY-19,24-MAR-19,"",19,6,,0,"C","F",47334766
2019,17400,111569900,8162062,"",28-MAY-19,17-MAR-19,"",22,6,,0,"C","F",47330954
2019,17400,111565879,8162062,"",28-MAY-19,08-MAR-19,"",0,6,,0,"C","F",47337939
2019,17400,111573532,8154400,"",28-MAY-19,12-FEB-19,"",16,6,,0,"C","F",47337950
2019,17400,111565896,8162062,"N",28-MAY-19,07-MAR-19,"",17,6,,0,"C","F",47334809
2019,17400,111565900,8162062,"",28-MAY-19,06-MAR-19,"",20,6,,0,"C","F",47334811
2019,17400,111565905,8162062,"N",28-MAY-19,05-MAR-19,"",6,6,,0,"C","F",47330985
2019,17400,111569926,8162062,"N",28-MAY-19,24-MAR-19,"",18,6,,0,"C","F",47337976
2019,17400,111569932,8162062,"",28-MAY-19,17-MAR-19,"",23,6,,0,"C","F",47341013
2019,17400,111569936,8162062,"",28-MAY-19,06-MAR-19,"",13,6,,0,"C","F",47338003
2019,17400,107845967,8146738,"",29-MAR-19,03-JAN-19,"",12,6,,0,"C","F",40636881
2019,17400,107851894,8146738,"N",29-MAR-19,02-JAN-19,"R",14,6,,0,"C","F",40641571
2019,17400,107851852,8146738,"",29-MAR-19,27-JAN-19,"",9,6,,0,"C","F",40629514
2019,17400,107851859,8146738,"",29-MAR-19,23-JAN-19,"",12,6,,0,"C","F",40641501
2019,17400,111569825,8154400,"",28-MAY-19,04-FEB-19,"",15,6,,0,"C","F",47334691
2019,17400,111569837,8154400,"N",28-MAY-19,27-FEB-19,"",12,6,,0,"C","F",47330869
2019,17400,111573493,8154400,"",28-MAY-19,11-FEB-19,"",13,6,,0,"C","F",47337881
2019,17400,111569855,8154400,"",28-MAY-19,05-FEB-19,"",9,6,,0,"C","F",47334739
2019,17400,111565838,8162062,"N",28-MAY-19,31-MAR-19,"",23,6,,0,"C","F",47330921
2019,17400,111573499,8162062,"N",28-MAY-19,28-MAR-19,"R",13,6,,0,"C","F",47334755
2019,17400,111573522,8162062,"",28-MAY-19,13-MAR-19,"",7,6,,0,"C","F",47330968
2019,17400,111573531,8162062,"",28-MAY-19,08-MAR-19,"",16,6,,0,"C","F",47337952
2019,17400,111569919,8162062,"N",28-MAY-19,05-MAR-19,"",15,6,,0,"C","F",47334815
2019,17400,111565910,8162062,"N",28-MAY-19,03-MAR-19,"",19,6,,0,"C","F",47337962
2019,17400,111573545,8162062,"",28-MAY-19,30-MAR-19,"",16,6,,0,"C","F",47337968
2019,17400,107849552,8146738,"N",29-MAR-19,29-JAN-19,"R",9,6,,0,"C","F",40636831
2019,17400,107849562,8146738,"",29-MAR-19,24-JAN-19,"",14,6,,0,"C","F",40636840
2019,17400,107845952,8146738,"N",29-MAR-19,15-JAN-19,"",16,6,,0,"C","F",40641530
2019,17400,107845959,8146738,"N",29-MAR-19,09-JAN-19,"",15,6,,0,"C","F",40636869
2019,17400,107851885,8146738,"",29-MAR-19,07-JAN-19,"",10,6,,0,"C","F",40641555
2019,17400,107849624,8146738,"",29-MAR-19,18-JAN-19,"",0,6,,0,"C","F",40636905
2019,17400,107845925,8146738,"N",29-MAR-19,19-JAN-19,"",15,6,,0,"C","F",40636833
2019,17400,107845943,8146738,"",29-MAR-19,22-JAN-19,"R",7,6,,0,"C","F",40641507
2019,17400,107849577,8146738,"N",29-MAR-19,18-JAN-19,"R",8,6,,0,"C","F",40636851
2019,17400,107849584,8146738,"N",29-MAR-19,13-JAN-19,"",0,6,,0,"C","F",40636854
2019,17400,107849593,8146738,"",29-MAR-19,10-JAN-19,"",16,6,,0,"C","F",40641544
2019,17400,107851892,8146738,"N",29-MAR-19,03-JAN-19,"R",12,6,,0,"C","F",40636882
2019,17400,107849627,8146738,"",29-MAR-19,13-JAN-19,"",15,6,,0,"C","F",40641603
2019,17400,107851846,8146738,"",29-MAR-19,30-JAN-19,"",8,6,,0,"C","F",40641481
2019,17400,107849556,8146738,"",29-MAR-19,27-JAN-19,"",7,6,,0,"C","F",40641489
2019,17400,107845931,8146738,"",29-MAR-19,24-JAN-19,"",17,6,,0,"C","F",40629519
2019,17400,107849568,8146738,"",29-MAR-19,08-JAN-19,"",13,6,,0,"C","F",40629529
2019,17400,107849573,8146738,"N",29-MAR-19,04-JAN-19,"",13,6,,0,"C","F",40641514
2019,17400,107851890,8146738,"",29-MAR-19,05-JAN-19,"",21,6,,0,"C","F",40636877
2019,17400,107845968,8146738,"N",29-MAR-19,02-JAN-19,"",11,6,,0,"C","F",40641567
2019,17400,107845947,8146738,"",29-MAR-19,19-JAN-19,"",9,6,,0,"C","F",40641515
2019,17400,107845950,8146738,"N",29-MAR-19,15-JAN-19,"",13,6,,0,"C","F",40641525
2019,17400,107845951,8146738,"N",29-MAR-19,12-JAN-19,"",12,6,,0,"C","F",40629535
2019,17400,107845980,8146738,"",29-MAR-19,18-JAN-19,"",10,6,,0,"C","F",40641593
2019,17400,107849633,8146738,"",29-MAR-19,11-JAN-19,"",20,6,,0,"C","F",40629579
2019,17400,107849563,8146738,"",29-MAR-19,23-JAN-19,"",17,6,,0,"C","F",40636845
2019,17400,107849571,8146738,"",29-MAR-19,19-JAN-19,"",15,6,,0,"C","F",40641512
2019,17400,107845953,8146738,"",29-MAR-19,15-JAN-19,"R",15,6,,0,"C","F",40636857
2019,17400,107849610,8146738,"",29-MAR-19,03-JAN-19,"",15,6,,0,"C","F",40636880
