"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,16,123600351,2,9,13614688
2019,1,123600351,0.2,1,13614687
2019,5,123593475,18.7,1,13619063
2019,5,123600466,3.2,1,13619067
2019,5,123600475,1,1,13619070
2019,1,123600475,1,1,13619069
2019,1,123604737,1,1,13605739
2019,5,123604737,2,1,13605740
2019,5,123600491,2.8,1,13619071
2019,2,123593537,0.4,1,13619076
2019,1,123600573,0.01,1,13605757
2019,4,123604879,1,1,13614740
2019,5,123600639,10.35,4,13614742
2019,5,123593621,30.5,1,13619087
2019,5,123605049,0.9,1,13605797
2019,11,123600830,15,9,13605803
2019,5,123600851,1.6,1,13605805
2019,17,123600923,,,13605812
2019,5,123601002,8.84,4,13605819
2019,5,123605234,29,1,13614793
2019,5,123605280,2,1,13614798
2019,5,123605289,6.5,1,13614799
2019,5,123605290,26,1,13614800
2019,5,115502448,1,1,11231681
2019,5,115510224,9,1,11231697
2019,2,115505757,3.5,1,11228065
2019,12,115505757,0.05,1,11223122
2019,5,115505757,75,1,11228066
2019,5,115510272,0.05,1,11223123
2019,1,115506044,1.78,1,11223162
2019,3,115510866,0.7,1,11228153
2019,12,115510866,0.62,1,11223167
2019,5,115510866,0.77,1,11228154
2019,5,115503168,0.1,1,11231770
2019,16,115503222,21,9,11228174
2019,17,115503222,1,1,11231784
2019,4,115503555,15,7,11231852
2019,5,115511315,3.74,1,11231862
2019,5,115511324,1.9,1,11228262
2019,1,115511335,2.1,1,11223244
2019,8,115511335,4.1,1,11231865
2019,5,115506302,0.005,1,11228267
2019,5,115511439,2.69,1,11228281
2019,5,115511546,0.3,1,11223261
2019,7,115503778,28,1,11228317
2019,12,115503887,5,1,11231918
2019,12,115503946,0.36,1,11228378
2019,12,115511973,0.9,1,11228391
2019,16,115506530,1,9,11223294
2019,5,115503996,31,1,11223296
2019,12,115503996,17,1,11231939
2019,14,115512016,1,9,11231943
2019,5,115512016,2.74,1,11231942
2019,5,115512029,1,1,11228402
2019,5,115504079,1,1,11223298
2019,1,115512147,3.3,1,11228434
2019,5,115504138,1,1,11228469
2019,5,115506616,1,1,11223315
2019,1,115514214,0.4,1,11228494
2019,5,115506650,0.5,1,11228502
2019,2,115506661,3,1,11223325
2019,5,115514259,25.1,1,11231999
2019,2,115512566,0.2,1,11232027
2019,13,115512566,1,9,11228569
2019,5,115514416,36.4,1,11232045
2019,5,115512618,5,1,11232047
2019,12,115506800,0.5,1,11223376
2019,12,115514438,1.8,1,11223377
2019,5,115514446,4,1,11228598
2019,2,115514481,0.5,1,11232067
2019,5,115506842,3,1,11228615
2019,5,115514579,0.8,1,11223410
2019,5,115514581,1.5,1,11228654
2019,5,115506910,1,1,11228659
2019,5,115514600,7,1,11228669
2019,5,115514613,0.1,1,11228675
2019,5,115506941,2,1,11223427
2019,5,115506969,1,1,11228689
2019,5,115506970,3,1,11223434
2019,5,115514670,0.02,1,11232127
2019,5,115512984,0.5,1,11228702
2019,5,115514687,0.2,1,11228703
2019,5,115506998,2,1,11228711
2019,12,115507003,3.5,1,11223444
2019,5,115513156,1,1,11228760
2019,5,115513187,83,1,11228764
2019,5,115514883,18,1,11228774
2019,5,115507150,1,1,11232196
2019,5,115514957,3,1,11232202
2019,16,115515010,3,1,11232213
2019,12,115515010,2,1,11232212
2019,5,115513398,20,1,11228812
2019,8,115513424,1.98,1,11228819
