"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2016,109666564,85601105,49,"C",20,0,"N"
2016,109666632,87695958,49,"C",20,0,"N"
2016,109666656,87042971,49,"C",20,0,"N"
2016,109666667,87045048,44,"C",20,,""
2016,109666670,87046072,44,"C",20,,""
2016,107238258,85001370,44,"C",20,,""
2016,107238297,85002255,44,"C",20,,""
2016,107238312,85002267,49,"C",20,0,"N"
2016,107239388,84814974,7,"C",20,,""
2016,107239411,84814995,7,"C",20,,""
2016,107240481,87374904,49,"C",20,0,"N"
2016,107240520,87374941,49,"C",20,0,"N"
2016,107241586,83099444,44,"C",20,,""
2016,107241591,83099448,49,"C",20,0,"F"
2016,107241596,83099453,44,"C",20,,""
2016,107242688,83105579,44,"C",20,,""
2016,107242690,83105581,49,"C",20,0,"N"
2016,107242698,83105589,49,"C",20,0,"N"
2016,107242723,83105616,44,"C",20,,""
2016,107238335,85002291,44,"C",20,,""
2016,107238340,85002295,44,"C",20,,""
2016,107238350,85002304,49,"C",20,0,"N"
2016,107238363,85002315,49,"C",20,0,"N"
2016,107238384,85002330,7,"C",25,,""
2016,107238387,85002334,44,"C",20,,""
2016,107240545,87374966,49,"C",20,0,"N"
2016,107240560,83093186,49,"A",20,0,"F"
2016,107240573,83093201,44,"C",20,,""
2016,107240590,83093214,49,"C",20,0,"F"
2016,107241648,83100373,49,"C",20,0,"N"
2016,107241675,83100400,44,"C",20,,""
2016,107241676,83100402,49,"C",22,0,"N"
2016,107241679,83100404,49,"C",20,0,"F"
2016,107242788,85679607,44,"C",25,,""
2016,107242791,85679611,49,"C",20,0,"N"
2016,107242813,85679630,44,"C",20,,""
2016,107242816,85679633,49,"C",20,0,"N"
2016,107242818,85679634,44,"C",20,,""
2016,107238410,85002357,49,"C",20,0,"N"
2016,107238420,85002364,49,"C",20,0,"N"
2016,107238432,85002377,49,"C",20,0,"F"
2016,107238446,85002391,49,"C",20,0,"N"
2016,107238455,85002403,49,"C",20,0,"N"
2016,107238458,85002406,49,"C",20,0,"N"
2016,107239504,84815921,49,"C",20,0,"N"
2016,107239526,84815944,44,"C",20,,""
2016,107240620,83093244,44,"C",20,,""
2016,107240662,83094161,44,"C",20,,""
2016,107241745,83100464,49,"C",20,0,"F"
2016,107241764,83100485,44,"C",22,,""
2016,107241770,83100492,49,"C",20,0,"N"
2016,107241782,83100503,44,"C",20,,""
2016,107242830,85679648,49,"C",20,0,"N"
2016,107242852,85679669,49,"C",20,0,"N"
2016,107242861,85679675,49,"C",20,0,"N"
2016,107242863,85679676,44,"C",20,,""
2016,107242873,85680536,44,"C",20,,""
2016,107242875,85680538,44,"C",20,,""
2016,107242888,85680554,44,"C",20,,""
2016,109106011,85010367,49,"C",20,0,"N"
2016,109106014,85012271,49,"C",20,0,"N"
2016,109106028,83208008,49,"C",20,0,"N"
2016,109106044,87696778,49,"C",20,0,"N"
2016,109573449,86735017,49,"C",20,0,"F"
2016,109573451,86735045,49,"C",20,0,"N"
2016,109573463,86738944,44,"C",25,,""
2016,109573471,86742803,49,"C",20,0,"F"
2016,109573499,86752918,49,"C",20,0,"N"
2016,109573501,86753895,49,"C",20,0,"N"
2016,109573507,86754871,40,"A",25,,""
2016,109573524,86759866,49,"C",20,0,"N"
2016,109573570,86775198,49,"C",20,0,"F"
2016,109573586,84716690,49,"C",20,0,"N"
2016,109573596,84719663,49,"C",20,0,"N"
2016,109573605,84721776,44,"C",20,,""
2016,109760347,87225739,49,"C",24,0,"N"
2016,109760382,87239765,49,"C",20,0,"N"
2016,109760384,87240699,49,"C",20,0,"N"
2016,109759735,83098341,44,"C",20,,""
2016,109759771,85680573,44,"C",20,,""
2016,109759774,83918226,49,"C",20,0,"F"
2016,109759810,85008322,49,"C",20,0,"N"
2016,109759840,83207969,49,"C",20,0,"N"
2016,109759854,87694204,44,"C",20,,""
2016,109760138,86727050,49,"C",25,0,"N"
2016,109760152,86730080,7,"C",25,,""
2016,109760163,86732973,49,"C",20,0,"F"
2016,109760164,86733017,49,"C",20,0,"N"
2016,109760173,86735914,44,"C",24,,""
2016,109760210,86751899,49,"C",20,0,"F"
2016,109760215,86752893,49,"C",20,0,"F"
2016,109760217,86752963,49,"C",24,0,"F"
2016,109760221,86753901,49,"C",17,0,"F"
2016,109760226,86754891,49,"C",24,0,"F"
2016,109760234,86756973,49,"C",20,0,"N"
2016,109760235,86757930,44,"C",20,,""
2016,109760253,86764936,49,"C",20,0,"N"
2016,109760286,84309798,49,"C",20,0,"N"
2016,109760288,84715719,49,"C",20,0,"N"
2016,109853895,87224596,49,"C",20,0,"N"
2016,109853908,87228636,49,"C",20,0,"N"
2016,109853915,87230722,49,"C",20,0,"N"
2016,109853923,87232640,49,"C",20,0,"N"
2016,109853343,83094239,44,"C",25,,""
2016,109853361,83104557,49,"C",20,0,"F"
2016,109853366,83104662,49,"C",24,0,"N"
2016,109853389,85005269,49,"C",20,0,"N"
2016,109853397,85007400,49,"C",20,0,"N"
2016,109853405,85009411,7,"C",20,,""
2016,109853686,86726046,44,"C",20,,""
2016,109853689,86727130,49,"C",20,0,"F"
2016,109853690,86727142,49,"C",20,0,"F"
2016,109853718,86735941,49,"A",20,0,"N"
2016,109853727,86738881,49,"C",20,0,"N"
2016,109853745,86747805,49,"C",20,0,"F"
2016,109853750,86749876,49,"C",20,0,"N"
2016,109853760,86752904,40,"C",25,,""
2016,109853771,86755864,44,"C",20,,""
2016,109853772,86755950,7,"C",20,,""
2016,109853780,86757929,49,"C",20,0,"F"
2016,109853850,84717750,7,"C",20,,""
2016,109853884,87221503,49,"C",20,0,"N"
2016,107238490,85003268,49,"C",20,0,"N"
2016,107238515,85003294,49,"C",20,0,"N"
2016,107238524,85003301,49,"C",20,0,"N"
2016,107239587,84816004,49,"C",20,0,"N"
2016,107239594,84816013,49,"C",20,0,"N"
2016,107239628,84816880,49,"C",20,0,"N"
2016,107239637,84816889,49,"C",20,0,"N"
2016,107240712,83094216,44,"C",20,,""
2016,107240719,83094223,49,"C",20,0,"F"
2016,107240735,83094245,44,"C",20,,""
2016,107240742,83094252,49,"C",20,0,"N"
2016,107240747,83094257,44,"C",22,,""
2016,107241785,83100506,49,"C",20,0,"N"
2016,107242900,85680572,44,"C",20,,""
2016,107242933,85680609,44,"C",20,,""
2016,107238565,85003344,49,"C",20,0,"N"
2016,107238578,85003355,44,"C",20,,""
2016,107238589,85003366,49,"C",20,0,"N"
2016,107239666,84816916,49,"C",20,0,"N"
2016,107240754,83094264,49,"C",20,0,"N"
2016,107240772,83094283,49,"C",20,0,"N"
2016,107240803,83095187,49,"C",24,0,"F"
2016,107240813,83095200,44,"C",20,,""
2016,107240814,83095201,49,"C",20,0,"N"
2016,107240816,83095203,49,"C",20,0,"N"
2016,107241901,83101479,44,"C",24,,""
2016,107241915,83101496,44,"C",20,,""
2016,107241918,83101499,44,"C",20,,""
2016,107241920,83101501,49,"C",20,0,"N"
2016,107242958,85680633,49,"C",20,0,"N"
2016,107242959,85680634,49,"C",20,0,"N"
2016,107242975,84301023,49,"C",20,0,"F"
2016,107242981,84301031,49,"C",25,0,"N"
2016,107242986,84301037,49,"C",20,0,"N"
2016,107242996,83917230,49,"C",24,0,"F"
2016,107243027,83917257,49,"C",20,0,"F"
2016,107238661,85004266,49,"C",20,0,"N"
2016,107238662,85004267,49,"C",20,0,"F"
2016,107238669,85004274,44,"C",20,,""
2016,107239730,84816982,49,"C",20,0,"N"
2016,107239744,84816998,7,"C",25,,""
2016,107239754,84817007,49,"C",20,0,"N"
2016,107239764,84817016,49,"C",20,0,"N"
2016,107239766,84817019,49,"C",20,0,"N"
2016,107240850,83095236,44,"C",20,,""
2016,107240866,83095252,49,"C",20,0,"N"
2016,107240878,83095266,49,"C",20,0,"N"
2016,107241942,83101529,49,"C",20,0,"N"
2016,107241951,83101539,49,"C",20,0,"N"
2016,107243057,83918211,49,"C",20,0,"F"
2016,107243066,83918220,49,"C",20,0,"N"
2016,107243083,83918237,49,"C",20,0,"N"
2016,107243084,83918238,49,"C",20,0,"N"
2016,107243090,83918243,49,"C",20,0,"F"
2016,109759882,84252488,49,"C",20,0,"N"
2016,109759884,83069313,49,"C",20,0,"N"
2016,109759901,87051237,49,"C",20,0,"N"
2016,109759962,83176881,49,"C",20,0,"N"
2016,109759983,86821701,49,"C",20,0,"N"
2016,109760297,84716698,49,"C",20,0,"F"
2016,109760315,87219492,49,"C",20,0,"N"
2016,107238693,85004297,49,"C",20,0,"N"
2016,107239790,84817884,7,"C",20,,""
2016,107239827,84817921,49,"C",20,0,"N"
2016,107239829,84817924,40,"C",20,,""
2016,107240906,83095294,44,"C",20,,""
2016,107240915,83095302,49,"C",20,0,"F"
2016,107240944,83095332,44,"C",20,,""
2016,107240948,83095336,49,"C",22,0,"F"
2016,107240951,83095338,44,"C",20,,""
2016,107241994,83102458,44,"C",20,,""
2016,107242024,83102487,49,"C",20,0,"F"
2016,107242043,83102508,49,"C",20,0,"N"
2016,107243100,83918253,44,"C",20,,""
2016,107243103,83918256,49,"C",20,0,"F"
2016,107243105,83918257,49,"C",20,0,"F"
2016,107243116,83918268,49,"C",25,0,"F"
2016,107243117,83918270,49,"C",25,0,"F"
2016,107243123,83918275,49,"C",20,0,"N"
2016,107238748,85004347,49,"C",20,0,"N"
2016,107238763,85004361,49,"C",30,0,"F"
2016,107238767,85004363,49,"C",20,0,"N"
2016,107238813,85352674,49,"C",20,0,"F"
2016,107239853,84817951,49,"C",20,0,"N"
2016,107239895,84817995,49,"C",20,0,"N"
2016,107239914,84818016,44,"C",20,,""
2016,107240963,83095353,44,"C",20,,""
2016,107240980,83096233,49,"C",20,0,"N"
2016,107241012,83096264,49,"C",20,0,"N"
2016,107242074,83102538,49,"C",20,0,"N"
2016,107242080,83102546,49,"C",20,0,"F"
2016,107242101,83102571,44,"C",20,,""
2016,107242105,83102575,40,"C",24,,""
2016,107243218,83629978,49,"C",20,0,"N"
2016,107243222,83629982,44,"C",20,,""
2016,107243233,87556255,49,"C",20,0,"N"
2016,107238821,85352680,49,"C",20,0,"N"
2016,107238838,85352697,49,"C",20,0,"N"
2016,107238843,85352700,49,"C",3,0,"F"
