"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2018,7839785,18088,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_SD0410100_NIBRS",41556005,0
2018,7841683,18088,2,2018,"I",,"Y","G","C","2018_02_SD0410100_NIBRS",41563045,0
2018,8269771,18088,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_SD0410100_NIBRS",26054197,0
2018,8268810,18088,4,2018,"I",01-APR-04,"Y","F","C","2018_04_SD0410100_NIBRS",41563049,0
2018,8269773,18088,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_SD0410100_NIBRS",41606534,0
2018,8268811,18088,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_SD0410100_NIBRS",41568475,0
2018,8575007,18088,7,2018,"I",05-FEB-19,"Y","F","C","2018_07_SD0410100_NIBRS",41568487,0
2018,8575009,18088,8,2018,"I",05-FEB-19,"Y","F","C","2018_08_SD0410100_NIBRS",41606487,0
2018,8479817,18088,9,2018,"I",05-FEB-19,"Y","F","C","2018_09_SD0410100_NIBRS",41563071,0
2018,8575012,18088,10,2018,"I",05-FEB-19,"Y","F","C","2018_10_SD0410100_NIBRS",41563074,0
2018,8575013,18088,11,2018,"I",05-FEB-19,"Y","F","C","2018_11_SD0410100_NIBRS",41563077,0
2018,8575000,18088,12,2018,"I",05-FEB-19,"Y","F","C","2018_12_SD0410100_NIBRS",41568440,0
2018,7838278,18024,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_SD0150000_NIBRS",16691862,0
2018,7838277,18024,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_SD0150000_NIBRS",48282577,0
2018,7877606,18024,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_SD0150000_NIBRS",41550264,0
2018,7952650,18024,4,2018,"I",01-APR-04,"Y","F","C","2018_04_SD0150000_NIBRS",41553858,0
2018,7952651,18024,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_SD0150000_NIBRS",41553875,0
2018,7971020,18024,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_SD0150000_NIBRS",41558793,0
2018,8269728,18024,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_SD0150000_NIBRS",41558804,0
2018,8271091,18024,8,2018,"I",01-AUG-08,"Y","F","C","2018_08_SD0150000_NIBRS",41558787,0
2018,8574901,18024,9,2018,"I",05-FEB-19,"Y","F","C","2018_09_SD0150000_NIBRS",42849459,0
2018,8575651,18024,10,2018,"I",05-FEB-19,"Y","F","C","2018_10_SD0150000_NIBRS",42849468,0
2018,8575653,18024,11,2018,"I",05-FEB-19,"Y","F","C","2018_11_SD0150000_NIBRS",41558836,0
2018,8575652,18024,12,2018,"I",05-FEB-19,"Y","F","C","2018_12_SD0150000_NIBRS",48275191,0
2018,8690729,18031,1,2018,"Z",28-FEB-19,"Y","F","C","2018_01_SD0180000_NIBRS",42855868,0
2018,8690731,18031,2,2018,"Z",28-FEB-19,"Y","F","C","2018_02_SD0180000_NIBRS",42855869,0
2018,8690734,18031,3,2018,"Z",28-FEB-19,"Y","F","C","2018_03_SD0180000_NIBRS",42855870,0
2018,8687928,18031,4,2018,"Z",28-FEB-19,"Y","F","C","2018_04_SD0180000_NIBRS",42855871,0
2018,8690743,18031,5,2018,"Z",28-FEB-19,"Y","F","C","2018_05_SD0180000_NIBRS",42855872,0
2018,8690745,18031,6,2018,"Z",28-FEB-19,"Y","F","C","2018_06_SD0180000_NIBRS",42855873,0
2018,8687937,18031,7,2018,"Z",28-FEB-19,"Y","F","C","2018_07_SD0180000_NIBRS",42850439,0
2018,8686797,18031,8,2018,"Z",28-FEB-19,"Y","F","C","2018_08_SD0180000_NIBRS",42856359,0
2018,8690750,18031,9,2018,"Z",28-FEB-19,"Y","F","C","2018_09_SD0180000_NIBRS",42856362,0
2018,8690753,18031,10,2018,"Z",28-FEB-19,"Y","F","C","2018_10_SD0180000_NIBRS",42855881,0
2018,8690757,18031,11,2018,"Z",28-FEB-19,"Y","F","C","2018_11_SD0180000_NIBRS",42855882,0
2018,8686802,18031,12,2018,"Z",28-FEB-19,"Y","F","C","2018_12_SD0180000_NIBRS",42855884,0
2018,7839872,18034,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_SD0190000_NIBRS",16691645,0
2018,7839871,18034,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_SD0190000_NIBRS",16691674,0
2018,7993634,18034,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_SD0190000_NIBRS",19977462,0
2018,7993635,18034,4,2018,"I",01-APR-04,"Y","F","C","2018_04_SD0190000_NIBRS",19977471,0
2018,7993626,18034,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_SD0190000_NIBRS",19977367,0
2018,7993628,18034,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_SD0190000_NIBRS",41568465,0
2018,8479807,18034,7,2018,"I",05-FEB-19,"Y","F","C","2018_07_SD0190000_NIBRS",41571020,0
2018,8479808,18034,8,2018,"I",05-FEB-19,"Y","F","C","2018_08_SD0190000_NIBRS",41563067,0
2018,8574994,18034,9,2018,"I",05-FEB-19,"Y","F","C","2018_09_SD0190000_NIBRS",41568401,0
2018,8574995,18034,10,2018,"I",05-FEB-19,"Y","F","C","2018_10_SD0190000_NIBRS",41568407,0
2018,8574996,18034,11,2018,"I",05-FEB-19,"Y","F","C","2018_11_SD0190000_NIBRS",41568415,0
2018,8574997,18034,12,2018,"I",05-FEB-19,"Y","F","C","2018_12_SD0190000_NIBRS",41568420,0
2018,7839965,18116,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_SD0500000_NIBRS",15664942,0
2018,7877613,18116,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_SD0500000_NIBRS",16692592,0
2018,7918056,18116,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_SD0500000_NIBRS",17867708,0
2018,7954119,18116,4,2018,"I",01-APR-04,"Y","F","C","2018_04_SD0500000_NIBRS",18817231,0
2018,7954120,18116,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_SD0500000_NIBRS",18817270,0
2018,7993687,18116,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_SD0500000_NIBRS",19979632,0
2018,8269768,18116,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_SD0500000_NIBRS",41606716,0
2018,8686778,18116,8,2018,"I",28-FEB-19,"Y","F","C","2018_08_SD0500000_NIBRS",41606713,0
2018,8479697,18116,9,2018,"I",05-FEB-19,"Y","F","C","2018_09_SD0500000_NIBRS",41525653,0
2018,8575595,18116,10,2018,"I",05-FEB-19,"Y","F","C","2018_10_SD0500000_NIBRS",41526964,0
2018,8687599,18116,11,2018,"I",28-FEB-19,"Y","F","C","2018_11_SD0500000_NIBRS",41583727,0
2018,8687600,18116,12,2018,"I",28-FEB-19,"Y","F","C","2018_12_SD0500000_NIBRS",41580806,0
2018,7954149,18047,6,2018,"U",01-JUN-06,"Y","F","C","2018_06_SD0250000_NIBRS",18818335,0
2018,8687596,18093,1,2018,"I",28-FEB-19,"Y","F","C","2018_01_SD0420000_NIBRS",41583666,0
2018,8687597,18093,2,2018,"I",28-FEB-19,"Y","F","C","2018_02_SD0420000_NIBRS",41606654,0
2018,8689255,18093,3,2018,"I",28-FEB-19,"Y","F","C","2018_03_SD0420000_NIBRS",41606659,0
