"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,12,120005135,,,12586818
2019,12,119997649,,,12688514
2019,5,119997680,,,12586849
2019,17,120001197,0.01,1,12586862
2019,5,120001197,0.1,1,12586861
2019,12,119997981,0.001,1,12688612
2019,5,120005610,,,12586952
2019,5,119998023,0.01,3,12688623
2019,5,119998055,,,12688634
2019,12,120005716,1,11,12586973
2019,12,119997521,12.1,1,12663553
2019,5,119997521,0.01,1,12688484
2019,12,119997524,0.01,3,12586805
2019,5,119997630,,,12688506
2019,12,120001148,,,12688510
2019,3,119997646,,,12688512
2019,5,119997746,1,3,12586880
2019,12,119997775,0.2,1,12688548
2019,5,119997784,1.91,1,12688554
2019,12,119997797,,,12688555
2019,5,119997812,,,12688559
2019,5,120005402,0.001,7,12586898
2019,12,119997901,0.11,1,12688585
2019,17,120005579,,,12586942
2019,12,119997992,2.11,1,12688616
2019,8,119997992,1,9,12688615
2019,12,119997992,4,9,12688614
2019,12,120005619,1.2,1,12586954
2019,5,120005642,1,7,12586960
2019,12,119998013,1,1,12688622
2019,12,120005743,6,1,12688638
2019,12,119998085,,,12688642
2019,18,120001096,,,12663557
2019,4,120001096,1,9,12586815
2019,5,120001096,2,9,12586814
2019,5,119997567,1,11,12663561
2019,12,120001110,1,9,12663563
2019,12,120005168,1,11,12586829
2019,5,119997678,6.9,1,12688524
2019,5,120001192,1.3,1,12663579
2019,5,120005325,0.9,1,12586875
2019,12,119997773,,,12586885
2019,5,120005472,,,12688580
2019,5,120005502,8.029,1,12586920
2019,5,119997911,0.01,1,12586924
2019,12,119997923,0.01,1,12688595
2019,5,119997926,1,1,12586934
2019,12,119997944,1,11,12688603
2019,17,119997953,2,9,12688604
2019,8,119997963,1,9,12586943
2019,12,119997963,0.03,1,12586944
2019,5,120001354,,,12663622
2019,5,120005383,0.001,3,12586893
2019,12,119997831,,,12688565
2019,15,119997842,8,9,12688570
2019,5,119997842,1,9,12688569
2019,12,120005476,0.001,3,12586916
2019,5,120005529,3.56,1,12586932
2019,12,120005529,9.55,1,12586931
2019,16,119998104,8,9,12688646
2019,12,120005789,1,1,12688649
2019,5,119998114,1,1,12688651
2019,12,120005802,,,12586992
2019,5,120005809,1,1,12586995
2019,5,119998133,1.1,1,12688657
2019,5,120005843,8.2,1,12587001
2019,12,119998186,3,1,12688671
2019,12,119998190,,,12688673
2019,12,119998192,12,1,12688674
2019,12,119998267,,,12688685
2019,5,119998277,,,12688687
2019,16,119998293,,,12688691
2019,11,120004957,,,12688463
2019,12,119997412,,,12688465
2019,5,119997463,1.3,1,12688476
2019,17,120005020,,,12586786
2019,12,119997489,,,12688480
2019,5,119997562,1,11,12688493
2019,12,120005147,,,12688495
2019,5,119997627,0.21,3,12688505
2019,12,119997641,0.01,7,12688509
2019,5,119997652,1,9,12688515
2019,16,119997652,5,9,12688517
2019,12,119997652,1,9,12688516
2019,5,119997672,1,11,12688522
2019,5,119997782,0.01,1,12688553
2019,12,119997782,3.11,1,12688552
2019,12,119997798,,,12688556
2019,12,120005401,1.15,1,12586899
2019,12,120005495,0.1,7,12688581
2019,5,120005530,0,3,12586933
2019,17,120005530,2,1,12688596
2019,12,119998075,1,9,12688639
2019,5,119997420,1,9,12663539
2019,5,119997445,0.8,1,12688472
2019,12,120005040,1,1,12586791
2019,5,120005104,,,12586808
2019,5,120005146,31.6,1,12586824
2019,12,119997572,1,1,12663562
2019,5,119997572,0.05,3,12688494
