"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
181702016,18170,2016,"TN0010000","TN0010000","","N","N",,"I","ANDERSON","ANDERSON CO SO CLINTON","Anderson","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","County",33810,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",57,69,126,3,40,43,0,0,01-JUL-96,01-MAY-97,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","ANDERSON","Knoxville, TN","Y","Y","Y"
181712016,18171,2016,"TN0010100","TN0010100","","N","N",,"I","CLINTON","CLINTON PD","Clinton","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",10091,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",30,3,33,3,4,7,0,0,01-JUL-96,01-NOV-97,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","ANDERSON","Knoxville, TN","Y","Y","Y"
181722016,18172,2016,"TN0010200","TN0010200","","N","N",,"I","ROCKY TOP","LAKE CITY PD","Rocky Top","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",1764,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",6,3,9,0,0,0,0,0,01-JUL-96,01-OCT-97,01-JUL-04,01-JAN-13,01-JUN-15,01-APR-13,"N","CAMPBELL; ANDERSON","Knoxville, TN","Y","Y","Y"
181732016,18173,2016,"TN0010300","TN0010300","","N","N",,"I","OAK RIDGE","OAK RIDGE PD","Oak Ridge","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",29296,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",52,4,56,3,12,15,0,0,01-JUL-96,01-AUG-97,01-JUN-04,01-JAN-13,01-MAR-16,01-MAR-16,"N","ROANE; ANDERSON","Knoxville, TN","Y","Y","Y"
181742016,18174,2016,"TN0010400","TN0010400","","N","N",,"I","NORRIS","NORRIS PD","Norris","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",1655,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",7,2,9,0,2,2,0,0,01-JUL-96,01-APR-99,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","ANDERSON","Knoxville, TN","Y","Y","Y"
181752016,18175,2016,"TN0010500","TN0010500","","N","N",,"I","SPR: NORRIS DAM","ST PARK RNGRS NORRIS DAM STATE PARK LAKE CITY","State Park Rangers:","Norris Dam","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","Other State Agency",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,1,0,1,0,0,01-JUL-96,01-JAN-01,01-AUG-06,01-FEB-13,01-SEP-15,01-APR-13,"N","ANDERSON","Knoxville, TN","Y","Y","Y"
181762016,18176,2016,"TN0010600","TN0010600","","N","N",,"I","7TH JUD DIST CRIME T F","SEVENTH JUDICIAL DISTRICT DRUG TASK FORCE","7th Judicial District Crime Task Force","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","Other",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",0,0,0,0,0,0,0,0,01-JUL-96,01-JAN-13,01-APR-13,01-APR-13,01-JUN-15,01-APR-13,"N","ANDERSON","Knoxville, TN","Y","Y","Y"
181772016,18177,2016,"TN0010800","TN0010800","","N","N",,"I","SPR: CUMBERLAND TRAIL","PARK RANGERS CUMBERLAND TRAIL STATE PARK","State Park Rangers:","Cumberland Trail","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","Other State Agency",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",8,0,8,0,0,0,0,0,01-JUL-96,01-JAN-04,01-JUN-04,01-JAN-13,01-JUN-15,01-JUN-13,"N","ANDERSON","Knoxville, TN","Y","Y","Y"
181782016,18178,2016,"TN0020000","TN0020000","","N","N",,"I","BEDFORD","BEDFORD CO SO SHELBYVILLE","Bedford","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","County",25435,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",34,32,66,6,18,24,0,0,01-JUL-96,01-JUN-99,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BEDFORD","Non-MSA","Y","Y","Y"
181792016,18179,2016,"TN0020100","TN0020100","","N","N",,"I","SHELBYVILLE","SHELBYVILLE PD","Shelbyville","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",21511,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",40,1,41,2,9,11,0,0,01-JUL-96,01-FEB-99,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BEDFORD","Non-MSA","Y","Y","Y"
