"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,16,95105069,7,9,7779789
2017,17,95105069,1,9,7779791
2017,12,95105069,1,1,7779788
2017,5,95105341,6.74,1,7779853
2017,5,95110525,1.1,1,7780590
2017,5,95116134,0.3,1,7781311
2017,5,95116363,2,1,7781340
2017,12,95120187,0.8,1,7781871
2017,12,95123866,12,1,7782252
2017,8,95123866,5,9,7782253
2017,5,95127086,2,1,7782576
2017,5,102855892,,,8949862
2017,5,95103122,4.8,1,7779472
2017,12,95105183,0.5,1,7779816
2017,5,95108884,17,1,7780405
2017,5,95110010,2,1,7780525
2017,5,95110200,23,1,7780555
2017,5,95114084,2,1,7781023
2017,8,95114960,15,9,7781159
2017,5,95114960,134,1,7781158
2017,16,95114960,36,9,7781160
2017,13,95114996,23,9,7781163
2017,5,95116608,0.5,1,7781371
2017,12,95117740,0.001,3,7781523
2017,12,95125144,6,1,7782377
2017,5,95125144,1,1,7782379
2017,18,95125144,,,7782380
2017,5,95126960,2,1,7782566
2017,5,95126996,1.4,1,7782568
2017,5,95144774,1.5,1,7784063
2017,5,95160895,10,1,7785987
2017,1,95164224,1.5,1,7786198
2017,5,95185990,1,9,7790023
2017,1,95186985,2.5,1,7790276
2017,4,95191562,1.1,1,7791060
2017,12,102857011,1,1,8950180
2017,16,102857023,2,9,8950191
2017,8,95195635,28,9,7791610
2017,8,95199383,12,9,7792024
2017,8,95199383,1,1,7792025
2017,8,95199582,4,9,7792056
2017,5,95199582,0.92,1,7792055
2017,8,95199632,1,9,7792063
2017,8,95200404,1,9,7792179
2017,5,95202413,5.5,1,7792508
2017,17,95202547,,,7792539
2017,12,95203002,0.1,1,7792647
2017,4,95203231,0.4,1,7792712
2017,2,95205309,0.8,1,7793453
2017,12,95205750,0.1,1,7793619
2017,6,95206529,1,9,7793794
2017,8,95206608,12,9,7793804
2017,5,95208492,1,1,7794169
2017,9,95208492,1,1,7794170
2017,5,95208687,1,1,7794217
2017,1,95208785,0.6,1,7794224
2017,16,95208910,1,11,7794241
2017,5,95214628,1,1,7795176
2017,5,95219910,1.3,1,7796329
2017,2,95253015,3.6,1,7802145
2017,12,95253015,35,9,7802146
2017,5,95253015,75.2,1,7802144
2017,17,95257275,0.1,1,7802641
2017,5,95259364,15.4,1,7802879
2017,15,95259364,1,9,7802881
2017,13,95259364,37,9,7802880
2017,5,95260887,2.8,1,7803044
2017,12,95262784,1.4,1,7803311
2017,17,95263120,,,7803370
2017,5,95265953,0.27,1,7804002
2017,16,95265953,30,9,7804003
2017,5,95266208,1,1,7804036
2017,12,95266960,1,9,7804111
2017,5,95102908,0.25,1,7779438
2017,8,95103156,1,9,7779477
2017,5,95105504,2,1,7779894
2017,8,95105533,4,9,7779897
2017,5,95108750,4.3,1,7780387
2017,5,95109968,0.18,1,7780518
2017,3,95109968,1.36,1,7780517
2017,5,95110499,0.2,1,7780584
2017,2,95113119,2.2,1,7780890
2017,5,95113119,16,1,7780889
2017,16,95113220,101,9,7780907
2017,5,95116298,1,1,7781331
2017,17,95117748,10,9,7781525
2017,8,95117748,2,9,7781524
2017,5,95119070,13.8,1,7781711
2017,5,95119447,1.8,1,7781763
2017,17,95121179,1,1,7782007
2017,5,95121179,0.7,1,7782006
2017,6,95126321,1,9,7782503
2017,12,95126321,0.75,1,7782502
2017,5,95132589,7.4,1,7783023
2017,5,95133087,1.5,1,7783079
2017,5,98839700,1,1,8325473
2017,6,98839794,5,9,8325483
2017,8,98839794,1.5,9,8325484
2017,5,98840342,0.06,1,8325549
2017,5,98841256,6.009,1,8325658
2017,12,98841266,0.004,1,8325664
2017,8,98842454,4,9,8325856
2017,5,98842566,1,1,8325880
2017,5,98843723,12,1,8326243
2017,5,98843231,1.8,1,8325983
2017,5,98843591,5,3,8326153
2017,5,98843660,3.001,3,8326195
2017,5,98843743,7,1,8326256
2017,5,98843780,20,4,8326278
2017,12,98843791,3.001,1,8326283
2017,15,98844725,2,9,8326439
2017,8,98845985,32,1,8326710
2017,1,98845964,0.37,1,8326693
2017,5,98845972,5148,10,8326699
2017,5,98845985,107,10,8326708
2017,5,98846302,1,1,8326782
2017,5,99378811,23,3,8401067
2017,16,99379002,26,9,8401101
2017,12,99379002,0.02,3,8401102
2017,16,99379095,7,9,8401148
2017,16,103404439,3,9,9046654
2017,12,103404439,0.7,1,9046651
2017,8,96607672,85,9,7997538
2017,16,96608787,1,9,7997801
2017,15,96608787,1,9,7997802
2017,12,96608787,0.5,1,7997800
2017,9,96609414,4,9,7997948
2017,2,96609414,0.5,1,7997950
2017,2,96609443,0.6,1,7997954
2017,12,96610149,1,1,7998039
2017,5,96612060,18,1,7998306
2017,12,96612160,8,9,7998313
2017,5,96612587,3,1,7998327
2017,15,96615271,2,9,7998476
2017,12,96615271,0.05,1,7998475
2017,5,96615284,1,1,7998477
2017,6,96615331,13,9,7998491
2017,8,96616093,0.5,9,7998583
2017,5,96617967,0.201,1,7998699
2017,2,96620700,7.002,1,7999270
2017,16,96621005,128.5,5,7999363
2017,5,96621103,2,1,7999383
2017,5,96621112,0.06,1,7999388
2017,17,96623400,3,1,7999814
2017,16,96623847,1,9,7999868
2017,5,96624569,0.006,1,7999997
2017,5,96624582,0.004,1,7999999
2017,5,96625689,0.5,1,8000155
2017,12,96625825,0.006,1,8000170
2017,12,96627290,5,1,8000458
2017,15,96628208,21,9,8000622
2017,5,96630578,0.001,1,8001069
2017,5,96630841,0.4,1,8001158
2017,5,96631068,4,1,8001216
2017,2,96631587,0.9,1,8001314
2017,5,96631717,0.2,1,8001350
2017,5,96632972,0.8,1,8001636
2017,8,96633830,1,9,8001905
2017,5,96633830,2,1,8001904
2017,5,95962743,1,1,7906395
2017,5,96461427,2,1,7976068
2017,5,96462859,1,1,7976310
2017,5,96463228,0.02,1,7976372
2017,5,96463698,5,1,7976446
2017,8,96466156,1,9,7976817
2017,15,96466156,5.5,9,7976816
2017,5,96491085,2,3,7980218
2017,5,96492334,0.25,3,7980436
2017,5,96494893,2,1,7980925
2017,5,96496196,1,1,7981162
2017,5,98818852,22,1,8322118
2017,5,98818403,3,1,8322057
2017,12,102177621,1,1,8831039
2017,5,98818486,1,1,8322065
2017,5,96508482,46,4,7983070
2017,5,98818918,2,1,8322135
2017,4,96508792,0.01,1,7983107
2017,5,98819232,40,1,8322172
2017,5,96509834,25,1,7983186
2017,5,102177621,1,1,8831040
2017,13,102177621,14,9,8831041
2017,15,98820942,4,9,8322435
2017,2,96515098,15,1,7983928
2017,5,96515665,110,4,7983992
2017,16,98820447,56,9,8322369
2017,12,98820447,8,1,8322368
2017,5,98820668,3,1,8322393
2017,4,96525410,6.2,1,7985284
2017,5,96528561,0.2,1,7985776
2017,1,96528625,0.05,1,7985790
2017,1,96532032,1.5,1,7986265
2017,5,96532116,1.5,1,7986284
2017,5,96535009,2.5,1,7986788
2017,5,96537837,1,1,7987160
2017,5,96538319,5,1,7987240
2017,16,96538864,29,9,7987293
2017,5,96538864,1,1,7987292
2017,5,96539642,5.5,1,7987416
2017,5,102178343,1,1,8831235
2017,5,98822464,1,9,8322748
2017,5,98823100,1.83,1,8322877
2017,12,98823309,0.1,1,8322946
2017,12,96544056,0.001,1,7987951
2017,5,96545014,1,9,7988050
2017,5,96545358,3.5,1,7988098
2017,5,102178610,0.5,1,8831293
2017,15,98824758,9,9,8323208
2017,15,98826624,1,9,8323489
2017,12,98827407,25,1,8323591
2017,1,98827793,2,1,8323646
2017,1,98828161,0.24,1,8323682
2017,5,98831177,1,1,8323987
2017,15,98828283,1,9,8323695
2017,2,98830160,2.5,1,8323884
2017,4,98830160,0.5,1,8323883
2017,12,102178914,1,1,8831388
2017,5,98831741,,,8324040
2017,16,98832940,18,9,8324237
2017,12,95120627,3.004,1,7781945
2017,13,95121720,2,9,7782074
2017,5,95127082,2,1,7782575
2017,5,98712283,3.3,1,8309755
2017,5,95147522,1.5,1,7784277
2017,5,95147821,4.7,1,7784293
2017,15,95147821,12,9,7784294
2017,16,95147821,10,9,7784295
2017,5,95147910,0.1,1,7784317
2017,5,95147926,1.4,1,7784325
2017,5,98713072,5.9,1,8309916
2017,5,95151435,1,1,7784799
2017,15,95155471,1,9,7785290
2017,5,95155471,12.5,1,7785289
2017,5,95160880,4.5,1,7785981
2017,5,101349454,1,1,8695260
2017,8,95165753,1,9,7786284
2017,5,95167170,1,1,7786413
2017,5,95167192,1,1,7786415
2017,13,95168187,88,1,7786512
2017,5,95175707,1,1,7787673
2017,5,95177259,7.2,1,7788083
2017,15,98731967,2,9,8312489
2017,5,95177277,3.8,1,7788090
2017,5,95184514,5,1,7789706
2017,12,95184914,2.5,3,7789771
2017,5,95184914,8,1,7789770
2017,2,95185136,0.002,1,7789810
2017,2,95185724,0.4,1,7789996
2017,5,95185724,0.8,1,7789997
2017,2,95186865,15,1,7790261
2017,1,95189513,0.3,1,7790728
2017,5,95195498,0.2,1,7791579
2017,5,95200224,1,9,7792151
2017,5,95200673,29,1,7792224
2017,16,95200921,167,9,7792263
2017,5,95201173,2,9,7792285
2017,12,95202607,1.91,1,7792557
2017,5,95202607,2.4,1,7792554
2017,1,95202891,1,1,7792619
2017,5,95203178,1,1,7792700
2017,5,95204514,8.003,1,7793070
2017,5,95209101,3,1,7794259
2017,2,101350580,3.5,1,8695480
2017,5,101350580,2.3,1,8695481
2017,1,98741240,1.1,1,8313998
2017,5,101351072,1.5,1,8695500
2017,5,101351291,1.6,1,8695513
2017,5,98744369,1,1,8314326
2017,5,101351517,3.5,1,8695534
2017,5,101351598,5,1,8695538
2017,2,101352245,0.1,1,8695586
2017,5,101352279,1.11,1,8695592
2017,16,101352536,3,9,8695626
2017,5,101353423,20.5,1,8695780
2017,2,101353423,3.82,1,8695778
2017,1,101353423,7,1,8695779
2017,5,101353586,6,1,8695801
2017,5,101353695,1,1,8695808
2017,5,101354329,4,1,8695948
