"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2018,8011493,18182,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_TN0030000_NIBRS",40531044,0
2018,8011494,18182,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_TN0030000_NIBRS",26272159,0
2018,8011495,18182,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_TN0030000_NIBRS",27777000,0
2018,8011496,18182,4,2018,"I",01-APR-04,"Y","F","C","2018_04_TN0030000_NIBRS",29236488,0
2018,8049829,18182,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_TN0030000_NIBRS",40531022,0
2018,8072418,18182,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_TN0030000_NIBRS",40740968,0
2018,8235051,18182,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_TN0030000_NIBRS",40644295,0
2018,8270388,18182,8,2018,"I",01-AUG-08,"Y","F","C","2018_08_TN0030000_NIBRS",40646054,0
2018,8336611,18182,9,2018,"I",16-OCT-18,"Y","F","C","2018_09_TN0030000_NIBRS",40465251,0
2018,8375499,18182,10,2018,"I",21-DEC-18,"Y","F","C","2018_10_TN0030000_NIBRS",48351677,0
2018,8385072,18182,11,2018,"I",21-DEC-18,"Y","F","C","2018_11_TN0030000_NIBRS",40526714,0
2018,8399505,18182,12,2018,"I",16-JAN-19,"Y","F","C","2018_12_TN0030000_NIBRS",50691895,0
2018,7909166,18392,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_TN0330600_NIBRS",50707275,0
2018,7967263,18392,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_TN0330600_NIBRS",49248830,0
2018,8007808,18392,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_TN0330600_NIBRS",49248836,0
2018,8007810,18392,4,2018,"I",01-APR-04,"Y","F","C","2018_04_TN0330600_NIBRS",50707281,0
2018,8051776,18392,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_TN0330600_NIBRS",49248841,0
2018,8072528,18392,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_TN0330600_NIBRS",48362315,0
2018,8236059,18392,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_TN0330600_NIBRS",50707285,0
2018,8276663,18392,8,2018,"I",01-AUG-08,"Y","F","C","2018_08_TN0330600_NIBRS",49248843,0
2018,8335663,18392,9,2018,"I",16-OCT-18,"Y","F","C","2018_09_TN0330600_NIBRS",49242671,0
2018,8373559,18392,10,2018,"I",21-DEC-18,"Y","F","C","2018_10_TN0330600_NIBRS",47273629,0
2018,8379404,18392,11,2018,"I",21-DEC-18,"Y","F","C","2018_11_TN0330600_NIBRS",49240199,0
2018,8399534,18392,12,2018,"I",16-JAN-19,"Y","F","C","2018_12_TN0330600_NIBRS",49248851,0
2018,7873700,18701,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_TN0860000_NIBRS",47016927,0
2018,7913480,18701,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_TN0860000_NIBRS",50733014,0
2018,7967448,18701,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_TN0860000_NIBRS",26312604,0
2018,8014241,18701,4,2018,"I",01-APR-04,"Y","F","C","2018_04_TN0860000_NIBRS",50733018,0
2018,8036758,18701,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_TN0860000_NIBRS",50733020,0
2018,8051941,18701,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_TN0860000_NIBRS",48388248,0
2018,8072687,18701,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_TN0860000_NIBRS",50733024,0
2018,8235042,18701,8,2018,"I",01-AUG-08,"Y","F","C","2018_08_TN0860000_NIBRS",47284752,0
2018,8276716,18701,9,2018,"I",01-SEP-09,"Y","F","C","2018_09_TN0860000_NIBRS",40623003,0
2018,8336698,18701,10,2018,"I",16-OCT-18,"Y","F","C","2018_10_TN0860000_NIBRS",47280815,0
2018,8373633,18701,11,2018,"I",21-DEC-18,"Y","F","C","2018_11_TN0860000_NIBRS",50729688,0
2018,8385175,18701,12,2018,"I",21-DEC-18,"Y","F","C","2018_12_TN0860000_NIBRS",49264879,0
2018,7913448,18636,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_TN0790400_NIBRS",40747511,0
2018,7967417,18636,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_TN0790400_NIBRS",47286854,0
2018,8014196,18636,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_TN0790400_NIBRS",49266978,0
2018,8014197,18636,4,2018,"I",01-APR-04,"Y","F","C","2018_04_TN0790400_NIBRS",49266980,0
2018,8051909,18636,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_TN0790400_NIBRS",49266983,0
2018,8072668,18636,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_TN0790400_NIBRS",40506240,0
2018,8235128,18636,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_TN0790400_NIBRS",49266988,0
2018,8270469,18636,8,2018,"I",01-AUG-08,"Y","F","C","2018_08_TN0790400_NIBRS",50722680,0
2018,8337609,18636,9,2018,"I",16-OCT-18,"Y","F","C","2018_09_TN0790400_NIBRS",47282904,0
2018,8373618,18636,10,2018,"I",21-DEC-18,"Y","F","C","2018_10_TN0790400_NIBRS",49266991,0
2018,8400538,18636,11,2018,"I",16-JAN-19,"Y","F","C","2018_11_TN0790400_NIBRS",50727395,0
2018,8400539,18636,12,2018,"I",16-JAN-19,"Y","F","C","2018_12_TN0790400_NIBRS",49266994,0
2018,7873578,18480,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_TN0500100_NIBRS",46936637,0
2018,7909217,18480,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_TN0500100_NIBRS",48374685,0
2018,7961982,18480,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_TN0500100_NIBRS",40684556,0
2018,8011833,18480,4,2018,"I",01-APR-04,"Y","F","C","2018_04_TN0500100_NIBRS",49191476,0
2018,8030228,18480,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_TN0500100_NIBRS",49193265,0
2018,8051819,18480,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_TN0500100_NIBRS",50713639,0
2018,8067880,18480,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_TN0500100_NIBRS",50713643,0
2018,8234027,18480,8,2018,"I",01-AUG-08,"Y","F","C","2018_08_TN0500100_NIBRS",50713647,0
2018,8276054,18480,9,2018,"I",01-SEP-09,"Y","F","C","2018_09_TN0500100_NIBRS",50713654,0
2018,8337597,18480,10,2018,"I",16-OCT-18,"Y","F","C","2018_10_TN0500100_NIBRS",50713659,0
2018,8373481,18480,11,2018,"I",21-DEC-18,"Y","F","C","2018_11_TN0500100_NIBRS",40617115,0
2018,8379422,18480,12,2018,"I",21-DEC-18,"Y","F","C","2018_12_TN0500100_NIBRS",50705692,0
2018,7909155,18376,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_TN0310000_NIBRS",50696200,0
2018,7961881,18376,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_TN0310000_NIBRS",48348564,0
2018,8007780,18376,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_TN0310000_NIBRS",48362308,0
2018,8030157,18376,4,2018,"I",01-APR-04,"Y","F","C","2018_04_TN0310000_NIBRS",40646941,0
2018,8049868,18376,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_TN0310000_NIBRS",50702630,0
2018,8072521,18376,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_TN0310000_NIBRS",49248360,0
2018,8235085,18376,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_TN0310000_NIBRS",49239910,0
2018,8270372,18376,8,2018,"I",01-AUG-08,"Y","F","C","2018_08_TN0310000_NIBRS",48362347,0
2018,8336652,18376,9,2018,"I",16-OCT-18,"Y","F","C","2018_09_TN0310000_NIBRS",48362464,0
