"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,118637684,3.46,1,12118677
2019,5,118655567,6.85,1,11975191
2019,12,118655643,0.6,1,11975205
2019,8,116878756,0.53,1,11649946
2019,12,116896852,0.2,1,11640898
2019,12,123196151,8,1,13505083
2019,5,123196151,0.2,3,13510000
2019,1,121447174,2.3,1,13074556
2019,8,121457016,1.619,1,13070346
2019,5,121457016,3.795,3,13070345
2019,5,125339010,0.14,3,14054705
2019,4,125335295,7.9,1,14053579
2019,5,119760669,33.299,1,12576697
2019,2,116935211,0.22,1,11667688
2019,12,116935640,3.8,1,11667713
2019,12,121346980,0.1,1,13063019
2019,5,123225766,0.05,3,13513826
2019,5,123234240,21.54,1,13506599
2019,5,123202800,0.067,3,13512756
2019,5,123204185,1.7,1,13513002
2019,8,118608578,1,3,12117613
2019,8,119674106,0.7,1,12547168
2019,5,119674106,0.01,3,12577992
2019,5,119709963,0.3,3,12547247
2019,5,119710460,28.22,1,12578252
2019,2,123215811,8.18,1,13513225
2019,5,123215973,41.3,1,13513245
2019,12,116931493,8.4,1,11651073
2019,5,119773094,10.7,1,12581528
2019,8,119773094,604,1,12581527
2019,5,123192350,1,9,13509425
2019,16,123192350,1,9,13509424
2019,17,123192350,15.9,1,13509423
2019,5,123192949,1.8,1,13509530
2019,5,116577555,2,3,11539656
2019,17,118608454,,,11973305
2019,5,118615661,0.112,3,12117603
2019,12,118615661,2.3,1,11978018
2019,16,118615661,2.1,1,11978017
2019,12,119708351,0.72,1,12582481
2019,5,119708351,2.35,1,12582480
2019,5,119709234,2.9,1,12578661
2019,5,123202632,8.81,1,13512723
2019,5,123189447,0.57,1,13502183
2019,12,118634299,9.4,1,11974735
2019,16,118643135,9,9,11974755
2019,4,119784595,7.631,2,12581621
2019,12,123216285,10.8,1,13505761
2019,8,123220736,14,3,13513402
2019,5,123220736,0.2,3,13513401
2019,12,123188253,0.5,1,13501995
2019,5,122308167,349.68,3,13250704
2019,2,119772055,2.54,1,12581455
2019,5,118629532,5.812,1,11974295
2019,12,118658309,0.1,1,11975561
2019,17,118625794,,,11973660
2019,5,118650160,27.5,1,12119057
2019,16,119705041,1,1,12578003
2019,2,119699443,2.9,1,12547175
2019,5,119699443,0.48,3,12547176
2019,15,119699443,4.3,1,12547177
2019,12,119710126,5,1,12547284
2019,5,119710126,30.157,1,12547285
2019,5,122284098,28.35,1,13249711
2019,12,122332911,1,1,13245645
2019,11,116945004,1.8,1,11667945
2019,12,122254002,1.5,1,13248172
