"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
187532019,18753,2019,"TX0010100","TX0010100","","N","N",,"I","PALESTINE","PALESTINE POLICE DEPT","Palestine","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",18062,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","N",,,,,,,0,0,01-JAN-97,01-FEB-17,01-FEB-17,01-DEC-17,01-DEC-17,01-DEC-17,"N","ANDERSON","Non-MSA","Y","Y","Y"
187542019,18754,2019,"TX0010300","TX0010300","","N","N",,"I","FRANKSTON","FRANKSTON PD","Frankston","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",1180,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-JAN-97,01-OCT-16,01-OCT-16,01-OCT-16,01-OCT-16,01-OCT-16,"N","HENDERSON; ANDERSON","Non-MSA","Y","Y","Y"
187572019,18757,2019,"TX0020100","TX0020100","","N","N",,"I","ANDREWS","ANDREWS PD","Andrews","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",14133,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",18,0,18,2,1,3,0,0,01-JAN-97,01-MAY-19,01-MAY-19,01-JUL-19,01-JUL-19,01-JUL-19,"N","ANDREWS","Non-MSA","Y","Y","Y"
187592019,18759,2019,"TX0030100","TX0030100","","N","N",,"I","DIBOLL","DIBOLL POLICE DEPT","Diboll","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",5228,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",15,0,15,0,5,5,0,0,01-JAN-97,01-MAR-19,01-MAR-19,01-MAY-19,01-MAY-19,01-MAY-19,"N","ANGELINA","Non-MSA","Y","Y","Y"
187602019,18760,2019,"TX0030200","TX0030200","","N","N",,"I","HUNTINGTON","HUNTINGTON PD","Huntington","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",2107,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-JAN-97,01-OCT-18,01-OCT-18,01-FEB-19,01-FEB-19,01-FEB-19,"N","ANGELINA","Non-MSA","Y","Y","Y"
187612019,18761,2019,"TX0030400","TX0030400","","N","N",,"I","LUFKIN","LUFKIN PD","Lufkin","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",35555,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",75,4,79,2,21,23,0,0,01-JAN-97,01-SEP-19,01-SEP-19,01-OCT-19,01-OCT-19,,"N","ANGELINA","Non-MSA","Y","Y","Y"
187652019,18765,2019,"TX0040100","TX0040100","","N","N",,"I","ARANSAS PASS","ARANSAS PASS PD","Aransas Pass","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",8118,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",24,2,26,3,11,14,0,0,01-JAN-97,01-MAY-19,01-MAY-19,01-SEP-19,01-SEP-19,,"N","NUECES; ARANSAS; SAN PATRICIO","Corpus Christi, TX","Y","Y","Y"
187662019,18766,2019,"TX0040200","TX0040200","","N","N",,"I","ROCKPORT","ROCKPORT PD","Rockport","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",10854,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",21,0,21,6,4,10,0,0,01-JAN-97,01-DEC-19,01-DEC-19,,01-JAN-20,,"N","ARANSAS","Non-MSA","Y","Y","Y"
187682019,18768,2019,"TX0050100","TX0050100","","N","N",,"I","ARCHER CITY","ARCHER CITY POLICE DEPARTMENT","Archer City","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",1732,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JAN-97,01-JUL-18,01-JUL-18,01-DEC-18,01-DEC-18,01-DEC-18,"N","ARCHER","Wichita Falls, TX","Y","Y","Y"
187702019,18770,2019,"TX0060000","TX0060000","","N","N",,"I","ARMSTRONG","ARMSTRONG CO SO CLAUDE","Armstrong","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","County",1879,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",1,1,2,2,3,5,0,0,01-JAN-97,01-JUL-19,01-JUL-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ARMSTRONG","Amarillo, TX","Y","Y","Y"
