"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2016,28292319,96305485,1,08-DEC-16,1,"N",51,5,70,"F",4,2,"","","",70,0
2016,28292401,96305671,1,11-DEC-16,1,"N",35,5,50,"M",1,3,"","","",50,0
2016,28292625,96306278,1,17-DEC-16,3,"N",44,5,25,"M",1,3,"U","","",25,0
2016,28293130,96307315,1,28-DEC-16,1,"N",23,5,41,"M",1,3,"","","",41,0
2016,28293145,96307330,1,28-DEC-16,1,"N",23,5,28,"M",1,3,"","","",28,0
2016,28293197,96307388,1,28-DEC-16,1,"N",35,5,34,"M",1,3,"","","",34,0
2016,28577053,97121045,1,22-APR-16,3,"N",16,5,26,"M",1,1,"","","",26,0
2016,28586330,97145313,1,23-APR-16,1,"N",16,5,17,"M",4,2,"","R","",17,0
2016,28586334,97145313,2,23-APR-16,1,"N",51,5,17,"M",1,1,"","R","",17,0
2016,28587481,97148007,1,09-SEP-16,3,"N",23,5,22,"M",1,3,"","","",22,0
2016,28587869,97148920,1,02-JAN-17,3,"N",48,5,28,"M",3,3,"","","",28,0
2016,28589778,97154724,1,08-APR-16,1,"N",16,5,25,"M",1,1,"","","",25,0
2016,28589940,97155110,1,10-APR-16,3,"N",35,5,33,"M",1,3,"","","",33,0
2016,28067267,95664401,2,11-APR-16,2,"N",23,5,57,"F",1,,"","","",57,0
2016,28067266,95664401,1,11-APR-16,2,"N",23,5,29,"M",1,,"","","",29,0
2016,28265284,96241844,1,27-JUN-16,1,"N",16,5,18,"F",1,,"","","",18,0
2016,28289286,96297200,1,21-MAR-17,3,"N",48,5,38,"M",1,3,"","","",38,0
2016,28290300,96299897,1,18-AUG-16,1,"N",23,5,24,"F",1,1,"","","",24,0
2016,28290419,96300207,1,23-AUG-16,1,"N",35,5,29,"M",1,3,"","","",29,0
2016,28290918,96301312,1,23-SEP-16,1,"N",23,5,26,"F",1,3,"","","",26,0
2016,28066490,95662723,2,28-APR-16,2,"N",16,5,23,"M",1,,"N","","",23,0
2016,28697330,97463839,1,30-NOV-16,1,"N",51,5,16,"M",1,3,"","R","",16,0
2016,28697672,97464809,1,10-AUG-16,1,"N",32,5,22,"M",1,3,"","","",22,0
2016,28292305,96305463,1,07-DEC-16,1,"N",45,5,39,"M",2,3,"","","",39,0
2016,28293165,96307355,1,28-DEC-16,1,"N",23,5,16,"M",1,3,"","R","",16,0
2016,28290371,96300125,1,22-AUG-16,1,"N",35,5,22,"M",1,3,"","","",22,0
2016,28290374,96300125,2,22-AUG-16,1,"N",35,5,41,"M",1,1,"","","",41,0
2016,28290430,96300238,1,21-AUG-16,1,"N",16,5,54,"M",1,3,"","","",54,0
2016,28067567,95665106,1,17-DEC-16,2,"N",35,5,30,"F",1,,"","","",30,0
2016,28069158,95669567,1,10-AUG-16,2,"N",23,5,35,"F",1,1,"","","",35,0
2016,28079598,95698351,1,13-JAN-17,2,"N",23,5,29,"M",1,2,"N","","",29,0
2016,28079596,95698347,1,08-NOV-16,2,"N",45,5,18,"M",0,3,"N","","",18,0
2016,30170385,101528474,1,23-AUG-18,3,"N",48,5,37,"M",1,2,"","","",37,0
2016,28587952,97149167,1,21-MAR-18,3,"N",48,5,23,"M",1,2,"","","",23,0
2016,28582451,97135741,1,05-APR-18,3,"N",48,5,23,"M",1,3,"","","",23,0
2016,28586544,97145762,1,15-MAR-18,3,"N",48,5,43,"F",1,2,"","","",43,0
2016,28586611,97145965,1,22-JUN-16,1,"N",16,5,46,"M",1,3,"","","",46,0
2016,28586627,97145965,2,04-APR-18,3,"N",48,5,30,"M",1,2,"","","",30,0
2016,28797470,97737595,1,01-NOV-16,2,"N",56,5,83,"M",1,2,"R","","",83,0
2016,28565725,97095405,1,18-APR-18,2,"N",11,5,27,"M",1,,"","","",27,0
2016,28559064,97080081,1,25-AUG-16,3,"C",35,5,24,"M",1,1,"U","","",24,0
2016,28666612,97395632,1,04-MAY-18,2,"N",16,5,47,"M",1,3,"","","",47,0
2016,28559546,97081095,1,21-JUN-16,3,"N",39,5,34,"M",1,2,"","","",34,0
2016,28561241,97084884,1,06-OCT-16,3,"N",27,5,24,"M",1,1,"R","","",24,0
2016,28695460,97458374,1,03-MAY-16,1,"N",11,5,51,"M",1,3,"U","","",51,0
2016,28091697,95731429,1,23-JAN-17,3,"N",48,5,57,"M",1,3,"","","",57,0
2016,28092109,95732125,1,12-NOV-16,1,"N",16,5,25,"F",0,3,"","","",25,0
2016,28092110,95732125,2,13-JAN-17,3,"N",48,5,35,"M",1,1,"","","",35,0
2016,28092956,95734140,2,14-OCT-16,3,"N",16,5,23,"F",1,3,"","","",23,0
2016,28092955,95734140,1,14-OCT-16,1,"N",39,5,34,"M",1,3,"","","",34,0
2016,28093028,95734307,1,01-MAR-17,3,"N",48,5,43,"M",1,1,"","","",43,0
2016,28095409,95740118,1,09-DEC-16,3,"N",35,5,26,"F",2,3,"","","",26,0
2016,28094478,95737926,1,24-NOV-17,3,"N",48,5,42,"M",1,3,"","","",42,0
2016,28082512,95705999,3,24-DEC-16,1,"N",48,5,16,"M",1,1,"N","R","",16,0
2016,28081336,95702868,3,13-SEP-16,3,"C",49,5,34,"F",1,2,"U","","",34,0
2016,28081323,95702868,1,07-SEP-16,3,"C",49,5,24,"M",1,2,"U","","",24,0
2016,28081332,95702868,2,07-SEP-16,3,"C",49,5,31,"M",1,1,"U","","",31,0
2016,28091809,95731652,1,17-AUG-17,3,"N",48,5,43,"M",0,1,"","","",43,0
2016,28091704,95731444,1,08-JAN-17,3,"N",48,5,36,"F",1,1,"","","",36,0
2016,28091710,95731476,1,22-JUL-16,3,"N",23,5,45,"M",1,3,"","","",45,0
2016,28092170,95732298,1,29-MAR-17,3,"N",48,5,28,"M",1,3,"","","",28,0
2016,28092198,95732382,1,19-JAN-17,3,"N",48,5,38,"M",1,1,"","","",38,0
2016,28098064,95745875,1,23-AUG-17,3,"N",48,5,30,"M",1,3,"","","",30,0
2016,28098192,95746095,1,18-AUG-17,3,"N",48,5,30,"F",2,3,"","","",30,0
2016,28098295,95746241,1,30-SEP-17,3,"N",48,5,22,"M",1,3,"","","",22,0
2016,28098300,95746263,1,27-SEP-17,3,"N",48,5,31,"M",1,3,"","","",31,0
2016,28697827,97465122,1,20-SEP-16,1,"N",23,5,17,"F",1,3,"","R","",17,0
