"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2016,7144880,19985,1,2016,"I",,"Y","F","C","2016_01_UT0240100_NIBRS",3990677,0
2016,7167664,19985,2,2016,"I",,"Y","F","C","2016_02_UT0240100_NIBRS",3990734,0
2016,7190448,19985,3,2016,"I",,"Y","F","C","2016_03_UT0240100_NIBRS",3990807,0
2016,7213232,19985,4,2016,"I",,"Y","F","C","2016_04_UT0240100_NIBRS",3990881,0
2016,7236016,19985,5,2016,"I",,"Y","F","C","2016_05_UT0240100_NIBRS",3990978,0
2016,7258800,19985,6,2016,"I",,"Y","F","C","2016_06_UT0240100_NIBRS",3991460,0
2016,7281584,19985,7,2016,"I",,"Y","F","C","2016_07_UT0240100_NIBRS",3991653,0
2016,7304368,19985,8,2016,"I",,"Y","F","C","2016_08_UT0240100_NIBRS",3991953,0
2016,7327152,19985,9,2016,"I",,"Y","F","C","2016_09_UT0240100_NIBRS",3992116,0
2016,7349936,19985,10,2016,"I",,"Y","F","C","2016_10_UT0240100_NIBRS",3992337,0
2016,7372720,19985,11,2016,"I",,"Y","F","C","2016_11_UT0240100_NIBRS",3992424,0
2016,7395504,19985,12,2016,"I",,"Y","F","C","2016_12_UT0240100_NIBRS",3992568,0
2016,7144867,19972,1,2016,"U",,"N","F","C","2016_01_UT0210000_NIBRS",,0
2016,7167651,19972,2,2016,"U",,"N","F","C","2016_02_UT0210000_NIBRS",,0
2016,7190435,19972,3,2016,"U",,"N","F","C","2016_03_UT0210000_NIBRS",,0
2016,7213219,19972,4,2016,"U",,"N","F","C","2016_04_UT0210000_NIBRS",,0
2016,7236003,19972,5,2016,"U",,"N","F","C","2016_05_UT0210000_NIBRS",,0
2016,7258787,19972,6,2016,"U",,"N","F","C","2016_06_UT0210000_NIBRS",,0
2016,7281571,19972,7,2016,"U",,"N","F","C","2016_07_UT0210000_NIBRS",,0
2016,7304355,19972,8,2016,"U",,"N","F","C","2016_08_UT0210000_NIBRS",,0
2016,7327139,19972,9,2016,"U",,"N","F","C","2016_09_UT0210000_NIBRS",,0
2016,7349923,19972,10,2016,"U",,"N","F","C","2016_10_UT0210000_NIBRS",,0
2016,7372707,19972,11,2016,"U",,"N","F","C","2016_11_UT0210000_NIBRS",,0
2016,7395491,19972,12,2016,"U",,"N","F","C","2016_12_UT0210000_NIBRS",,0
2016,7144812,19917,1,2016,"I",,"N","F","C","2016_01_UT0080000_NIBRS",,0
2016,7167596,19917,2,2016,"I",,"N","F","C","2016_02_UT0080000_NIBRS",,0
2016,7190380,19917,3,2016,"I",,"N","F","C","2016_03_UT0080000_NIBRS",,0
2016,7213164,19917,4,2016,"I",,"N","F","C","2016_04_UT0080000_NIBRS",,0
2016,7235948,19917,5,2016,"I",,"N","F","C","2016_05_UT0080000_NIBRS",,0
2016,7258732,19917,6,2016,"I",,"N","F","C","2016_06_UT0080000_NIBRS",,0
2016,7281516,19917,7,2016,"I",,"N","F","C","2016_07_UT0080000_NIBRS",,0
2016,7304300,19917,8,2016,"I",,"N","F","C","2016_08_UT0080000_NIBRS",,0
2016,7327084,19917,9,2016,"I",,"N","F","C","2016_09_UT0080000_NIBRS",,0
2016,7349868,19917,10,2016,"I",,"Y","F","C","2016_10_UT0080000_NIBRS",3941772,0
2016,7372652,19917,11,2016,"I",,"Y","F","C","2016_11_UT0080000_NIBRS",3941797,0
2016,7395436,19917,12,2016,"I",,"Y","F","C","2016_12_UT0080000_NIBRS",3941736,0
2016,7144876,19981,1,2016,"I",,"Y","F","C","2016_01_UT0230200_NIBRS",28268383,0
2016,7167660,19981,2,2016,"I",,"N","F","C","2016_02_UT0230200_NIBRS",,0
2016,7190444,19981,3,2016,"I",,"N","F","C","2016_03_UT0230200_NIBRS",,0
2016,7213228,19981,4,2016,"I",,"Y","F","C","2016_04_UT0230200_NIBRS",18090518,0
2016,7236012,19981,5,2016,"I",,"Y","F","C","2016_05_UT0230200_NIBRS",6419236,0
2016,7258796,19981,6,2016,"I",,"Y","F","C","2016_06_UT0230200_NIBRS",6419270,0
2016,7281580,19981,7,2016,"I",,"Y","F","C","2016_07_UT0230200_NIBRS",19624754,0
2016,7304364,19981,8,2016,"I",,"Y","F","C","2016_08_UT0230200_NIBRS",8097071,0
2016,7327148,19981,9,2016,"I",,"Y","F","C","2016_09_UT0230200_NIBRS",8096712,0
2016,7349932,19981,10,2016,"I",,"Y","F","C","2016_10_UT0230200_NIBRS",19624792,0
2016,7372716,19981,11,2016,"I",,"Y","F","C","2016_11_UT0230200_NIBRS",20155636,0
2016,7395500,19981,12,2016,"I",,"Y","F","C","2016_12_UT0230200_NIBRS",9039913,0
2016,7144847,19952,1,2016,"I",,"Y","F","C","2016_01_UT0181900_NIBRS",877192,0
2016,7167631,19952,2,2016,"I",,"N","F","C","2016_02_UT0181900_NIBRS",,0
2016,7190415,19952,3,2016,"I",,"Y","F","C","2016_03_UT0181900_NIBRS",3950761,0
2016,7213199,19952,4,2016,"I",,"Y","F","C","2016_04_UT0181900_NIBRS",3950811,0
