"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,110768067,10,
2017,110765368,1,
2017,110760262,1,
2017,104728794,1,
2017,104728786,1,
2017,104824800,1,
2017,104733176,9,
2017,104734292,9,
2017,104735223,1,
2017,104735219,1,
2017,104736112,4,
2017,104736130,4,
2017,104740421,5,
2017,104740421,3,
2017,104742676,1,
2017,104746844,1,
2017,104754055,1,
2017,104754067,1,
2017,104754065,1,
2017,104755458,9,
2017,104796490,1,
2017,104800195,2,
2017,104800204,2,
2017,104798120,1,
2017,104805698,1,
2017,104742038,1,
2017,104784714,1,
2017,104784716,1,
2017,104784706,1,
2017,104786130,10,
2017,104787099,1,
2017,104788190,1,
2017,104795723,1,
2017,104797416,1,
2017,104798658,1,
2017,104848218,1,
2017,104848202,1,
2017,104867896,9,
2017,104867898,9,
2017,104867897,9,
2017,104731829,8,
2017,104746872,1,
2017,104790406,1,
2017,104790410,6,
2017,106745898,1,
2017,106745915,9,
2017,106745905,9,
2017,106745903,9,
2017,106745900,9,
2017,106745906,9,
2017,106745907,9,
2017,106380267,9,
2017,106393299,1,
2017,106443551,9,
2017,106443548,9,
2017,106443546,1,
2017,106464274,1,
2017,106452807,10,
2017,106410282,10,
2017,99657233,1,
2017,99658106,1,
2017,99663129,2,
2017,99658372,2,
2017,99660809,2,
2017,99660814,2,
2017,99669495,6,
2017,99670616,1,
2017,99670607,1,
2017,99670621,1,
2017,99672501,1,
2017,99677512,9,
2017,99681203,6,
2017,99689414,6,
2017,99695515,10,
2017,99704869,6,
2017,99707316,1,
2017,99709381,9,
2017,99709746,9,
2017,99710109,1,
2017,99731718,1,
2017,99732610,1,
2017,99733837,1,
2017,100202694,6,
2017,100207547,1,
2017,100208057,10,
2017,100208061,10,
2017,100215628,1,
2017,100216500,1,
2017,100216817,1,
2017,100225771,1,
2017,100250142,9,
2017,100253808,5,
2017,100253808,1,
2017,100256497,6,
2017,100263871,6,
2017,100265209,9,
2017,100269867,1,
2017,100271172,2,
2017,100296368,1,
2017,100296630,1,
2017,100296963,1,
2017,100301482,1,
2017,100301534,10,
2017,100301691,1,
2017,100301698,1,
2017,100301694,1,
2017,100301809,9,
2017,100305088,10,
2017,100305083,10,
2017,100309815,10,
2017,100314317,9,
2017,100315136,10,
2017,100315716,1,
2017,100315725,1,
2017,100318434,10,
2017,100318438,9,
2017,100318602,1,
2017,100319269,1,
2017,100320899,1,
2017,100321666,5,
2017,100321640,5,
2017,100321654,5,
2017,100323475,10,
2017,100323469,10,
2017,100324068,1,
2017,100343630,1,
2017,100343635,1,
2017,100347425,9,
2017,100347483,1,
2017,100350767,9,
2017,100370349,9,
2017,100389495,1,
2017,100370343,9,
2017,99640164,1,
2017,99647785,1,
2017,99660892,1,
2017,99662190,1,
2017,99667002,1,
2017,99653615,9,
2017,99653650,9,
2017,99715427,9,
2017,99718457,9,
2017,99718454,9,
2017,99718465,1,
2017,99728812,1,
2017,99730141,1,
2017,99730537,1,
2017,99731537,1,
2017,99731531,1,
2017,99734388,1,
2017,99734582,1,
