"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
198842017,19884,2017,"UT0030100","UT0030100","","N","N",,"I","LOGAN","LOGAN PD","Logan","","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","City",51059,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","N",7,"3","Cities from 50,000 thru 99,000","3","Cities from 50,000 thru 99,000","N",2,"R","Y",52,6,58,2,25,27,0,0,01-MAR-91,01-JAN-93,,,,,"N","CACHE","Logan, UT-ID","Y","Y","Y"
198902017,19890,2017,"UT0031600","UT0031600","","N","N",,"I","UTAH STATE UNIV: LOGAN","UTAH STATE UNIVERSITY PD LOGAN","Utah State University:","Logan","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","University or College",0,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",9,3,12,1,4,5,0,0,01-MAR-91,01-FEB-05,,,,,"N","CACHE","Logan, UT-ID","Y","Y","Y"
198912017,19891,2017,"UT0032000","UT0032000","","N","N",,"I","CACHE-RICH DRUG TASK FOR","TRI COUNTY NARCOTICS STRIKE FORCE","Cache-Rich Drug Task Force","","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","Other",0,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,1,1,0,0,01-MAR-91,01-FEB-00,,,,,"N","","Non-MSA","Y","Y","Y"
198922017,19892,2017,"UT0040000","UT0040000","","N","N",,"I","CARBON","CARBON CO SO PRICE","Carbon","","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","County",6703,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",27,15,42,0,11,11,0,0,01-MAR-91,01-MAY-93,,,,,"N","CARBON","Non-MSA","Y","Y","Y"
198932017,19893,2017,"UT0040100","UT0040100","","N","N",,"I","PRICE","PRICE PD","Price","","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","City",8313,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",17,0,17,0,2,2,0,0,01-MAR-91,01-JAN-93,,,,,"N","CARBON","Non-MSA","Y","Y","Y"
198942017,19894,2017,"UT0040300","UT0040300","","N","N",,"I","HELPER","HELPER PD","Helper","","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","City",2077,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,1,1,2,0,0,01-MAR-91,01-NOV-98,,,,,"N","CARBON","Non-MSA","Y","Y","Y"
198982017,19898,2017,"UT0050000","UT0050000","","N","N",,"I","DAGGETT","DAGGETT CO SO MANILA","Daggett","","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","County",1100,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",5,0,5,0,1,1,0,0,01-MAR-91,01-APR-17,01-APR-17,,,,"N","DAGGETT","Non-MSA","Y","Y","Y"
198992017,19899,2017,"UT0060000","UT0060000","","N","N",,"I","DAVIS","DAVIS CO SO FARMINGTON","Davis","","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","County",28113,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",113,72,185,16,77,93,0,0,01-MAR-91,01-JAN-98,,,,,"N","DAVIS","Ogden-Clearfield, UT","Y","Y","Y"
199002017,19900,2017,"UT0060100","UT0060100","","N","N",,"I","BOUNTIFUL","BOUNTIFUL PD","Bountiful","","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","City",44312,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",33,2,35,3,15,18,0,0,01-MAR-91,01-NOV-03,,,,,"N","DAVIS","Ogden-Clearfield, UT","Y","Y","Y"
199012017,19901,2017,"UT0060200","UT0060200","","N","N",,"I","CLEARFIELD","CLEARFIELD PD","Clearfield","","A",49,"Utah","UT","UT","8","Mountain","4","West","Region IV","City",30994,23394,"UTUCR0001","Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",28,3,31,5,12,17,0,0,01-MAR-91,01-JAN-97,,,,,"N","DAVIS","Ogden-Clearfield, UT","Y","Y","Y"
