"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,121040975,15.5,1,12978215
2019,5,121040977,59,1,12978218
2019,4,121038339,0.2,1,12973436
2019,12,121041416,1,1,12978312
2019,16,121046063,9,9,12963570
2019,12,121046063,4,1,12963569
2019,4,121046063,9,1,12978316
2019,5,121041436,1,1,12978319
2019,12,121041444,1.7,1,12963571
2019,12,121046080,,,12963573
2019,5,121568971,40,1,13113063
2019,5,121569014,,,13118305
2019,4,121569977,3.01,1,13118324
2019,12,121569977,0.01,1,13118325
2019,5,121570304,5,3,13118387
2019,4,121574655,1,1,13118391
2019,5,121574687,1,1,13113203
2019,4,121570389,0.005,1,13118409
2019,5,121575495,6.2,1,13113537
2019,5,121570786,6,1,13118530
2019,5,121575853,1,1,13113596
2019,8,121570825,1,9,13113601
2019,5,121570825,6.7,1,13113600
2019,16,121575897,1,9,13113603
2019,5,121570860,15,1,13108192
2019,2,121576112,1,1,13113641
2019,12,121571402,,,13118642
2019,5,121572537,54.2,1,13118877
2019,12,121577999,0.08,1,13113981
2019,5,121572637,9.76,1,13118886
2019,12,121572637,0.28,1,13118887
2019,12,121572863,14.03,1,13118919
2019,5,123861746,3.2,1,13684336
2019,18,123858829,,,13670842
2019,4,121572907,3.1,1,13118923
2019,4,123858829,652.2,1,13670840
2019,5,121572962,,,13118925
2019,5,121573170,,,13118952
2019,4,121564121,172.8,1,13108259
2019,16,121573225,6,9,13118958
2019,4,121573225,0.4,1,13118959
2019,4,121573254,1,9,13118962
2019,4,121573254,8,1,13118963
2019,2,121573254,1,9,13118961
2019,12,121573306,18.2,1,13118970
2019,4,121573306,1.3,1,13118969
2019,2,121573325,15.2,1,13118971
2019,8,123858829,3117,9,13670841
2019,5,121573427,154.36,1,13118982
2019,17,121573447,3,9,13118984
2019,12,121573576,9.4,1,13118997
2019,5,121573586,7.4,1,13118998
2019,5,121573617,9.29,1,13119002
2019,5,121573730,3,1,13119017
2019,4,121573730,3.7,1,13119016
2019,5,121573752,53.52,1,13119018
2019,5,121573765,1,11,13119023
2019,5,121573835,21.5,1,13119031
2019,5,121573835,1,9,13119032
2019,12,123859574,0.05,1,13670987
2019,5,121573840,9.1,1,13119034
2019,5,121573844,194,1,13119035
2019,12,123861856,753.4,1,13670855
2019,4,123861856,226.6,1,13684381
2019,16,123859036,20,9,13684401
2019,4,123864581,4.2,1,13670990
2019,2,121574053,1.4,1,13119069
2019,5,121574081,35.5,1,13119071
2019,12,121574116,13.6,1,13119080
2019,12,121574145,2.1,1,13119081
2019,5,121574153,0.92,3,13119082
2019,5,121574198,1,11,13119085
2019,5,123864950,2,1,13671034
2019,12,123864950,7,1,13684618
2019,16,121574352,102,9,13119093
2019,18,121574352,,,13119094
2019,12,121574352,1,11,13119092
2019,4,123864950,2,1,13671035
2019,5,121574437,7.9,1,13119100
2019,12,123863550,24.8,1,13684642
2019,2,121574496,3.2,1,13119105
2019,16,121574524,11,9,13119107
2019,5,121574524,20.5,1,13119106
2019,12,123865056,3,1,13671045
2019,5,123863828,488.4,1,13671053
2019,12,121579582,1.3,1,13119111
2019,12,121579644,0.6,1,13119123
2019,12,121579664,40,1,13119128
2019,5,121579664,3.8,1,13119127
2019,4,121579664,2.9,1,13119126
2019,5,123869607,1.7,1,13684781
2019,12,123869678,2,1,13684789
2019,17,123865668,,,13671118
2019,8,120472425,180,9,12816604
2019,12,120477956,,,12823349
2019,4,120467208,,,12816602
2019,4,120467211,1,5,12819252
2019,12,120467257,5.22,1,12819264
2019,2,120467266,55,1,12823357
2019,5,120467266,17,1,12816612
2019,4,120478018,1.2,1,12816617
2019,5,120467315,5,1,12819274
2019,5,120478097,1.5,1,12816628
2019,12,120478223,2,4,12816637
2019,5,120478223,4,9,12819299
2019,12,120467415,0.4,1,12816643
2019,5,120472857,1,9,12819320
2019,5,120468209,1,3,12816806
2019,5,120473858,0.01,1,12819532
2019,12,120468354,0.05,3,12816828
2019,4,120468354,0.1,3,12816827
2019,11,120469232,2.3,1,12817025
2019,5,120469267,0.5,1,12817037
2019,12,120469272,0.009,1,12823835
2019,4,120469272,0.007,1,12823834
2019,16,120469272,1,9,12817040
2019,12,120469277,1.7,1,12817041
2019,4,120469277,0.5,1,12817042
