"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,127490554,132185013,21,39728948
2019,129964053,134776847,1,40708217
2019,129964117,134781042,3,40703094
2019,129964136,134781063,1,40703099
2019,129959853,134781070,4,40708237
2019,129957764,134781070,4,40708238
2019,127490618,132185073,9,39728963
2019,127490670,132185131,5,39728970
2019,127490728,132185189,17,39728977
2019,129959854,134781070,16,40712750
2019,129964203,134781132,14,40708247
2019,127490767,132185225,17,39726330
2019,127490597,132185057,1,39728958
2019,127491001,132185451,3,39729052
2019,129960001,134781288,19,40703157
2019,127491053,132163189,25,39729063
2019,129964390,134769869,14,40703167
2019,129964466,134777117,19,40708286
2019,129960080,134781426,16,40703191
2019,127491052,132163188,25,39729062
2019,127491052,132163189,21,39751414
2019,127491053,132163188,21,39729064
2019,127491056,132163195,24,39729066
2019,127491055,132163195,24,39729065
2019,127491076,132185516,5,39729073
2019,129960081,134781426,16,40708292
2019,127500415,132185533,21,39751425
2019,127491117,132163257,3,39729078
2019,127491137,132163275,9,39729088
2019,127491155,132185608,6,39729091
2019,129964629,134769951,3,40703208
2019,127500666,132185753,19,39751500
2019,127501026,132163844,16,39729274
2019,127492648,132187127,20,39729482
2019,127501919,132187153,14,39751821
2019,127501942,132164723,12,39751829
2019,127492687,132187182,9,39729488
2019,129964630,134769951,5,40703209
2019,127508211,132187691,24,39729644
2019,129960217,134781679,18,40708312
2019,127508326,132171193,25,39729672
2019,127508326,132171192,12,39729670
2019,127508333,132190571,3,39729673
2019,127504121,132187806,21,39746660
2019,127508335,132187806,5,39729674
2019,127508336,132187806,5,39729675
2019,127504174,132187911,19,39746670
2019,127504190,132187947,9,39746671
2019,127508582,132188053,21,39729730
2019,129960217,134781676,18,40708311
2019,129960221,134781683,18,40703224
2019,129964760,134781691,21,40703226
2019,129965360,134782378,1,40703377
2019,129968079,134782531,21,40708361
2019,129961191,134778224,18,40703765
2019,129968254,134783634,25,40703781
2019,127502836,132190636,16,39752106
2019,129968254,134783635,1,40712881
2019,129961214,134783634,1,40703782
2019,129961214,134783635,25,40708570
2019,129961255,134778280,24,40708579
2019,129961513,134778542,14,40708691
2019,129961511,134778542,18,40708690
2019,129966961,134778561,21,40708694
2019,129961612,134778639,18,40712909
2019,129961627,134784126,18,40708727
2019,129961678,134778710,16,40703958
2019,129961695,134784216,16,40708748
2019,129961699,134784221,1,40708750
2019,129967271,134784314,16,40704008
2019,129961785,134784323,19,40708791
2019,129961785,134784321,25,40708792
2019,129961784,134784323,25,40708790
2019,129961784,134784321,19,40704012
2019,127508618,132171329,15,39729733
2019,127508638,132171344,16,39729741
2019,127508642,132190649,17,39729742
2019,127508740,132188196,21,39729764
2019,127508790,132190719,5,39729775
2019,127508792,132190719,25,39729777
2019,127508792,132190718,17,39729776
2019,127508790,132190718,25,39729774
2019,127504333,132188281,24,39746720
2019,127508854,132188316,9,39729791
2019,127508894,132188357,24,39729794
2019,127508895,132188357,24,39729795
2019,127508942,132188406,24,39729801
2019,127508981,132188458,18,39729812
2019,127509131,132188589,21,39729848
2019,127509131,132188588,25,39729847
2019,127509132,132188588,21,39729849
2019,127509132,132188589,25,39729850
2019,127509142,132188601,5,39729853
2019,127509150,132188606,1,39729854
2019,127509158,132191041,1,39729858
2019,127509206,132188673,3,39729870
2019,127509232,132188694,24,39729873
2019,127509247,132188706,3,39729877
2019,127509248,132188707,18,39729878
2019,127509253,132188710,19,39729879
2019,127509271,132191205,21,39729887
2019,127509284,132188734,19,39729890
2019,127509283,132188734,26,39729889
2019,127509286,132188735,24,39729891
2019,127509287,132188735,24,39729892
2019,127509319,132188764,24,39729899
2019,127509324,132188769,1,39729900
2019,127509325,132188770,18,39729901
2019,127509336,132188782,9,39729905
2019,127509336,132188781,3,39729904
2019,127509338,132188784,24,39729907
2019,127509345,132188791,25,39729913
2019,127509346,132188791,21,39729915
2019,127509345,132188792,21,39729914
2019,127509346,132188792,25,39729916
2019,127509348,132188793,24,39729917
2019,127509356,132188799,21,39729919
2019,127513505,132191302,1,39752242
2019,127513504,132191302,1,39752241
2019,127509370,132188812,24,39729921
2019,127509374,132188815,26,39729922
2019,127509375,132188816,24,39729923
2019,127509384,132188827,1,39729927
2019,127509384,132188826,25,39729928
2019,127509418,132191418,3,39729934
2019,127513635,132191418,16,39752269
2019,127509438,132191434,9,39729939
2019,127509467,132191478,4,39729947
2019,127509502,132188930,16,39729955
2019,127509503,132188930,16,39729956
2019,127509510,132188937,26,39729963
2019,127509522,132188949,5,39729966
2019,127513737,132191517,1,39752293
2019,127513738,132191517,1,39752294
2019,127509534,132188958,24,39729969
2019,127509533,132188958,24,39729968
2019,127509532,132188958,24,39729967
2019,127509536,132188960,3,39729970
2019,127504606,132171698,18,39746819
2019,127509633,132171764,1,39729997
2019,127509646,132189077,24,39730006
2019,127509911,132195171,18,39730148
2019,127509920,132195179,24,39730149
2019,127509922,132195179,24,39730151
2019,127509921,132195179,24,39730150
2019,127509926,132195183,14,39730152
2019,127509927,132195185,18,39730154
2019,127509927,132195184,18,39730153
2019,127509937,132195196,24,39730157
2019,127509939,132195197,19,39730160
2019,127509938,132195197,25,39730159
2019,127509939,132195198,25,39730161
2019,127509938,132195198,19,39730158
2019,127509940,132195199,3,39730162
2019,127509943,132195201,24,39730163
2019,127509954,132195211,18,39730167
2019,127509953,132195211,16,39730166
2019,127509955,132195212,18,39730168
2019,127509980,132195240,24,39730174
2019,127509981,132195241,18,39730175
2019,127509988,132195247,18,39730176
2019,127509996,132195256,21,39730181
2019,127510007,132195271,18,39730190
2019,127510009,132195272,18,39730191
2019,127510018,132195281,16,39730195
2019,127510018,132195282,24,39730194
2019,127510018,132195283,24,39730193
2019,127510020,132195284,18,39730196
2019,127510023,132195287,19,39730197
2019,127510025,132195289,24,39730198
2019,127510027,132195291,18,39730199
2019,127510032,132195295,18,39730200
2019,127510033,132195297,18,39730202
2019,127510033,132195296,18,39730201
2019,127510049,132195313,11,39730204
2019,127510049,132195314,24,39730206
2019,127510049,132195315,1,39730207
2019,127510049,132195312,24,39730205
2019,127510061,132195326,18,39730211
2019,127510062,132195327,18,39730212
2019,127510085,132195349,3,39730216
2019,127510092,132195356,1,39730220
2019,127510093,132195357,24,39730221
2019,127510103,132195367,18,39730225
2019,127510104,132195369,18,39730227
2019,127510104,132195368,18,39730226
2019,127510104,132195370,18,39730228
2019,127510114,132195379,18,39730230
2019,127510115,132195379,24,39730231
2019,127510129,132195389,18,39730237
2019,127510132,132195392,18,39730239
2019,127510133,132195393,18,39730240
2019,127510145,132195404,18,39730242
2019,127510146,132195406,18,39730244
2019,127510146,132195405,18,39730243
2019,127510156,132195414,3,39730247
2019,127510157,132195415,18,39730248
2019,127510162,132195419,18,39730249
2019,127510163,132195420,18,39730250
2019,127510165,132195423,18,39730252
