"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2016,5,91591087,0.05,1,7253689
2016,5,91591097,0.05,1,7253690
2016,5,91591099,0.5,1,7253691
2016,12,91591105,0.5,1,7253692
2016,5,91573575,2,1,7253695
2016,1,91582351,0.6,1,7253698
2016,5,91582385,1,1,7253700
2016,5,91582429,1.5,1,7253701
2016,5,91582431,8,1,7253702
2016,5,91582447,0.011,1,7253703
2016,5,91583301,0.01,1,7253705
2016,5,91583387,0.3,1,7253707
2016,1,91577590,0.5,1,7253708
2016,5,91577591,56,1,7253709
2016,5,91577606,3,1,7253710
2016,5,91578521,3,1,7253712
2016,5,91596644,2.1,1,7253715
2016,5,91596659,0.1,1,7253716
2016,5,91596674,0.001,1,7253717
2016,5,91596688,2,1,7253718
2016,4,91596694,0.001,1,7253719
2016,5,91596708,0.001,1,7253720
2016,5,91596726,0.001,1,7253721
2016,5,91596729,1,1,7253722
2016,5,91596741,0.7,1,7253723
2016,5,91596747,0.01,1,7253724
2016,5,91604269,2.2,1,7253725
2016,5,91604329,1,1,7253726
2016,4,91605092,0.5,1,7253727
2016,2,91599770,0.5,1,7253730
2016,5,91599810,0.02,1,7253731
2016,5,91599864,0.1,1,7253732
2016,5,91599870,3,1,7253733
2016,5,91599875,1,1,7253734
2016,5,91600615,1,1,7253735
2016,12,91600623,1,1,7253736
2016,17,91600645,1,1,7253737
2016,5,91600658,0.01,1,7253738
2016,5,91600731,7,1,7253739
2016,12,91587394,2,1,7253740
2016,5,91587435,1,1,7253741
2016,5,91592991,1,1,7253742
2016,5,91593025,0.005,1,7253743
2016,5,91593051,2,1,7253744
2016,12,91591179,1,1,7253747
2016,5,91591206,0.3,1,7253748
2016,5,91591212,0.5,1,7253749
2016,12,91591233,0.1,1,7253750
2016,5,91591238,2,1,7253751
2016,5,91591254,1,1,7253752
2016,5,91591277,1,1,7253753
2016,5,91573617,1,1,7253755
2016,12,91573618,0.01,1,7253756
2016,5,91573619,0.2,1,7253757
2016,5,91573634,0.03,1,7253758
2016,5,91573680,8.7,1,7253760
2016,17,91573724,0.2,1,7253761
2016,5,91573752,1,1,7253762
2016,5,91582540,5.001,1,7253764
2016,5,91582565,0.002,1,7253766
2016,5,91582588,1,1,7253767
2016,5,91582609,1,1,7253768
2016,5,91582626,0.001,1,7253769
2016,12,91582654,0.5,1,7253770
2016,5,91582657,0.5,1,7253771
2016,5,91577613,5,1,7253772
2016,5,91577653,6,1,7253774
2016,5,91577665,1,1,7253775
2016,4,91577668,1.1,1,7253776
2016,5,91577681,1.4,1,7253778
2016,5,91577690,2,1,7253779
2016,5,91577692,0.28,1,7253780
2016,4,91578573,2,1,7253782
2016,5,91578601,43,1,7253783
2016,5,91578634,1,1,7253784
2016,5,91578663,0.5,1,7253785
2016,5,91578664,9,1,7253786
2016,4,91596781,0.1,1,7253799
2016,4,91596792,0.1,1,7253800
2016,5,91596830,0.5,1,7253801
2016,5,91596836,1,1,7253802
2016,5,91596839,1,1,7253803
2016,5,91596851,1.1,1,7253804
2016,5,91604396,1,1,7253805
2016,5,91604398,2.5,1,7253806
2016,17,91599915,0.1,1,7253807
2016,5,91599953,1,1,7253808
2016,5,91599963,3,1,7253809
2016,5,91599981,3,1,7253810
2016,5,91600011,2,1,7253811
2016,5,91600019,15,1,7253812
2016,5,91600042,28,1,7253813
