"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2016,97254249,1,
2016,97256093,1,
2016,95160091,9,
2016,95161693,8,
2016,95161697,1,
2016,95162465,1,
2016,95164097,1,
2016,95164098,1,
2016,95164865,1,
2016,95166464,1,
2016,95167299,1,
2016,95167306,1,
2016,95155535,1,
2016,95156280,1,
2016,95160151,1,
2016,95160903,9,
2016,95160942,1,
2016,95161713,1,
2016,95163321,1,
2016,95163326,9,
2016,95165731,1,
2016,95165739,1,
2016,95167313,1,
2016,95156329,1,
2016,95157089,10,
2016,95157090,10,
2016,95160179,6,
2016,95160953,1,
2016,95160963,1,
2016,95162587,1,
2016,95162588,9,
2016,95162594,1,
2016,95162598,1,
2016,95163370,1,
2016,95163381,1,
2016,95163395,1,
2016,95164166,1,
2016,95164194,1,
2016,95164202,1,
2016,95164203,1,
2016,95165013,9,
2016,95154870,9,
2016,95157155,1,
2016,95159442,3,
2016,95160215,1,
2016,95161833,1,
2016,95162612,1,
2016,95163415,10,
2016,95165022,1,
2016,95165026,1,
2016,95166660,9,
2016,95154886,1,
2016,95154893,6,
2016,95159485,3,
2016,95159486,3,
2016,95159504,3,
2016,95159507,3,
2016,95159517,3,
2016,95159519,3,
2016,95159525,3,
2016,95161868,2,
2016,95161893,10,
2016,95161894,10,
2016,95163487,10,
2016,95164299,1,
2016,95166682,1,
2016,95155750,1,
2016,95155758,10,
2016,95157223,1,
2016,95157983,1,
2016,95158776,1,
2016,95160311,9,
2016,95161107,1,
2016,95161116,1,
2016,95161127,10,
2016,95161141,1,
2016,95161935,10,
2016,95162748,1,
2016,95165131,1,
2016,95165142,1,
2016,95165920,1,
2016,95165921,1,
2016,95166750,1,
2016,95166753,1,
2016,95157293,9,
2016,95158033,1,
2016,95159617,10,
2016,95160397,9,
2016,95161958,1,
2016,95161959,1,
2016,95161980,1,
2016,95161981,1,
2016,95162807,1,
2016,95163570,10,
2016,95163571,10,
2016,95163596,10,
2016,95165175,10,
2016,95165178,8,
2016,95165180,2,
2016,95165194,1,
2016,95165203,9,
2016,95165211,9,
2016,95165990,1,
2016,95165999,1,
2016,95166000,1,
2016,95166765,1,
2016,95166766,1,
2016,95166790,1,
2016,95166808,1,
2016,95155070,9,
2016,95155071,9,
2016,95155072,9,
2016,95159665,10,
2016,95159679,2,
2016,95160413,1,
2016,95161206,1,
2016,95161227,1,
2016,95161228,1,
2016,95161230,1,
2016,95161248,17,
2016,95162014,10,
2016,95162808,1,
2016,95164460,1,
2016,95165229,10,
2016,95166014,1,
2016,95166015,1,
2016,95166017,9,
