"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8148414,20414,1,2019,"I",,"Y","G","C","2019_01_VA1060000_NIBRS",52410829,0
2019,8156076,20414,2,2019,"I",,"Y","G","C","2019_02_VA1060000_NIBRS",52410833,0
2019,8163738,20414,3,2019,"I",,"Y","G","C","2019_03_VA1060000_NIBRS",52410836,0
2019,8171400,20414,4,2019,"I",,"Y","G","C","2019_04_VA1060000_NIBRS",69908256,0
2019,8179062,20414,5,2019,"I",,"Y","G","C","2019_05_VA1060000_NIBRS",69905369,0
2019,8186724,20414,6,2019,"I",,"Y","G","C","2019_06_VA1060000_NIBRS",52415053,0
2019,8194386,20414,7,2019,"I",,"Y","G","C","2019_07_VA1060000_NIBRS",69905377,0
2019,8202048,20414,8,2019,"I",,"Y","G","C","2019_08_VA1060000_NIBRS",69908270,0
2019,8209710,20414,9,2019,"I",,"Y","G","C","2019_09_VA1060000_NIBRS",69908275,0
2019,8217372,20414,10,2019,"I",,"Y","G","C","2019_10_VA1060000_NIBRS",69912745,0
2019,8225034,20414,11,2019,"I",,"Y","G","C","2019_11_VA1060000_NIBRS",64921001,0
2019,8232696,20414,12,2019,"I",,"Y","G","C","2019_12_VA1060000_NIBRS",64921006,0
2019,8148131,20110,1,2019,"I",,"Y","G","C","2019_01_VA0230000_NIBRS",37389849,0
2019,8155793,20110,2,2019,"I",,"Y","G","C","2019_02_VA0230000_NIBRS",37389855,0
2019,8163455,20110,3,2019,"I",,"Y","G","C","2019_03_VA0230000_NIBRS",46268844,0
2019,8171117,20110,4,2019,"I",,"Y","G","C","2019_04_VA0230000_NIBRS",48169263,0
2019,8178779,20110,5,2019,"Z",,"Y","G","C","2019_05_VA0230000_NIBRS",48172541,0
2019,8186441,20110,6,2019,"I",,"Y","G","C","2019_06_VA0230000_NIBRS",52392562,0
2019,8194103,20110,7,2019,"I",,"Y","G","C","2019_07_VA0230000_NIBRS",52392568,0
2019,8201765,20110,8,2019,"I",,"Y","G","C","2019_08_VA0230000_NIBRS",67748164,0
2019,8209427,20110,9,2019,"I",,"Y","G","C","2019_09_VA0230000_NIBRS",62817144,0
2019,8217089,20110,10,2019,"I",,"Y","G","C","2019_10_VA0230000_NIBRS",62817161,0
2019,8224751,20110,11,2019,"I",,"Y","G","C","2019_11_VA0230000_NIBRS",67739657,0
2019,8232413,20110,12,2019,"I",,"Y","G","C","2019_12_VA0230000_NIBRS",67739661,0
2019,8148129,20108,1,2019,"I",,"Y","G","C","2019_01_VA0220100_NIBRS",67739551,0
2019,8155791,20108,2,2019,"I",,"Y","G","C","2019_02_VA0220100_NIBRS",61047285,0
