"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2016,25840557,88886498,1,06-AUG-16,3,"N",28,5,34,"M",1,,"N","","",34,0
2016,25840560,88886498,2,06-AUG-16,2,"N",14,5,30,"M",1,2,"U","","",30,0
2016,25840717,88886776,1,01-NOV-16,2,"N",51,5,53,"F",1,,"R","","",53,0
2016,25840725,88886790,1,22-DEC-16,1,"N",37,5,27,"F",1,,"N","","",27,0
2016,25263001,86392510,1,08-AUG-16,3,"N",45,5,26,"M",1,1,"","","",,
2016,25263086,86393643,15,16-NOV-16,2,"N",45,5,63,"M",1,,"","","",,
2016,26213320,89948774,1,29-FEB-16,2,"C",45,5,32,"F",1,2,"R","","",32,0
2016,26213369,89948884,1,03-APR-16,2,"C",23,5,25,"M",1,2,"R","","",25,0
2016,26213411,89949008,1,05-MAY-16,2,"C",10,5,17,"M",1,2,"R","R","",17,0
2016,26213431,89949048,1,29-JUN-16,2,"C",5,5,20,"M",1,3,"R","","",20,0
2016,25262196,86307168,1,02-JAN-17,2,"C",47,5,49,"M",1,2,"R","","",,
2016,25262560,84336872,1,09-FEB-16,3,"N",47,5,24,"M",1,2,"R","","",,
2016,25262897,87746505,1,16-DEC-16,3,"M",47,5,32,"M",1,3,"R","","",,
2016,25262898,87746505,2,19-DEC-16,3,"M",47,5,28,"M",1,3,"R","","",,
2016,25262551,84336848,1,26-JAN-16,2,"N",47,5,42,"M",1,2,"R","","",,
2016,25262637,84337904,1,18-APR-16,2,"N",47,5,31,"M",1,2,"N","","",,
2016,25262647,84337947,1,02-MAY-16,2,"N",47,5,43,"F",1,2,"N","","",,
2016,25261632,84358353,1,30-DEC-16,2,"C",47,5,24,"F",1,2,"R","","",,
2016,25258515,83228780,1,21-FEB-16,2,"N",47,5,62,"M",1,2,"R","","",,
2016,25262739,84340007,1,06-SEP-16,2,"N",47,5,19,"M",1,2,"R","","",,
2016,25262780,84340998,1,30-OCT-16,2,"N",47,5,33,"M",1,2,"R","","",,
2016,25262783,84341005,1,02-NOV-16,2,"N",47,5,33,"M",1,2,"U","","",,
2016,25262787,84341013,1,06-NOV-16,2,"N",47,5,33,"M",4,2,"R","","",,
2016,25262806,84341047,1,29-NOV-16,2,"N",47,5,33,"M",1,2,"U","","",,
2016,25262829,83213819,1,03-MAR-16,2,"N",47,5,29,"M",1,2,"R","","",,
2016,25258067,87282630,1,16-JUN-16,1,"N",47,5,39,"M",1,2,"","","",,
2016,25257111,83878036,1,07-MAY-16,1,"N",47,5,20,"M",1,2,"R","","",,
2016,25258316,85099542,1,02-JAN-17,1,"N",47,5,24,"M",1,2,"R","","",,
2016,25258491,83227881,1,10-JAN-16,1,"N",47,5,44,"F",1,2,"R","","",,
2016,25258536,83228807,1,08-MAY-16,1,"N",47,5,31,"F",1,2,"R","","",,
2016,26027874,89449572,1,24-NOV-16,3,"N",27,5,22,"M",1,,"R","","",22,0
2016,25261716,86796217,1,26-DEC-16,3,"C",51,5,23,"M",1,2,"R","","",,
2016,25261724,87587682,1,26-JUN-16,3,"C",51,5,48,"M",1,2,"R","","",,
2016,25261727,87587689,1,17-JUL-16,3,"C",51,5,39,"M",4,2,"R","","",,
2016,25262761,84340066,1,29-SEP-16,3,"N",51,5,40,"M",1,2,"R","","",,
2016,25262766,84340948,1,09-OCT-16,3,"N",51,5,14,"F",1,2,"R","R","",,
2016,25262786,84341010,1,06-NOV-16,3,"N",51,5,34,"M",1,2,"R","","",,
2016,25262792,84341024,1,12-NOV-16,3,"N",51,5,32,"M",1,2,"R","","",,
2016,26211123,89943129,1,03-JAN-16,3,"C",51,5,19,"M",1,2,"R","","",19,0
2016,25259682,88134942,1,01-AUG-16,3,"C",51,5,21,"F",1,2,"R","","",,
2016,26211187,89943371,1,21-JAN-16,1,"C",27,5,34,"M",1,2,"","","",34,0
2016,25257112,83878038,1,17-MAY-16,2,"N",51,5,32,"M",1,2,"R","","",,
2016,25257114,83878043,1,22-MAY-16,2,"N",51,5,32,"M",1,2,"R","","",,
2016,25257121,83878058,1,11-JUN-16,2,"N",51,5,38,"M",1,2,"R","","",,
2016,25257122,83878075,1,24-JUN-16,2,"N",51,5,29,"M",1,2,"R","","",,
2016,25257131,83878132,1,23-JUL-16,2,"N",51,5,38,"F",1,2,"R","","",,
2016,25257134,83879032,2,27-OCT-16,2,"N",51,5,66,"M",1,2,"R","","",,
2016,25257148,83879103,1,23-AUG-16,2,"N",51,5,59,"M",1,2,"","","",,
2016,25258163,86246406,1,06-SEP-16,2,"N",51,5,35,"M",1,2,"","","",,
2016,25258177,86246431,1,01-MAR-16,2,"N",51,5,14,"M",1,2,"R","R","",,
2016,25258188,86247307,1,06-JUL-16,2,"N",51,5,21,"F",1,2,"R","","",,
2016,25258203,86247356,2,08-JUL-16,2,"N",51,5,27,"F",1,2,"R","","",,
2016,25258206,86247367,1,16-JUL-16,2,"N",51,5,48,"F",1,2,"R","","",,
2016,25258211,86247377,2,27-JUL-16,2,"N",51,5,46,"F",1,2,"N","","",,
2016,25258217,86247391,1,25-SEP-16,2,"N",51,5,34,"F",1,2,"N","","",,
2016,25262009,83172336,1,05-DEC-16,2,"N",51,5,17,"F",1,2,"R","R","",,
2016,25262014,83172341,1,28-FEB-17,2,"N",51,5,21,"M",1,2,"R","","",,
2016,25263073,86393611,1,12-OCT-16,2,"N",51,5,48,"F",1,2,"","","",,
2016,25263076,86393620,1,21-OCT-16,2,"N",51,5,9,"M",1,2,"","R","",,
2016,25263102,86393678,53,27-DEC-16,2,"N",51,5,20,"F",2,2,"","","",,
2016,25263116,86181842,2,03-JUN-16,2,"N",51,5,10,"M",1,2,"R","R","",,
2016,25263126,86181865,1,31-MAY-16,2,"N",51,5,47,"M",1,2,"R","","",,
2016,25261741,83167374,1,07-JAN-16,3,"N",51,5,37,"M",2,2,"R","","",,
2016,25261748,83168236,1,18-JAN-16,3,"N",51,5,29,"M",1,2,"R","","",,
2016,25261757,83168253,1,30-JAN-16,3,"N",51,5,29,"M",1,2,"R","","",,
2016,25261779,83168310,1,04-MAR-16,3,"N",51,5,22,"F",1,2,"R","","",,
2016,25261783,83168317,1,10-MAR-16,3,"N",51,5,42,"F",1,2,"N","","",,
2016,25261391,86303285,1,03-OCT-16,2,"C",51,5,29,"M",1,2,"R","","",,
2016,25262418,87405515,1,18-AUG-16,2,"N",51,5,17,"F",1,2,"R","R","",,
2016,25262455,87406379,1,12-DEC-16,2,"N",51,5,35,"M",1,2,"N","","",,
2016,25262456,87406379,2,12-DEC-16,2,"N",51,5,32,"F",1,2,"N","","",,
2016,25262466,84359288,1,04-FEB-16,2,"C",51,5,28,"M",1,2,"R","","",,
2016,25257852,83226809,1,10-AUG-16,3,"N",51,5,23,"M",1,2,"","","",,
2016,25257866,83226846,1,08-SEP-16,3,"N",51,5,43,"F",1,2,"","","",,
2016,25257878,83227775,1,01-NOV-16,3,"N",51,5,44,"M",1,2,"","","",,
2016,25259960,88136722,1,12-NOV-16,3,"C",51,5,22,"M",1,2,"R","","",,
2016,25259961,88136723,1,12-NOV-16,3,"C",51,5,52,"M",1,2,"R","","",,
2016,25259974,88136760,1,19-NOV-16,3,"C",51,5,25,"M",0,2,"R","","",,
2016,25259995,88136787,1,01-DEC-16,3,"C",51,5,21,"M",4,2,"R","","",,
2016,25260008,88136802,1,11-DEC-16,3,"C",51,5,49,"F",1,2,"R","","",,
2016,25260009,88136803,1,12-DEC-16,3,"C",51,5,34,"F",1,2,"R","","",,
2016,25261074,83751690,1,18-JUL-16,3,"C",51,5,32,"M",2,2,"R","","",,
2016,25263151,83172390,1,10-OCT-16,3,"N",51,5,38,"M",1,2,"","","",,
2016,25263178,87315225,1,18-NOV-16,3,"N",51,5,63,"M",1,2,"R","","",,
2016,25260760,83130793,1,08-OCT-16,3,"C",51,5,26,"M",1,2,"R","","",,
2016,25260763,83131618,1,22-OCT-16,3,"C",51,5,61,"M",1,2,"R","","",,
2016,25260765,83131624,1,23-OCT-16,3,"C",51,5,36,"M",1,2,"R","","",,
2016,26211219,89943456,1,29-JAN-16,3,"C",27,5,24,"M",1,2,"R","","",24,0
2016,25261813,83168373,1,08-APR-16,3,"N",51,5,31,"M",2,2,"N","","",,
2016,25261817,83168378,2,11-APR-16,3,"N",51,5,26,"F",1,2,"R","","",,
2016,25261820,83169241,1,14-APR-16,3,"N",51,5,51,"M",1,2,"R","","",,
2016,25261826,83169261,1,19-APR-16,3,"N",51,5,35,"M",1,2,"R","","",,
2016,25261830,83169275,1,24-APR-16,3,"N",51,5,30,"M",1,2,"R","","",,
2016,25261850,83169309,1,14-MAY-16,3,"N",51,5,31,"M",1,2,"R","","",,
2016,25261857,83169324,1,31-MAY-16,3,"N",51,5,33,"M",1,2,"R","","",,
