"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2016,92911517,8,8,27-SEP-16,98033715
2016,91569751,63,15,,98055741
2016,92179871,63,500,,98055742
2016,93402617,63,0,,98055743
2016,92791163,63,20,,98055744
2016,89738472,63,1260,,98055745
2016,91569771,63,10,,98055746
2016,90958861,63,500,,98055747
2016,94013606,63,500,,98055748
2016,91569789,63,50,,98055749
2016,93402651,63,25,,98055750
2016,91569798,63,1000,,98055751
2016,93402675,63,400,,98055752
2016,89739631,63,300,,98055757
2016,93403712,63,54,,98055758
2016,89739635,63,75,,98055759
2016,92181008,63,10,,98055760
2016,90959991,63,5,,98055761
2016,89739646,63,50,,98055762
2016,94014750,63,100,,98055763
2016,94014751,63,1,,98055764
2016,90960001,63,10,,98055765
2016,93403728,63,5,,98055766
2016,90960009,63,100,,98055767
2016,91570958,63,200,,98055768
2016,89739657,63,1,29-AUG-16,98055769
2016,89739658,63,1,,98055770
2016,89739673,63,1,,98055772
2016,89876980,63,35,,98122840
2016,91097866,63,71,,98122841
2016,92318051,63,800,,98122842
2016,95781371,63,70,,100412492
2016,95781381,3,1281,,100412508
2016,95781404,8,1,,100412525
2016,95781431,19,59,,100412564
2016,92790840,8,15,,97877013
2016,89738206,8,17,,97877014
2016,95781428,19,59,04-DEC-16,100412563
2016,91569552,8,48,,97877057
2016,92790943,8,17,,97877058
2016,90959646,8,68,,97877059
2016,90959655,8,50,,97877060
2016,94014480,8,10,,97877062
2016,95781658,19,189,,100412828
2016,92792022,8,8,,97877067
2016,92792027,8,11,,97877068
2016,95781697,63,90,,100412880
2016,95781718,36,277,,100412907
2016,95781735,38,400,,100412928
2016,95781735,6,25,,100412926
2016,95781762,20,1904,,100412958
2016,91569586,8,125,,97877100
2016,95781755,20,1904,22-FEB-16,100412956
2016,95781767,6,43,,100412966
2016,92180762,8,2,23-JAN-16,97877103
2016,92792092,8,300,,97877104
2016,95781771,21,5248,,100412968
2016,95781775,51,0,27-JAN-16,100412976
2016,95781778,51,0,,100412980
2016,95781821,19,192,07-FEB-16,100413038
2016,95781823,19,192,,100413039
2016,95781845,17,1,,100413066
2016,95781856,20,7,,100413080
2016,90348679,8,50,,97877145
2016,91570818,8,22,30-MAR-16,97877146
2016,95781854,20,7,14-FEB-16,100413079
2016,95781896,25,20,,100413123
2016,95781923,20,250,,100413156
2016,95781918,63,5430,,100413151
2016,93402567,8,1,,97877172
2016,94013586,8,429,,97877173
2016,95781915,36,1,01-MAR-16,100413147
2016,95781925,36,1,,100413158
2016,95781915,63,25,01-MAR-16,100413148
2016,95781925,63,25,,100413160
2016,95781948,61,106,05-MAR-16,100413199
2016,95781950,61,106,,100413205
2016,92790824,20,40,,97891012
2016,89738151,20,200,,97891013
2016,94013294,20,1093,05-JUL-16,97891014
2016,90347377,20,23,,97891015
2016,92790839,20,315,,97891016
2016,92179615,20,100,,97891017
2016,94013324,3,1500,29-JAN-16,97891019
2016,92790878,3,1500,,97891020
2016,92180617,3,200,,97891031
2016,94014365,3,300,,97891032
2016,90959590,3,250,,97891033
2016,89738381,8,40,,98020565
2016,89739552,8,450,16-AUG-16,98020567
2016,90348785,8,16,,98020568
2016,90347813,8,16,,98042511
2016,90348941,8,59,,98042545
2016,93402682,63,1466,,98055930
2016,90958925,63,50,,98055931
2016,92179975,63,800,,98055932
2016,93402705,63,200,,98055933
2016,90347767,63,100,,98055934
2016,89738573,63,40,,98055935
2016,92179986,63,3700,,98055936
2016,94013709,63,2800,,98055937
2016,94013712,63,20,,98055938
2016,92179995,63,100,,98055939
2016,90347783,63,100,,98055940
2016,89738588,63,30,,98055941
2016,90347786,63,220,,98055942
2016,94013724,63,200,,98055943
2016,89738595,63,300,,98055944
2016,90347792,63,430,,98055945
2016,93403766,63,7,,98055946
2016,90348908,63,12,,98055947
2016,93403783,63,1,,98055948
2016,90348929,63,100,,98055949
2016,93403817,63,10,27-SEP-16,98055950
2016,89738597,63,100,,98056136
2016,91569898,63,250,,98056137
2016,90958968,63,200,,98056138
2016,92791285,63,50,,98056139
2016,90347810,63,15,,98056140
2016,94013751,63,1200,,98056141
2016,92791293,63,100,,98056142
2016,90347826,63,200,,98056143
2016,92791298,63,50,,98056144
2016,91569924,63,1,,98056145
2016,92180036,63,18,,98056146
2016,94013766,63,150,,98056148
2016,90347856,63,300,,98056149
2016,92180059,63,1,,98056150
2016,89738649,63,2600,,98056151
2016,93402789,63,500,,98056152
2016,94014840,63,230,,98056153
2016,89739737,63,20,,98056154
2016,92792420,63,1500,,98056155
2016,91571080,63,1000,,98056156
2016,94014859,63,200,,98056157
2016,92911508,63,3000,,98060066
2016,93522466,63,50,,98060067
2016,89858020,63,430,,98060068
2016,90468098,63,75,,98060070
2016,89858044,63,354,,98060072
2016,90468119,63,780,,98060073
2016,92921166,63,1000,,98085355
2016,93532003,63,50,,98085356
2016,90477622,63,1,,98085358
2016,91698711,63,20,,98085359
2016,90477631,63,20,,98085360
2016,90477636,63,2000,,98085361
2016,92790880,3,1500,04-FEB-16,97942100
2016,92791246,20,244,,97942102
2016,91569745,8,1,,98020603
2016,91569769,8,45,,98020604
2016,90347688,8,9,,98020605
2016,94014735,8,145,,98020608
2016,94013687,8,6750,,98020642
