"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2017,122615653,99308036,51,"C",20,,""
2017,122615243,99307669,45,"C",20,,""
2017,122615485,99307890,51,"C",20,,""
2017,122615640,99308025,45,"C",25,,""
2017,122612152,99304859,5,"C",25,,""
2017,122612176,99304883,45,"C",18,,""
2017,122612204,99304907,5,"C",20,,""
2017,122612252,99304951,5,"C",13,,""
2017,122612355,99305050,45,"C",20,,""
2017,122612402,99305093,45,"C",20,,""
2017,122612473,99305160,51,"C",22,,""
2017,122612590,99305260,51,"C",14,,""
2017,122612779,99305430,14,"C",13,,""
2017,122612864,99305505,47,"C",20,,""
2017,122612891,99305533,49,"C",20,,"N"
2017,122612968,99305602,23,"C",5,,""
2017,122613435,99305998,27,"C",20,,""
2017,122613652,99306186,51,"C",20,,""
2017,122613730,99306255,51,"C",20,,""
2017,122613751,99306276,49,"C",20,,"F"
2017,122613786,99306304,14,"C",18,,""
2017,122613853,99306369,5,"C",20,,""
2017,122613955,99306466,49,"C",20,,"F"
2017,122614050,99306561,5,"C",20,,""
2017,122614092,99306587,7,"C",20,,""
2017,122614494,99306971,45,"C",20,,""
2017,122614610,99307086,45,"C",18,,""
2017,122614761,99307222,5,"C",20,,""
2017,122733281,99413547,51,"C",46,,""
2017,122615036,99307483,49,"C",20,,"F"
2017,122615150,99307585,45,"C",20,,""
2017,122615207,99307641,16,"C",13,,""
2017,122615405,99307813,27,"C",20,,""
2017,122615575,99307973,45,"C",20,,""
2017,122615608,99308000,41,"C",11,,""
2017,122615641,99308034,5,"C",20,,""
2017,122611807,99304552,16,"C",20,,""
2017,122611997,99304725,14,"C",20,,""
2017,122612129,99304840,45,"C",20,,""
2017,122733354,99413618,27,"C",20,,""
2017,122733528,99413786,14,"C",20,,""
2017,122733555,99413810,45,"C",20,,""
2017,122733557,99413816,14,"C",13,,""
2017,122733580,99413836,45,"C",3,,""
2017,122733636,99413888,47,"C",13,,""
2017,122733770,99414013,14,"C",18,,""
2017,122733813,99414056,51,"C",20,,""
2017,122733819,99414062,47,"C",8,,""
2017,122733839,99414081,5,"C",20,,""
2017,122733852,99414095,16,"C",4,,""
2017,122733864,99414107,51,"C",20,,""
2017,122733871,99414112,51,"C",20,,""
2017,122733899,99414139,2,"C",20,,""
2017,122733901,99414142,23,"C",12,,""
2017,122733985,99414219,51,"C",13,,""
2017,122734004,99414242,16,"C",3,,""
2017,122734054,99414287,51,"C",20,,""
2017,122734059,99414294,16,"C",20,,""
2017,122734093,99414326,45,"C",23,,""
2017,122734124,99414351,51,"C",20,,""
2017,122734127,99414362,27,"C",20,,""
2017,122734130,99414362,16,"C",20,,""
2017,122734138,99414368,51,"C",20,,""
2017,122734161,99414390,45,"C",20,,""
2017,122734177,99414403,51,"C",41,,""
2017,122734175,99414404,45,"A",13,,""
2017,122734174,99414404,27,"C",13,,""
2017,122734178,99414404,39,"C",13,,""
2017,122734184,99414409,14,"C",8,,""
2017,122734185,99414411,16,"C",13,,""
2017,122734221,99414445,45,"C",46,,""
2017,122734233,99414456,11,"C",17,,""
2017,122734232,99414456,23,"C",17,,""
2017,122568792,99265762,45,"C",20,,""
2017,122568903,99265868,41,"C",20,,""
2017,122569036,99265988,51,"C",5,,""
2017,122568696,99265671,16,"C",20,,""
2017,122569080,99266034,23,"C",12,,""
2017,122569087,99266041,27,"C",20,,""
2017,122569113,99266067,45,"C",18,,""
2017,122569125,99266078,51,"C",25,,""
2017,122569174,99266126,45,"C",18,,""
2017,122569197,99266147,49,"C",20,,"F"
2017,122569218,99266167,5,"C",13,,""
2017,122569286,99266228,5,"C",13,,""
2017,122569335,99266272,5,"C",20,,""
2017,122569334,99266272,51,"C",20,,""
2017,122569351,99266288,51,"C",20,,""
2017,122569417,99266346,51,"C",20,,""
2017,122569449,99266378,16,"C",13,,""
2017,122569446,99266378,35,"C",13,,""
2017,122569453,99266392,28,"C",20,,""
2017,122569454,99266392,21,"C",20,,""
2017,122569563,99266476,49,"C",34,,"F"
2017,122569576,99266490,2,"C",20,,""
2017,122569619,99266535,16,"C",14,,""
2017,122569660,99266570,45,"C",20,,""
2017,122569701,99266610,5,"C",20,,""
2017,122569708,99266616,51,"C",20,,""
2017,122569815,99266721,47,"C",20,,""
2017,122569827,99266732,49,"C",22,,"F"
2017,122569859,99266760,27,"C",13,,""
2017,122569931,99266830,51,"C",20,,""
2017,122569954,99266852,51,"C",20,,""
2017,122569988,99266888,5,"C",18,,""
2017,122570015,99266911,23,"C",7,,""
2017,122570039,99266936,2,"C",20,,""
2017,122570097,99266986,49,"C",20,,"N"
2017,122570108,99266997,2,"C",5,,""
2017,122570294,99267164,45,"C",20,,""
2017,122570302,99267171,47,"C",20,,""
2017,122570347,99267210,47,"C",5,,""
2017,122570351,99267217,23,"C",8,,""
2017,122570379,99267236,45,"C",11,,""
2017,122570426,99267286,51,"C",13,,""
2017,122570437,99267295,5,"C",20,,""
2017,122570457,99267316,45,"C",13,,""
2017,122570453,99267316,5,"C",13,,""
2017,122570489,99267340,5,"C",20,,""
2017,122570544,99267394,51,"C",20,,""
2017,122570557,99267406,45,"C",18,,""
2017,122611913,99304664,21,"C",10,,""
2017,122611985,99304716,27,"C",20,,""
2017,122612058,99304779,23,"C",24,,""
2017,122612156,99304864,45,"C",13,,""
2017,122612187,99304890,5,"C",20,,""
2017,122612369,99305067,45,"C",20,,""
2017,122612383,99305079,47,"C",20,,""
2017,122612448,99305138,23,"C",8,,""
2017,122612496,99305179,49,"C",24,,"F"
2017,122612662,99305327,49,"C",20,,"N"
2017,122634832,99325111,51,"C",18,,""
2017,122634848,99325123,5,"C",18,,""
2017,122634847,99325123,14,"C",18,,""
2017,122634852,99325129,49,"C",20,,"F"
2017,122634855,99325131,23,"C",24,,""
2017,122634859,99325135,51,"C",20,,""
2017,122634864,99325140,14,"C",18,,""
2017,122634866,99325142,5,"C",20,,""
2017,122634876,99325152,5,"C",13,,""
2017,122634905,99325175,5,"C",40,,""
2017,122634915,99325186,45,"C",20,,""
2017,122634944,99325209,56,"C",20,,""
2017,122634950,99325215,23,"C",7,,""
2017,122634958,99325218,35,"C",30,,""
2017,122634956,99325218,16,"C",30,,""
2017,122634963,99325226,49,"C",46,,"F"
2017,122634971,99325232,27,"C",13,,""
2017,122634990,99325248,5,"C",18,,""
2017,122634994,99325250,45,"C",6,,""
2017,122634998,99325254,5,"C",40,,""
2017,122635004,99325260,44,"C",40,,""
2017,122635007,99325263,16,"C",13,,""
2017,122635016,99325272,16,"C",13,,""
2017,122635028,99325283,5,"C",40,,""
2017,122635054,99325308,51,"C",13,,""
2017,122635093,99325345,23,"C",7,,""
2017,122635116,99325365,45,"C",20,,""
2017,122635131,99325379,8,"C",25,,""
2017,122635132,99325381,45,"C",20,,""
2017,122635138,99325385,45,"C",20,,""
2017,122635136,99325385,14,"C",20,,""
2017,122635137,99325385,28,"C",13,,""
2017,122635141,99325387,5,"C",18,,""
2017,122635225,99325463,23,"C",8,,""
2017,122635309,99325544,5,"C",13,,""
2017,122635311,99325546,45,"C",13,,""
2017,122635312,99325547,11,"C",21,,""
2017,122635360,99325592,14,"C",18,,""
2017,122635362,99325592,5,"C",18,,""
2017,122635365,99325596,14,"C",18,,""
2017,122635368,99325599,23,"C",8,,""
2017,122635372,99325602,49,"C",20,,"N"
2017,122635379,99325608,47,"C",20,,""
2017,122635390,99325619,45,"C",46,,""
2017,122635410,99325638,14,"C",18,,""
2017,122635413,99325641,49,"C",20,,"F"
2017,122635417,99325644,27,"C",38,,""
2017,122635567,99325781,5,"C",25,,""
2017,122635581,99325794,47,"C",23,,""
2017,122635589,99325802,5,"C",13,,""
2017,122635590,99325803,45,"C",40,,""
2017,122635591,99325804,23,"A",12,,""
2017,122635596,99325809,45,"C",40,,""
2017,122635600,99325813,5,"C",20,,""
2017,122635627,99325833,47,"C",20,,""
2017,122635630,99325836,23,"C",12,,""
2017,122635647,99325853,5,"C",20,,""
2017,122635653,99325859,17,"A",25,,""
2017,122637207,99327322,21,"C",20,,""
2017,122637245,99327353,47,"C",20,,""
2017,122637284,99327393,5,"C",20,,""
2017,122637290,99327398,49,"C",24,,"F"
2017,122637292,99327398,5,"C",24,,""
2017,122637309,99327415,5,"C",5,,""
2017,122637318,99327425,16,"C",46,,""
2017,122637320,99327426,5,"C",13,,""
2017,122637354,99327460,49,"C",20,,"F"
2017,122637378,99327482,15,"C",38,,""
2017,122637387,99327491,5,"C",20,,""
2017,122637388,99327491,49,"C",20,,"N"
2017,122637394,99327496,49,"C",20,,"F"
2017,122637403,99327505,2,"C",20,,""
2017,122579767,99275790,45,"C",13,,""
2017,122587484,99282635,16,"C",13,,""
2017,122587491,99282639,2,"C",20,,""
2017,122587551,99282688,51,"C",20,,""
2017,122579712,99275732,45,"C",20,,""
2017,122579739,99275753,45,"C",20,,""
2017,122587582,99282714,5,"C",20,,""
2017,122579848,99275865,45,"C",21,,""
2017,122579884,99275897,45,"C",40,,""
2017,122580000,99276000,41,"C",43,,""
2017,122580048,99276044,45,"C",13,,""
2017,122580117,99276106,27,"C",13,,""
2017,122580178,99276163,41,"C",7,,""
2017,122580256,99276239,23,"C",12,,""
2017,122580322,99276296,5,"C",20,,""
2017,122580332,99276307,45,"C",20,,""
2017,122580337,99276311,2,"C",7,,""
2017,122580414,99276386,5,"C",21,,""
2017,122580441,99276416,45,"C",20,,""
2017,122580476,99276447,5,"C",41,,""
2017,122580560,99276523,5,"C",11,,""
2017,122587688,99282811,23,"C",12,,""
2017,122580651,99276605,27,"C",13,,""
2017,122580763,99276710,45,"C",18,,""
2017,122580691,99276641,23,"C",8,,""
2017,122580728,99276674,51,"C",5,,""
2017,122580794,99276740,44,"C",20,,""
2017,122580792,99276740,20,"A",20,,""
2017,122580813,99276755,5,"C",20,,""
2017,122580930,99276861,2,"C",20,,""
2017,122581027,99276950,49,"C",20,,"N"
2017,122581251,99277145,51,"C",20,,""
2017,122581266,99277162,47,"C",20,,""
2017,122581317,99277206,23,"C",7,,""
2017,122581338,99277230,45,"C",14,,""
2017,122587713,99282835,21,"C",20,,""
2017,122581431,99277316,5,"C",38,,""
2017,122581742,99277594,47,"C",20,,""
2017,122587747,99282870,28,"C",13,,""
2017,122587745,99282870,45,"C",13,,""
2017,122587755,99282876,5,"C",20,,""
2017,122635932,99326130,49,"C",7,,"N"
2017,122635933,99326130,5,"C",7,,""
2017,122635937,99326134,27,"C",20,,""
2017,122636024,99326210,45,"C",20,,""
2017,122636045,99326229,5,"C",20,,""
2017,122636058,99326242,16,"C",18,,""
2017,122636060,99326244,49,"C",20,,"F"
2017,122636095,99326277,16,"C",38,,""
2017,122636100,99326282,14,"C",18,,""
2017,122636099,99326282,5,"C",13,,""
2017,122636112,99326292,51,"C",20,,""
2017,122636124,99326303,23,"C",12,,""
2017,122636136,99326314,45,"C",33,,""
2017,122636162,99326338,23,"C",17,,""
2017,122636192,99326365,5,"C",20,,""
2017,122636218,99326389,49,"C",5,,"F"
2017,122636249,99326420,49,"C",23,,"F"
2017,122636252,99326423,45,"C",20,,""
2017,122636254,99326425,45,"C",14,,""
2017,122636257,99326428,49,"C",20,,"N"
2017,122636264,99326436,51,"C",20,,""
2017,122636416,99326580,20,"C",20,,""
2017,122636436,99326595,5,"C",20,,""
2017,122636437,99326597,2,"C",20,,""
2017,122636448,99326607,5,"C",30,,""
2017,122636465,99326624,5,"C",20,,""
2017,122636475,99326634,27,"C",20,,""
2017,122636518,99326677,49,"C",20,,"F"
2017,122636520,99326679,5,"C",41,,""
2017,122636562,99326724,47,"C",46,,""
2017,122636614,99326765,16,"C",18,,""
2017,122636639,99326787,49,"C",20,,"N"
2017,122636648,99326797,7,"C",13,,""
2017,122636660,99326808,16,"C",13,,""
2017,122636672,99326821,5,"C",20,,""
2017,122636679,99326827,16,"C",15,,""
2017,122636685,99326832,47,"C",20,,""
2017,122636695,99326841,5,"C",15,,""
2017,122636780,99326923,5,"C",7,,""
2017,122636779,99326923,49,"C",7,,"F"
2017,122636806,99326944,5,"C",20,,""
2017,122636812,99326949,49,"C",20,,"F"
2017,122636852,99326987,49,"C",7,,"F"
2017,122636853,99326988,49,"C",7,,"F"
2017,122636856,99326991,5,"A",18,,""
2017,122636872,99327004,5,"C",12,,""
2017,122636890,99327024,23,"C",12,,""
2017,122636900,99327032,45,"A",20,,""
2017,122636911,99327043,14,"C",10,,""
2017,122636935,99327067,51,"C",20,,""
2017,122636943,99327073,5,"C",20,,""
2017,122636986,99327112,18,"C",21,,""
2017,122636993,99327120,2,"C",21,,""
2017,122637016,99327142,23,"C",12,,""
2017,122637022,99327148,46,"A",7,,""
2017,122637037,99327163,5,"C",20,,""
2017,122637042,99327168,5,"C",18,,""
2017,122637043,99327168,14,"C",18,,""
2017,122637057,99327181,5,"C",10,,""
2017,122637062,99327186,51,"C",20,,""
2017,122637098,99327220,51,"C",20,,""
2017,122637111,99327233,45,"C",22,,""
2017,122637113,99327235,5,"C",18,,""
2017,122637117,99327238,16,"C",13,,""
2017,122637148,99327266,16,"C",13,,""
2017,122637156,99327276,49,"C",20,,"F"
2017,122637162,99327282,36,"C",20,,""
2017,122637185,99327303,49,"C",5,,"F"
2017,122637202,99327318,23,"C",8,,""
2017,122579742,99275760,45,"C",20,,""
2017,122579764,99275783,16,"C",18,,""
2017,122579780,99275797,5,"C",20,,""
2017,122579850,99275866,51,"C",20,,""
2017,122579861,99275878,5,"C",18,,""
2017,122611820,99304563,8,"C",47,,""
2017,122611910,99304653,2,"C",20,,""
2017,122580103,99276089,11,"C",7,,""
2017,122580107,99276096,23,"C",7,,""
2017,122580139,99276126,51,"C",13,,""
2017,122580136,99276126,29,"C",13,,""
2017,122580174,99276159,51,"C",20,,""
2017,122580219,99276201,51,"C",13,,""
2017,122580286,99276264,5,"C",20,,""
2017,122580349,99276322,45,"C",13,,""
2017,122612008,99304740,51,"C",20,,""
2017,122580399,99276373,5,"C",20,,""
2017,122580417,99276388,23,"C",23,,""
2017,122580435,99276406,49,"C",7,,"F"
2017,122580520,99276489,45,"C",18,,""
2017,122580519,99276489,5,"C",18,,""
2017,122580543,99276511,2,"C",2,,""
2017,122612212,99304913,5,"C",13,,""
2017,122580643,99276598,45,"C",8,,""
2017,122580665,99276618,5,"C",18,,""
2017,122580773,99276719,51,"C",20,,""
2017,122580847,99276784,16,"C",13,,""
2017,122580894,99276827,51,"C",20,,""
2017,122581061,99276982,45,"C",20,,""
2017,122612291,99304989,49,"C",20,,"N"
2017,122581392,99277274,51,"C",20,,""
2017,122581246,99277143,45,"C",20,,""
2017,122581304,99277195,51,"C",20,,""
2017,122581436,99277319,45,"C",10,,""
2017,122581454,99277336,49,"C",20,,"F"
2017,122612323,99305016,5,"C",13,,""
2017,122612489,99305178,51,"C",20,,""
2017,122612556,99305227,41,"C",8,,""
2017,122612557,99305228,5,"C",24,,""
2017,122612664,99305332,5,"C",20,,""
2017,122612670,99305336,5,"C",20,,""
2017,122612737,99305399,23,"C",8,,""
2017,122612744,99305409,45,"C",14,,""
2017,122612746,99305409,5,"C",14,,""
2017,122612810,99305460,5,"C",14,,""
2017,122612905,99305562,45,"C",7,,""
2017,122613001,99305626,45,"C",22,,""
2017,122612999,99305619,29,"C",20,,""
2017,122612992,99305619,27,"C",20,,""
2017,122613044,99305662,23,"C",8,,""
2017,122613183,99305788,23,"C",12,,""
2017,122613233,99305820,49,"C",20,,"N"
2017,122613407,99305973,49,"C",20,,"N"
2017,122613432,99305992,44,"C",20,,""
2017,122613470,99306033,45,"C",20,,""
2017,122613576,99306124,23,"C",12,,""
2017,122613608,99306150,45,"C",20,,""
2017,122613594,99306148,16,"C",13,,""
2017,122613716,99306237,51,"C",13,,""
2017,122613723,99306249,5,"C",20,,""
2017,122613744,99306272,45,"C",13,,""
2017,122613781,99306307,49,"C",4,,"N"
2017,122613820,99306335,23,"C",24,,""
2017,122613841,99306353,51,"C",20,,""
2017,122613897,99306407,5,"C",33,,""
2017,122613951,99306455,45,"C",20,,""
2017,122613942,99306452,5,"C",20,,""
2017,122613996,99306506,45,"C",20,,""
2017,122614016,99306522,16,"C",15,,""
2017,122614043,99306551,51,"C",20,,""
2017,122614165,99306665,45,"C",20,,""
2017,122614181,99306680,51,"C",20,,""
2017,122614223,99306721,5,"C",41,,""
2017,122614274,99306766,5,"C",10,,""
2017,122614326,99306813,49,"C",17,,"F"
2017,122614340,99306827,45,"C",21,,""
2017,122614457,99306936,45,"C",18,,""
2017,122614464,99306943,45,"C",20,,""
2017,122614559,99307031,45,"C",40,,""
2017,122614594,99307067,45,"C",14,,""
2017,122614648,99307119,45,"C",40,,""
2017,122614767,99307224,49,"C",20,,"N"
2017,122614900,99307354,16,"C",13,,""
2017,122614929,99307376,16,"C",20,,""
2017,122615039,99307484,51,"C",20,,""
2017,122585239,99280515,47,"C",20,,""
2017,122585288,99280561,45,"C",18,,""
2017,122585329,99280600,45,"C",18,,""
2017,122585371,99280640,16,"C",13,,""
2017,122585384,99280652,49,"C",5,,"F"
2017,122585444,99280706,8,"C",20,,""
2017,122585539,99280790,23,"C",46,,""
2017,122585545,99280798,23,"C",8,,""
2017,122585568,99280819,23,"C",24,,""
2017,122585624,99280866,5,"C",18,,""
2017,122585633,99280875,45,"C",13,,""
2017,122585692,99280930,23,"C",12,,""
2017,122585705,99280945,36,"C",20,,""
2017,122585717,99280955,16,"C",18,,""
2017,122585784,99281022,45,"C",25,,""
2017,122585798,99281036,23,"C",12,,""
2017,122585861,99281098,45,"C",13,,""
2017,122585890,99281127,45,"C",20,,""
2017,122585944,99281179,27,"C",22,,""
2017,122585972,99281207,45,"C",13,,""
2017,122586029,99281265,23,"C",8,,""
2017,122586157,99281386,45,"C",18,,""
2017,122586187,99281412,45,"C",13,,""
2017,122586194,99281418,45,"C",20,,""
2017,122586295,99281512,5,"C",14,,""
2017,122586308,99281525,56,"C",20,,""
2017,122586342,99281558,45,"C",20,,""
2017,122586391,99281606,45,"C",20,,""
2017,122586441,99281655,3,"C",18,,""
2017,122586471,99281685,23,"C",8,,""
2017,122586491,99281703,45,"C",14,,""
2017,122586505,99281715,23,"C",8,,""
2017,122586547,99281754,51,"C",20,,""
2017,122586613,99281817,16,"C",10,,""
2017,122586710,99281906,5,"C",18,,""
2017,122586798,99281989,16,"C",20,,""
2017,122586832,99282023,51,"C",20,,""
2017,122586911,99282094,45,"C",18,,""
2017,122586989,99282167,45,"C",20,,""
2017,122587023,99282197,5,"C",20,,""
2017,122587030,99282202,16,"C",20,,""
2017,122587064,99282231,51,"C",20,,""
2017,122587077,99282251,23,"C",7,,""
2017,122587092,99282265,45,"C",24,,""
2017,122587115,99282282,27,"C",20,,""
2017,122587149,99282318,5,"C",28,,""
2017,122587168,99282336,5,"C",20,,""
2017,122587178,99282345,45,"C",18,,""
2017,122587186,99282357,45,"C",23,,""
2017,122587207,99282373,5,"C",20,,""
2017,122587279,99282438,27,"C",18,,""
2017,122587338,99282492,47,"C",20,,""
2017,122587444,99282597,45,"C",10,,""
2017,122587497,99282641,27,"C",13,,""
2017,122587554,99282691,49,"C",20,,"F"
2017,122587567,99282702,47,"C",14,,""
2017,122587589,99282720,18,"C",14,,""
2017,122587663,99282788,45,"C",20,,""
2017,122587834,99282948,5,"C",18,,""
2017,122737004,99417072,45,"C",21,,""
2017,122737011,99417086,51,"C",13,,""
2017,122737114,99417184,47,"C",14,,""
2017,122737136,99417204,51,"C",20,,""
2017,122737142,99417212,49,"A",24,,"F"
2017,122737183,99417247,23,"C",7,,""
2017,122737296,99417346,51,"C",20,,""
2017,122737349,99417399,47,"C",19,,""
2017,122736959,99417037,49,"C",20,,"N"
2017,122737528,99417556,51,"C",20,,""
2017,122737532,99417563,14,"C",6,,""
2017,122737552,99417586,23,"C",12,,""
2017,122737603,99417631,47,"C",20,,""
2017,122737756,99417775,44,"C",13,,""
2017,122737794,99417810,51,"C",20,,""
2017,122737798,99417815,44,"C",20,,""
