"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,95797360,41.5,1,7883578
2017,5,95800703,1,11,7883989
2017,5,95796691,1,11,7883461
2017,15,95798000,3,9,7883650
2017,4,95803931,1,11,7884369
2017,2,95803931,1,1,7884370
2017,5,95957408,1,3,7905320
2017,5,94821248,30,10,7737170
2017,4,94821359,0.32,1,7737264
2017,8,94821234,8,1,7737166
2017,4,94821367,0.32,1,7737273
2017,5,94820403,1,9,7737022
2017,9,94820403,2.5,9,7737021
2017,16,94820956,1,9,7737127
2017,15,94820956,3,9,7737129
2017,4,94821383,1.55,1,7737288
2017,13,94820969,1.5,9,7737135
2017,5,94820969,5,1,7737133
2017,16,94820969,21.5,9,7737134
2017,4,94821380,0.032,1,7737285
2017,4,94820765,6,1,7737092
2017,4,94821355,0.16,1,7737260
2017,2,95331721,1,1,7810160
2017,15,95795172,1,9,7883277
2017,5,95795336,3,1,7883306
2017,4,95797924,1,11,7883637
2017,5,95798439,1,1,7883745
2017,4,95798439,3,9,7883744
2017,8,95798487,1,11,7883757
2017,2,95798487,9.759,1,7883756
2017,1,95801116,0.5,1,7884028
2017,15,95957556,1,11,7905366
2017,9,95957556,1,11,7905367
2017,15,95957901,1,11,7905495
2017,2,95958176,1,11,7905591
2017,4,95958176,1,11,7905592
2017,5,95957612,58.789,1,7905388
2017,8,95958299,1,11,7905611
2017,4,95958361,0.127,1,7905613
2017,4,94821358,0.32,1,7737263
2017,4,94821378,1.6,1,7737283
2017,16,95791582,1,11,7882781
2017,5,95795071,1.899,1,7883262
2017,4,95803824,1,11,7884342
2017,15,95779787,11,9,7880949
2017,1,95791455,6.799,1,7882764
2017,4,95797998,1,11,7883649
2017,5,95777729,0.5,1,7880327
2017,5,95778403,6.71,1,7880498
2017,4,95783789,1,11,7881580
2017,4,95790554,1,11,7882588
2017,5,95790554,1,11,7882589
2017,5,95795084,5,9,7883264
2017,5,95803397,11,3,7884281
2017,4,95803895,1,11,7884355
2017,5,95803895,1,1,7884356
2017,4,95803926,1,11,7884365
2017,8,95803926,1,11,7884366
2017,5,95803926,1,11,7884367
2017,16,95330866,2,9,7810069
2017,4,95331772,1,1,7810165
2017,2,95331772,1,1,7810166
2017,5,94819624,7,1,7736931
2017,16,94820716,0.02,1,7737078
2017,4,94820716,0.1,1,7737077
2017,4,94820851,10.6,1,7737106
2017,2,94820851,3.7,1,7737105
2017,4,94821348,0.48,1,7737253
2017,16,94820222,1,9,7736996
2017,4,94821368,3.2,1,7737272
2017,6,95790941,1,11,7882666
2017,1,95803215,1,1,7884272
2017,4,95803853,1,11,7884346
2017,5,95958137,13,1,7905589
2017,8,95330956,5,9,7810075
2017,8,95332052,1,9,7810203
2017,4,95958228,2,9,7905602
2017,5,95958229,5.5,1,7905603
2017,13,104401089,,,9222215
2017,15,104401425,1,9,9222240
2017,5,104402089,14.4,1,9222284
