"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,111549730,114894959,1,33834982
2018,111555764,114878529,14,33826414
2018,111555775,114878540,3,33835032
2018,111556107,114893918,1,33835118
2018,111556153,114895586,3,33835130
2018,111552242,114878973,21,33830962
2018,111556346,114894145,24,33830985
2018,111552417,114879150,5,33826552
2018,111552507,114895934,15,33831029
2018,111552507,114879241,15,33831030
2018,111556655,114896063,1,33835216
2018,111556655,114899479,25,33835217
2018,111560846,114899479,1,33826583
2018,111560846,114896063,25,33835214
2018,111552752,114899588,21,33831068
2018,114296401,117629256,16,34719807
2018,114296400,117629256,16,34725439
2018,114292909,117629256,1,34721145
2018,114293273,117631132,3,34721239
2018,114288951,117631514,24,34725541
2018,114288951,117639767,1,34725540
2018,114293663,117631514,1,34721337
2018,114293663,117639767,24,34721338
2018,114296946,117631616,1,34721367
2018,114300216,117645403,20,34730632
2018,114307403,117645403,3,34730631
2018,114300227,117643250,3,34726280
2018,114307794,117643592,15,34722264
2018,114307904,117645837,5,34726397
2018,114303211,117645841,16,34726398
2018,114288399,117630758,3,34721148
2018,114292985,117634870,18,34721168
2018,114288448,117629314,21,34725454
2018,114293070,117634936,3,34721185
2018,114288488,117630925,16,34725462
2018,114293081,117630925,16,34725461
2018,114288525,117629364,3,34725471
2018,114288527,117629368,1,34719836
2018,114293127,117629368,1,34719835
2018,114288637,117635068,16,34721236
2018,114293772,117631618,15,34721368
2018,114292810,117630649,1,34721121
2018,114292814,117630646,1,34719796
2018,114288361,117630692,5,34721138
2018,114288360,117630692,5,34725430
2018,114288361,117634790,5,34721139
2018,114288360,117634790,5,34725431
2018,114292866,117630692,5,34721136
2018,114292866,117634790,5,34721135
2018,114296609,117629418,3,34725478
2018,114293525,117639652,3,34721295
2018,114288903,117639715,18,34721318
2018,114293616,117635266,17,34725534
2018,114296837,117631499,1,34719891
2018,114289003,117631567,21,34725559
2018,114296934,117639832,16,34719920
2018,114296933,117639830,16,34719918
2018,114296933,117639832,25,34719919
2018,114296934,117639830,25,34719921
2018,114289036,117635365,1,34721362
2018,114293752,117635365,1,34721361
2018,124470137,127958986,20,38478788
2018,124470200,127962527,1,38478806
2018,119197256,122525528,1,36488068
2018,119197270,122517687,1,36495403
2018,119197271,122517687,1,36488070
2018,119197294,122517721,15,36488075
2018,119194223,122518042,3,36488174
2018,119198139,122518644,15,36488365
2018,119195013,122526850,16,36495832
2018,119198271,122518773,1,36488410
2018,119198413,122523336,26,36488448
2018,119257094,122586565,16,36520386
2018,119258041,122587273,3,36520631
2018,119258942,122591159,18,36520890
2018,119299428,122640622,10,36514235
2018,119312761,122645842,16,36525199
2018,119300455,122638610,3,36514554
2018,119203094,122522889,5,36491877
2018,119203095,122522889,20,36491878
2018,119203096,122522889,20,36491879
2018,119203127,122522922,19,36491894
2018,119195104,122523381,5,36495873
2018,119263917,122595730,16,36516056
2018,119263993,122590749,24,36516075
2018,119263994,122590749,24,36520739
2018,119264817,122596640,1,36516359
2018,119201706,122521431,3,36491434
2018,114307261,117638347,9,34730620
2018,123243072,126692299,3,37990639
2018,119197148,122517566,16,36491416
2018,119202561,122526414,18,36491702
2018,119198407,122526933,4,36488445
2018,119203561,122523405,24,36492019
2018,119263450,122595241,26,36515986
2018,119264083,122587699,15,36516094
2018,119264369,122591017,19,36511329
2018,119265211,122588297,3,36521013
2018,119265243,122588329,3,36516463
2018,114288464,117629320,1,34719823
2018,114288464,117630872,1,34725455
2018,114293270,117629469,16,34721238
2018,114293444,117631285,16,34721268
2018,114296794,117631427,21,34721309
2018,114293584,117639694,1,34721311
2018,119197100,122517517,1,36487996
2018,119193663,122525511,1,36495394
2018,119193663,122525512,1,36495395
2018,119197613,122518046,24,36488177
2018,119197614,122518046,1,36488179
2018,119197614,122521911,1,36488178
2018,119197613,122521911,24,36488176
2018,114302926,117643402,16,34726327
2018,114307710,117645649,24,34726338
2018,114307797,117645734,5,34726359
2018,114307795,117645734,5,34722265
2018,114293468,117631315,16,34721286
2018,114296795,117639693,21,34719889
2018,114292934,117630776,19,34721152
2018,114293722,117639801,24,34725556
2018,114293724,117631564,9,34725558
2018,114293778,117639854,16,34725571
2018,114292951,117634844,24,34721160
2018,114292931,117629266,14,34725442
2018,114288404,117629266,14,34721151
2018,114292947,117630787,25,34725445
2018,114296426,117629274,25,34721158
2018,114292947,117629274,5,34719811
2018,114296426,117630787,17,34721157
2018,114293132,117634982,1,34721197
2018,114293442,117635175,1,34721267
2018,114288875,117635241,16,34725529
2018,114288876,117635241,18,34725530
2018,114296855,117639771,1,34719896
2018,119257767,122594798,1,36520570
2018,119258440,122590702,24,36520725
2018,119259095,122596632,1,36520928
2018,119259095,122596624,1,36520926
2018,119259095,122596627,1,36520927
2018,119259096,122596627,18,36520931
2018,119259096,122596632,18,36520930
2018,119259095,122596628,1,36520929
2018,119259221,122591429,2,36520984
2018,119254204,122584437,16,36515824
2018,119264189,122590911,16,36516138
2018,119259097,122591298,5,36520932
2018,119264841,122596666,4,36516378
2018,119255371,122588103,1,36511420
2018,119265306,122588361,17,36516470
2018,119265305,122588361,22,36511489
2018,119307162,122644651,18,36524803
2018,119311937,122640945,18,36524921
2018,119307725,122637737,1,36528638
2018,119312948,122642633,1,36525258
2018,114292834,117629221,14,34721123
2018,114296366,117634782,16,34719798
2018,114296397,117630749,1,34719804
2018,114296397,117630750,1,34721143
2018,114292978,117629296,17,34721165
2018,114293172,117631025,18,34721203
2018,114293443,117631287,1,34721269
2018,114288800,117631313,16,34725516
2018,114288928,117639744,26,34725536
2018,114296852,117631518,1,34719894
2018,114293667,117631518,4,34725542
2018,114293682,117631536,7,34719899
2018,114293681,117631536,18,34721343
2018,114293684,117631536,7,34725545
2018,114288999,117631563,3,34721352
2018,123242846,126692007,16,37990565
2018,123242846,126689208,16,37990566
2018,119197093,122517510,1,36487989
2018,119197096,122517512,1,36487992
2018,119193869,122525711,25,36495452
2018,119193870,122525711,16,36495454
2018,119193869,122525712,16,36495453
2018,119193870,122525712,25,36495455
2018,119193891,122521647,16,36495462
2018,119197766,122518218,1,36488238
2018,119197919,122518405,19,36488287
2018,119257527,122584420,3,36511071
2018,119257530,122589779,1,36520517
2018,119257530,122589778,1,36520516
2018,119257530,122589777,1,36520515
2018,119258061,122595229,26,36520635
2018,119255398,122591364,1,36511425
2018,119311570,122629583,19,36528413
2018,119312820,122645916,3,36525215
2018,119312900,122645996,19,36525243
2018,119312958,122646061,1,36525262
2018,119312957,122646061,1,36525261
2018,119311263,122629274,3,36514111
2018,119193314,122525153,15,36480238
2018,119193398,122525238,10,36495285
2018,119197158,122517580,1,36488025
2018,119193535,122525384,3,36495327
2018,119193902,122525750,3,36495466
2018,119193934,122525783,21,36495476
2018,119194304,122521974,16,36495588
2018,119202392,122522158,1,36488243
2018,119194594,122526422,10,36495671
2018,119194925,122526748,16,36495800
2018,119195093,122523328,15,36495870
2018,119198456,122523419,13,36488455
2018,119203577,122526959,24,36492024
2018,119195123,122526959,24,36492027
2018,119203578,122526959,24,36492025
2018,119195127,122526971,3,36495881
2018,114296405,117630753,4,34721149
2018,114296456,117630833,1,34719820
2018,114296482,117630878,16,34719824
2018,114288494,117629344,16,34725463
2018,114293138,117630981,1,34719838
2018,114288535,117630983,1,34725472
2018,114288535,117629375,1,34721199
2018,114293138,117630983,3,34721198
2018,114296624,117631084,19,34719858
2018,114296677,117629518,9,34719868
2018,114293453,117631300,25,34721275
2018,114293455,117631300,16,34721276
2018,114293455,117629611,25,34721277
2018,114293453,117629611,16,34721274
2018,114293465,117639618,18,34721284
2018,114288961,117631526,3,34721342
2018,119193325,122517520,1,36480243
2018,119193434,122517578,1,36495306
2018,119193705,122517689,1,36495404
2018,119193925,122517854,1,36495474
2018,119194039,122525891,14,36495509
2018,119202212,122526150,16,36491599
2018,119194456,122522139,14,36495628
2018,119194457,122522139,14,36495629
2018,119194628,122526457,24,36495687
2018,119202607,122526457,24,36491721
2018,119202609,122526457,24,36491722
2018,119194928,122526751,19,36495802
2018,119203347,122526898,21,36491963
2018,119195074,122523199,3,36495863
2018,119195091,122523316,1,36488446
2018,119195108,122526948,3,36495874
2018,119203579,122518939,1,36492026
2018,119255554,122588311,16,36511468
2018,119259349,122591562,3,36521019
2018,114296363,117634776,16,34721128
2018,114296363,117634774,16,34721127
2018,114288397,117629257,1,34719808
2018,114292935,117630777,26,34721153
2018,114293012,117634886,21,34721177
2018,114293093,117634950,9,34721188
2018,114296616,117631071,16,34725479
2018,114293335,117629507,24,34721249
2018,114288844,117631370,6,34721296
2018,114293537,117639667,25,34721302
2018,114293537,117639666,3,34721301
2018,114293649,117631502,3,34721332
2018,123242131,126691141,3,37981441
2018,123242131,126691140,25,37985539
2018,123237269,126691140,3,37990304
2018,123237269,126691141,25,37990305
2018,123242512,126683385,18,37981623
2018,123235154,126683385,18,37981624
2018,123237810,126688881,5,37990480
2018,123242568,126688881,3,37985719
2018,123237884,126683497,1,37981676
2018,123237884,126683494,3,37981675
2018,114300191,117645365,1,34730630
2018,114302676,117643082,16,34722172
2018,114302674,117643082,16,34726250
2018,114307339,117643163,3,34722180
2018,114307502,117638430,18,34730639
2018,114300335,117643558,24,34722255
2018,114300370,117643605,26,34722267
2018,114303135,117645755,3,34722270
2018,114307838,117645787,26,34726375
2018,114307859,117643643,21,34726380
2018,114307920,117638607,16,34722294
2018,119194560,122518316,1,36495662
2018,119194560,122518315,1,36488267
2018,119203490,122526934,3,36492002
2018,119203654,122527011,1,36488467
2018,119203680,122523528,21,36492054
2018,119254744,122587476,5,36511209
2018,119263941,122595763,9,36516064
2018,119263950,122587607,18,36516066
2018,119263979,122587622,16,36511246
2018,119263981,122587622,16,36516073
2018,119263980,122587622,16,36516072
2018,119264376,122587863,1,36516212
2018,119264936,122596755,18,36516414
2018,114296374,117630697,25,34725429
2018,114292865,117630697,1,34719799
2018,114296374,117630694,1,34721133
2018,114296374,117630696,1,34721132
2018,114292867,117630697,1,34721137
2018,114292865,117630694,25,34721134
2018,114292867,117630696,25,34725432
2018,114288388,117629250,1,34725436
2018,114292981,117630828,18,34721167
2018,114296472,117630854,1,34721175
2018,114293095,117634954,21,34719831
2018,114288515,117630959,9,34721192
2018,114288519,117630967,3,34719832
2018,114293206,117631062,26,34721213
2018,114293604,117635261,18,34721316
2018,114293617,117635268,26,34721319
2018,114293638,117639743,16,34721328
2018,119202253,122526192,16,36491619
2018,119194717,122526557,3,36495725
2018,119195109,122518919,21,36495875
2018,119194297,122518100,26,36488201
2018,119312562,122638246,15,36525124
2018,119312563,122638246,15,36525125
2018,119309440,122642777,3,36530293
2018,119309594,122646243,1,36529239
2018,119306542,122639733,1,36528205
2018,119306545,122639732,1,36524662
2018,119306545,122639733,1,36528206
2018,119306542,122639732,1,36528204
2018,119307481,122640671,5,36528537
2018,119307646,122640892,26,36524918
2018,119308982,122638420,1,36514494
2018,119309332,122642679,1,36529148
2018,119309331,122642679,1,36529147
2018,109205802,112513830,5,33031934
2018,109210334,112517679,1,33035047
2018,109205613,112508212,1,33027145
2018,109205820,112513853,21,33027200
2018,109210455,112517810,1,33031904
2018,109210455,112508319,1,33031905
2018,109205838,112513865,18,33035139
2018,109378890,112692735,7,33082689
2018,109383480,112692735,7,33082690
2018,109205566,112508159,1,33035021
2018,109205574,112513538,3,33035030
2018,109205574,112513537,9,33035031
2018,109210321,112517671,16,33027113
2018,109215134,112508281,26,33031883
2018,109215297,112508403,1,33035111
2018,109210281,112517627,3,33035019
2018,109215025,112508194,6,33035050
2018,109378567,112692462,24,33082575
2018,109378583,112686901,1,33082589
2018,109383107,112692491,18,33089951
2018,109205612,112513579,1,33031845
2018,109210355,112513579,25,33027143
2018,109210355,112513578,1,33031844
2018,109205612,112513578,25,33035060
2018,109215091,112513625,3,33031858
2018,109215006,112517658,1,33031816
2018,109215294,112508398,3,33035108
2018,109210548,112517900,1,33027207
2018,109215195,112508322,1,33031907
2018,109215367,112517901,1,33031954
2018,109205844,112517912,17,33035142
2018,109210318,112517669,5,33035041
2018,109215202,112513722,1,33027185
2018,109205575,112517646,26,33035033
2018,109378537,112689000,15,33082564
2018,109383137,112692506,24,33082592
2018,109383380,112692675,16,33082651
2018,109378821,112689372,24,33090033
2018,109383394,112689372,24,33090035
2018,109383428,112697227,1,33090047
2018,109383485,112689452,1,33090068
2018,109383253,112689232,18,33089993
2018,109383328,112692638,1,33082634
2018,109384888,112689306,16,33084768
2018,109383341,112689322,16,33082639
2018,109374597,112692442,3,33089942
2018,109384668,112696937,18,33084688
2018,109378608,112696937,18,33084689
2018,109378620,112696962,1,33084694
2018,109378659,112689181,1,33084721
2018,109378730,112697081,26,33090003
2018,109378884,112697268,24,33082685
2018,109384904,112692651,14,33090021
2018,109383381,112689360,10,33090031
2018,109383433,112697234,9,33084800
2018,109385017,112689440,6,33084815
2018,109378650,112692534,17,33082607
2018,109378658,112697002,4,33082612
2018,109378710,112697056,16,33082626
2018,109378711,112697056,16,33084749
2018,109384940,112689361,26,33084773
2018,109384943,112689361,16,33084775
2018,109384944,112689361,5,33082652
2018,109384942,112689361,16,33084774
2018,109383397,112692681,19,33082653
2018,109378571,112689029,16,33089945
2018,109378571,112689031,16,33082580
2018,109383061,112689030,16,33082578
2018,109383061,112689031,16,33082576
2018,109378669,112689190,16,33082617
2018,109378683,112689206,3,33089984
2018,109383267,112689253,3,33090002
2018,109378771,112689303,1,33084764
2018,109378779,112689321,3,33090017
2018,109378881,112689437,3,33082680
2018,109383465,112689441,17,33084816
2018,109378888,112697271,18,33082688
2018,109384737,112692525,1,33082603
2018,109378665,112689185,3,33082616
2018,109378664,112689185,1,33082615
2018,109378772,112697137,15,33090013
2018,109378528,112688995,21,33082563
2018,109378576,112692468,18,33082588
2018,109378575,112692468,18,33082585
2018,109378576,112692469,18,33082587
2018,109378575,112692467,18,33082583
2018,109378576,112692467,18,33082586
2018,109378575,112692469,18,33082584
2018,109378595,112689062,15,33089948
2018,109384770,112689199,3,33084725
2018,109378695,112697036,26,33089990
2018,109378707,112692576,3,33084747
2018,109384930,112697181,16,33082647
2018,109383420,112689391,14,33090043
2018,109378885,112689445,16,33090065
2018,109378634,112692523,1,33082602
2018,109383207,112697009,16,33084724
2018,109378678,112692553,15,33084735
2018,109383226,112692552,15,33084736
2018,109383226,112692553,25,33089982
2018,109378678,112692552,25,33084734
2018,109378737,112689264,16,33090006
2018,109378826,112697207,24,33082656
2018,109383413,112692687,24,33090039
2018,109383412,112692687,24,33090038
2018,109378837,112697219,16,33084791
2018,109378836,112697219,16,33090040
2018,109383423,112689394,16,33090044
2018,109378630,112689140,21,33084711
2018,109378655,112692538,3,33082610
2018,109383245,112697042,25,33082625
2018,109383246,112697043,25,33084744
2018,109383245,112697043,3,33082624
2018,109383246,112697042,3,33089992
2018,109385019,112689446,16,33084819
2018,109210316,112517667,24,33027110
2018,109215105,112517741,3,33027166
2018,109205714,112508325,1,33035090
2018,109215366,112508459,1,33035132
2018,109205622,112517718,1,33031857
2018,109383041,112686865,3,33089941
2018,109384697,112689113,1,33084691
2018,109383147,112692511,1,33089953
2018,109384711,112689121,17,33089954
2018,109383352,112689334,11,33090024
2018,109384973,112692698,3,33084795
2018,119197233,122517648,1,36488061
2018,119193457,122525312,3,36495314
2018,119193742,122525593,24,36495422
2018,119193744,122525593,3,36495423
2018,119193921,122517850,1,36495472
2018,119202197,122521954,3,36495579
2018,119194330,122526176,3,36495596
2018,119194348,122522010,3,36488218
2018,119202439,122522196,16,36491672
2018,119202471,122518283,3,36491679
2018,111555749,114893648,3,33835026
2018,111555782,114893671,3,33835035
2018,111550165,114893814,1,33826465
2018,111555987,114878753,1,33835090
2018,111550268,114893911,1,33826495
2018,111550274,114893916,21,33835117
2018,111556178,114895606,26,33835134
2018,111556339,114879060,1,33830984
2018,111556339,114895743,25,33830983
2018,111556340,114879060,25,33835165
2018,111556340,114895743,1,33835164
2018,111560547,114894201,1,33830992
2018,111556398,114894218,16,33826540
2018,111556431,114894246,3,33835177
2018,111556503,114879226,1,33831028
2018,111552573,114899436,21,33826579
2018,111560877,114904370,24,33831052
2018,111552640,114904370,24,33835222
2018,111552715,114896172,3,33835237
2018,109374605,112686871,3,33084674
2018,109383054,112692449,24,33082571
2018,109374634,112689040,16,33084683
2018,109384646,112689059,3,33084685
2018,109384703,112696963,16,33084697
2018,109378621,112696963,16,33082593
2018,109384713,112692514,3,33084700
2018,109383167,112689134,25,33089961
2018,109384722,112692518,25,33084702
2018,109383167,112692519,1,33089960
2018,109383163,112692520,25,33084710
2018,109384723,112692518,1,33084703
2018,109383163,112689135,1,33089957
2018,109383168,112689135,25,33089966
2018,109383167,112692518,1,33089958
2018,109383168,112689134,1,33089965
2018,109383167,112692520,1,33082601
2018,109383167,112689135,1,33089959
2018,109383168,112692519,1,33089963
2018,109383168,112692520,1,33089964
2018,109384722,112689134,1,33082599
2018,109383163,112689134,1,33082600
2018,109384723,112689135,1,33084704
2018,109384722,112692519,1,33082597
2018,114300144,117645299,3,34726252
2018,114300166,117643143,1,34730625
2018,114307419,117645423,1,34726277
2018,114307444,117645447,14,34726284
2018,114307458,117638423,21,34730636
2018,111555482,114878339,17,33830814
2018,111551642,114878342,1,33830815
2018,111549777,114893453,5,33826386
2018,111551744,114893506,1,33830840
2018,111551751,114893514,5,33835003
2018,111551769,114895071,16,33826395
2018,111555898,114893730,1,33830890
2018,111555900,114893730,1,33830891
2018,111550248,114893887,21,33830919
2018,111552098,114893889,1,33835106
2018,111556091,114878843,21,33826492
2018,111550273,114895527,18,33826497
2018,111550322,114895569,1,33830941
2018,111550332,114895576,3,33835129
2018,111550384,114894018,1,33830955
2018,111550388,114894019,1,33826515
2018,111556274,114894084,1,33835154
2018,111556288,114895699,21,33835155
2018,111552348,114879077,5,33826534
2018,111560514,114879077,5,33835167
2018,111552349,114879077,5,33826535
2018,111560520,114879084,9,33835168
2018,111560533,114894185,1,33830991
2018,111560567,114895808,3,33830998
2018,111552409,114895827,16,33826549
2018,111560696,114879213,3,33826563
2018,111560704,114899331,24,33831026
2018,111552505,114899354,3,33835191
2018,111552570,114904303,16,33835205
2018,111556606,114896026,5,33835208
2018,111552632,114896089,19,33826586
2018,111552694,114904419,24,33831055
2018,111560932,114899557,3,33831060
2018,111552711,114899559,3,33826602
2018,111552719,114899563,16,33835238
2018,111556765,114896182,1,33826607
2018,111556765,114896185,1,33835241
2018,111556765,114904460,1,33826609
2018,111556765,114896184,1,33826608
2018,111556769,114904466,16,33831065
2018,111556771,114896191,16,33835245
2018,111560970,114896208,16,33835253
2018,111556796,114896209,21,33826611
2018,111560979,114904485,3,33831072
2018,111556812,114899623,24,33826618
2018,111561052,114899675,16,33826632
2018,109205576,112513542,3,33035035
2018,109210332,112513551,25,33027120
2018,109210332,112508187,1,33027121
