"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2018,20541,104055893,8614887,"N",07-FEB-19,05-DEC-18,"",19,6,,0,"C","F",33632648
2018,20541,104058512,8611326,"N",07-FEB-19,29-NOV-18,"",12,6,,0,"C","F",33625662
2018,20541,104062874,8611326,"N",07-FEB-19,23-NOV-18,"",16,6,,0,"C","F",33625663
2018,20541,104055891,8611326,"N",07-FEB-19,29-NOV-18,"",22,6,,0,"C","F",33632645
2018,20541,104055896,8614887,"N",07-FEB-19,14-DEC-18,"",14,6,,0,"C","F",33632654
2018,20541,104062876,8614887,"N",07-FEB-19,19-DEC-18,"",5,6,,0,"C","F",33625668
2018,20541,108248006,8611326,"N",01-APR-19,16-NOV-18,"",13,6,,0,"C","F",41348397
2018,20541,108245530,8369636,"N",01-APR-19,21-SEP-18,"",13,6,,0,"C","F",41351338
2018,20541,108252340,8614887,"",01-APR-19,20-DEC-18,"",17,6,,0,"C","F",41348404
2018,20541,108245532,8372434,"",01-APR-19,09-OCT-18,"",12,6,,0,"C","F",41351339
2018,20541,104062872,8614887,"",07-FEB-19,05-DEC-18,"",9,6,,0,"C","F",33625661
2018,20541,104055890,8611326,"N",07-FEB-19,30-NOV-18,"",12,6,,0,"C","F",33625660
2018,20541,104055897,8614887,"",07-FEB-19,17-DEC-18,"",9,6,,0,"C","F",33629965
2018,20541,104058513,8614887,"",07-FEB-19,14-DEC-18,"",10,6,,0,"C","F",33632651
2018,20541,108299576,7971242,"N",01-APR-19,05-MAR-18,"",20,6,,0,"C","F",41441582
2018,20541,108306727,8614887,"N",01-APR-19,07-DEC-18,"",13,6,,0,"C","F",41437713
2018,20541,108252314,7993722,"",01-APR-19,20-APR-18,"",22,6,,0,"C","F",41344824
2018,20541,108306737,8372434,"N",01-APR-19,18-OCT-18,"",8,6,,0,"C","F",41441590
2018,20541,108343241,8369636,"N",01-APR-19,10-SEP-18,"",9,6,,0,"C","F",41494392
2018,20541,104062873,8611326,"N",07-FEB-19,22-NOV-18,"",3,6,,0,"C","F",33625658
2018,20541,99418999,7829180,"",21-AUG-18,17-JAN-18,"",11,6,,0,"C","F",24177153
2018,20541,99418990,7829180,"",21-AUG-18,12-JAN-18,"",12,6,,0,"C","F",24177143
2018,20541,99429835,7993722,"",21-AUG-18,01-APR-18,"",2,6,,0,"C","F",24205058
2018,20541,99429849,8017613,"N",21-AUG-18,25-MAY-18,"",13,6,,0,"C","F",24205082
2018,20541,99427661,7971242,"",21-AUG-18,05-MAR-18,"",8,6,,0,"C","F",24193122
2018,20541,99427670,7993722,"",21-AUG-18,06-APR-18,"",8,6,,0,"C","F",24193142
