"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2016,25571998,84373804,1,11-JUL-16,2,"N",21,5,24,"F",1,3,"R","","",,
2016,25571169,83356967,1,24-JAN-16,2,"N",21,5,24,"M",1,3,"R","","",,
2016,25561135,83934428,1,05-SEP-16,1,"N",21,5,14,"M",1,1,"","R","",,
2016,25563270,86725359,1,22-FEB-16,1,"N",21,5,15,"M",2,1,"R","R","",,
2016,25552037,87962470,1,11-APR-16,1,"N",21,5,13,"F",1,1,"","R","",,
2016,25528522,85464971,2,11-FEB-16,1,"C",21,5,12,"F",1,1,"R","H","",,
2016,25531314,85518539,1,09-MAY-16,1,"N",21,5,11,"M",1,1,"R","H","",,
2016,26081850,89585858,2,08-OCT-16,1,"N",35,5,38,"M",1,2,"N","","",38,0
2016,26081847,89585850,2,07-OCT-16,3,"M",16,5,22,"M",1,1,"R","","",22,0
2016,26081988,89586135,2,16-NOV-16,3,"N",51,5,24,"M",1,2,"N","","",24,0
2016,26082008,89586171,5,21-NOV-16,1,"C",16,5,17,"M",1,2,"N","H","",17,0
2016,26082131,89586399,2,21-DEC-16,1,"N",23,5,33,"F",1,2,"R","","",33,0
2016,26086825,89596816,1,01-MAR-17,3,"C",5,5,26,"M",2,2,"R","","",26,0
2016,26086862,89596916,1,23-FEB-17,3,"M",39,5,27,"M",2,2,"R","","",27,0
2016,26086878,89596935,1,22-MAR-17,1,"C",27,5,28,"M",2,2,"R","","",28,0
2016,26086915,89597044,1,10-JAN-17,3,"M",40,5,16,"M",1,3,"R","R","",16,0
2016,26086928,89597064,1,20-MAR-17,1,"M",11,5,24,"F",2,2,"R","","",24,0
2016,26086957,89597115,1,27-DEC-16,3,"C",49,5,16,"M",2,2,"R","H","",16,0
2016,25561854,86927187,1,29-JUN-16,2,"N",23,5,35,"F",1,3,"","","",,
