"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2016,92277076,85429401,7,,
2016,91056789,85455478,5,,1
2016,92891685,85568280,2,,
2016,91673432,87859804,6,,
2016,92897573,83833582,6,,
2016,92277156,85437902,7,0,
2016,90459739,83271926,3,,
2016,93511154,84520073,7,,
2016,90456600,84520103,5,,
2016,91067507,84521203,6,,
2016,90458722,86914406,7,,
2016,91680940,83365659,5,,1
2016,91069620,86916602,5,,
2016,92902284,86917539,7,,
2016,92290252,86917593,7,,
2016,93510309,84514808,5,,
2016,93514420,84130742,7,,
2016,93509392,88174058,5,,
2016,94120110,86912236,1,,
2016,90459979,84131922,7,,
2016,94120163,86365430,7,,
2016,91678029,87823145,7,,
2016,91678038,87823199,5,,
2016,92288288,87824105,7,,
2016,92288293,87824118,1,,
2016,91069858,83363424,7,,
2016,94121244,86928297,7,,
2016,89844986,83320508,4,,
2016,90455985,86930463,7,,
2016,91677222,86931483,7,,
2016,89845059,83323739,7,,
2016,92290655,88176926,7,,
2016,91066081,83325764,5,,
2016,94120483,83326821,7,,
2016,92286668,83327925,7,,
2016,90458288,84372749,7,1,
2016,92286718,83330151,7,,
2016,92287658,86726493,7,,
2016,90459333,83279111,6,,
2016,89845232,83331335,6,,
2016,91066225,83332371,1,,
2016,92902898,83281341,4,,
2016,92902919,83282380,4,,
2016,91070267,84868067,7,,
2016,92287798,83920980,6,,
2016,92290912,84869107,7,,
2016,91062720,85135500,7,,
2016,89841906,85136541,7,0,
2016,93507458,84940067,7,,
2016,91066687,83934493,7,,
2016,93510435,86923013,7,,
2016,94115290,85660111,5,,1
2016,90449735,85660292,7,,
2016,89841008,85683888,7,,
2016,90452775,84944051,5,,1
2016,91676072,86366454,6,,
2016,92901480,87612453,7,,
2016,92290372,85808279,7,,
2016,94125101,84130776,6,,
2016,92891913,85580248,7,0,
2016,92281550,85663338,7,1,
2016,93505646,85686874,6,,
2016,94116285,85688790,4,,
2016,91673159,83917729,4,,
2016,89842044,86935165,4,,
2016,91064843,87962408,3,,
2016,94120220,83315340,5,,1
2016,92898556,83317314,4,,
2016,91677086,86926259,7,,
2016,90456968,87827654,4,,
2016,92901510,86185585,5,,1
2016,91068868,86186557,6,,
2016,92903518,84134009,4,,
2016,91669650,85583485,7,,
2016,94114583,85624505,7,1,
2016,92280781,85624606,7,,
2016,93504804,85666555,7,,
2016,91672247,85689877,7,,
2016,94116317,85690819,7,,
2016,93507643,84948036,7,,
2016,91063915,84948992,6,,
2016,92284454,84949085,7,,
2016,90453881,86180244,4,,
2016,90454931,83318392,4,,
2016,94120314,83319421,7,,
2016,93509643,83319456,7,,
2016,89844969,83319524,6,,
2016,91066875,86931404,6,,
2016,91068887,83936591,5,,
2016,91070861,83273050,8,,
2016,91060165,85627507,5,,1
2016,91061035,85668548,7,0,
2016,93505780,85693874,7,,
2016,91675221,86182341,7,,
2016,94120344,83320492,6,,
2016,91676235,83320540,7,,
2016,89845002,83321523,6,,
2016,91676273,83322563,7,,
2016,89845927,86931459,7,,
2016,91066911,86349607,7,1,
2016,94121358,86349703,7,,
2016,92282616,85696010,7,,
2016,92283604,87857479,6,,
2016,92284599,84955066,5,,
2016,91679310,84368565,5,,
2016,89850171,87861849,4,,
2016,93503224,85589837,4,,
2016,91670696,85633617,7,,
2016,92281703,85671775,6,,
2016,92282718,85700888,5,,
2016,94117440,87858661,7,,
2016,92896823,84958024,6,,
2016,91066071,83324815,7,,
2016,92286636,83325833,4,,
2016,91679332,84370604,6,,
2016,92289716,84370722,6,,
2016,92902754,88177075,7,,
2016,89840453,85675660,7,0,
2016,89840491,85676834,7,0,
2016,91067122,86727495,4,,
2016,91680393,87006153,4,,
2016,92280145,85595288,7,,
2016,90449267,85637654,7,1,
2016,92281056,85637705,7,,
2016,94117610,84919708,7,,
2016,92300965,87856751,1,,
2016,92300968,84920849,7,,
2016,92913342,86390285,7,,
2016,93524367,84520082,7,,
2016,91691044,88177475,7,,
2016,89869231,85427464,4,,
2016,89869245,85475520,5,,1
2016,94144282,85525809,4,,
2016,94144286,85531014,5,,1
2016,91700354,85555329,7,,
2016,91090026,84942076,5,,
2016,90479363,83548512,7,,
2016,90479399,84390460,7,,
2016,90445774,85460831,7,,
2016,90453222,84963080,7,,
2016,94119236,86180113,7,,
2016,92898417,86912326,6,,
2016,90460008,84133024,4,,
2016,92893018,85635582,1,,
2016,92898623,83320454,3,,
2016,92899510,86928346,4,,
2016,92899551,86930443,6,,
2016,92892313,85600508,7,,
2016,92892315,85600517,5,,1
2016,92898758,83325720,6,,
2016,92897870,86385885,7,,
2016,92898047,86393596,7,,
2016,92903704,87861375,6,,
2016,92891755,85571698,4,,
2016,92891779,85573708,5,,0
2016,92891812,85574839,4,,
2016,92932333,85513330,1,,
2016,92893254,85645795,4,,
2016,92932427,87856128,7,,
2016,92893452,85656972,6,,
2016,92897518,87678785,1,,
2016,92898940,83334594,7,,
2016,92899023,87963376,7,,
2016,92899911,83920916,7,,
2016,92897732,86377635,7,1,
2016,92898273,85807180,7,,
2016,92899222,84513670,4,,
2016,92903352,83365625,7,,
2016,92898412,86912296,1,,
2016,92893478,85658051,7,,
2016,92892828,85625624,7,,
2016,92893646,85666476,1,,
2016,92893746,85670653,7,,
2016,93503979,85629600,7,,
2016,93504024,85631578,5,,1
2016,93533676,85450217,7,,
2016,93504832,85668503,1,,
2016,93504935,85673817,5,,1
2016,93509725,83322648,6,,
2016,93504088,85634522,7,,
2016,93504152,85637527,7,0,
2016,93504390,85647711,7,0,
2016,93510024,83335863,7,,
2016,91056541,85442346,7,,
2016,90446246,85486058,7,,
2016,89837567,85533014,7,1,
2016,89839298,85620561,7,1,
2016,89841889,85135631,7,,
2016,94117138,85136615,7,,
2016,92284252,84939905,7,,
2016,90452696,84940980,7,,
2016,91063713,84941024,5,,
2016,89843754,83930148,6,,
2016,90445447,85445625,7,1,
2016,91058381,85536142,7,,
2016,92892782,85623451,7,,
2016,91062805,86364373,7,,
2016,93507520,84943027,4,,
2016,91674136,84945031,4,,
2016,92285273,87856556,7,,
2016,94120153,84980215,5,,
2016,91057479,85492318,7,1,
2016,89838573,85584615,7,1,
2016,92892023,85586586,5,,1
2016,91059298,85586592,5,,1
2016,90451760,86934166,7,,
2016,93506630,86935096,5,,
2016,91675089,83832567,6,,
2016,93508489,83832580,6,,
2016,91064821,83832584,6,,
2016,93506685,86937184,7,,
2016,93507648,84948074,7,,
2016,92896605,84948090,4,,
2016,92284461,84949931,7,,
2016,91063934,84949945,7,,
2016,89844951,83318499,7,,
2016,90446436,85496555,7,,
2016,92279201,85545538,7,,
2016,91668950,85545564,5,,1
2016,89838740,85593006,7,,
2016,92893752,85670707,7,,
2016,91671448,85670712,7,,
2016,92895702,87856749,7,,
2016,90452959,84952057,5,,
2016,92285460,86183366,6,,
2016,92285505,85712013,6,,
2016,90454959,83319443,7,,
2016,91667242,85455576,7,,
2016,91667247,85455626,1,,
2016,92280114,85594172,1,,
2016,90448376,85595229,7,,
2016,89839580,85632678,5,,1
2016,94116495,85698068,7,,
2016,93506835,87859661,7,,
2016,92284549,84953019,5,,
2016,89844056,85138530,6,,
2016,92895825,87860252,6,,
2016,89842289,84915475,7,,
2016,90454045,85139533,7,,
2016,92285556,86376654,7,,
2016,90445777,85460866,6,,
2016,89837092,85508009,1,,
2016,92891480,85556463,7,,
2016,91059560,85599400,5,,1
2016,94114091,85599527,7,,
2016,93505958,85702886,6,,
2016,92282802,85703956,7,,
2016,89842315,84916628,3,,
2016,91064143,84958120,6,,
2016,89837128,85510123,7,1,
2016,92890626,85511140,6,,
2016,94112402,85511173,7,1,
2016,91066188,83330287,6,,
2016,89835306,85411855,4,,
2016,92277676,85465971,7,0,
2016,89839802,85642601,1,,
2016,91060484,85642706,7,,
2016,90450226,83830338,7,,
2016,94117663,84921792,4,,
2016,91063284,84923814,7,1,
2016,90453210,84962126,7,,
2016,90455247,83331410,7,,
2016,91056146,85415083,4,,
2016,91666580,85417032,7,,
2016,91057064,85470288,4,,
2016,94112496,85516333,7,1,
2016,91668405,85516438,6,,
2016,90446902,85518447,4,,
2016,89838187,85565028,7,0,
2016,92893244,85645659,7,,
2016,91063332,84925884,6,,
2016,94112558,85519489,7,,
2016,92896177,84929944,7,,
2016,93508116,84968200,7,,
2016,92286877,83336848,7,,
2016,89836474,85475340,5,,1
2016,92278784,85522618,5,,1
2016,89838305,85570552,7,0,
2016,90452444,84930907,7,,
2016,90453369,84969087,7,0,
2016,89843462,84970108,7,,
2016,89845440,87963974,7,,
2016,89845475,87964549,7,,
2016,93501100,85478481,5,,1
2016,93508212,84973080,7,,
2016,92894437,85683864,6,,
2016,91068528,83554049,6,,
2016,94111388,85457603,7,1,
2016,90447926,85571698,1,,
2016,91065895,83317453,6,,
2016,92290176,86914405,5,,
2016,89845672,83932417,4,,
2016,91069634,86917549,5,,
2016,93514173,86932518,7,,
2016,92291173,83272018,7,,
2016,91676015,86912370,1,,
2016,93509448,86913295,1,,
2016,94120137,86913330,1,,
2016,91066663,83933377,4,,
2016,92900390,87823135,7,,
2016,92288295,87824123,4,,
2016,89846806,87824925,5,,
2016,89846819,87825019,6,,
2016,89847806,84128694,7,0,
2016,91069740,86920772,7,,
2016,91064716,83928170,7,,
2016,90456920,87825853,7,,
2016,90456928,87825922,6,,
2016,91070720,85604956,7,,
2016,91059848,85613218,7,1,
2016,91064202,84961077,7,,
2016,92899478,86927227,4,,
2016,92291362,84130775,1,,
2016,94144407,86387964,7,,
2016,89869352,87680670,7,,
2016,94115800,83831424,7,,
2016,94144322,85622476,7,1,
2016,94121504,86726331,6,,
2016,94121520,86727327,7,,
2016,94121532,86727387,6,,
2016,94121600,84867163,7,,
2016,94121831,84519083,7,,
2016,94120807,87964036,7,,
2016,94120951,86397722,7,0,
2016,94144430,83932347,7,,
2016,94116334,85690905,7,,
2016,94117008,86380524,4,,
2016,94112387,85510161,6,,
2016,94111525,85464984,5,,1
2016,94111601,85470270,6,,
2016,94118144,84942991,7,,
2016,94118169,84944022,5,,
2016,94111635,85472280,1,,
2016,94153868,86388100,7,,
2016,94117379,87856110,6,,
2016,94117483,87860198,7,,
2016,94110819,85423323,7,,
2016,94110874,85427369,6,,
2016,94110918,85429518,4,,
2016,94116467,85696975,7,,
2016,94123282,86186634,7,,
2016,94123301,83936655,7,,
2016,94116647,85704975,7,,
2016,94117525,84915502,7,,
2016,94117526,84915503,7,,
2016,94117634,84920773,7,,
2016,94134677,85629596,7,1,
2016,94117803,84928038,6,,
2016,94123383,83356950,6,,
2016,94111088,85441285,5,,1
2016,94134658,85561826,5,,0
2016,91709754,85491339,5,,
2016,91099482,85510080,7,,
2016,92319711,85650868,4,,
2016,89878695,85653829,5,,1
2016,93543238,84927031,7,,
2016,89878821,87828586,5,,
2016,91709957,86918728,6,,
2016,89859641,85551054,5,,1
2016,89859718,85135534,4,,
2016,89841956,86364229,6,,
2016,89844281,86388066,5,,
2016,89844383,86392484,3,,
2016,89845925,86931435,7,,
2016,89839956,85650698,7,1,
2016,89839973,85651776,1,,
2016,89842898,84944090,4,,
2016,89843115,84955080,6,,
2016,89845541,83537746,4,,
2016,89845589,84513709,7,,
2016,89846289,83919995,7,,
2016,89840323,85668644,7,,
2016,89843231,84959990,7,,
2016,89843420,84968123,4,,
2016,89843480,84971084,1,,
2016,89844805,86922085,5,,
2016,89844812,87857864,7,0,
2016,89844815,86366338,6,,
2016,89845117,83326791,5,,
2016,89845174,83329105,5,,
2016,89845225,83331315,5,,
2016,89838819,85596278,7,,
2016,89844962,83319453,7,,
2016,89839190,85616259,7,1,
2016,89838743,85593056,7,,
2016,89839003,85606698,7,,
2016,89839102,85612051,5,,
2016,89839407,85625526,7,,
2016,89842186,87858044,7,0,
2016,89835369,85415964,6,,
2016,89835376,85416036,4,,
2016,89835631,85430561,4,,
2016,89835643,85431520,6,,
2016,89835648,85431594,4,,
2016,89835691,85438001,7,,
2016,89835974,85450146,5,,1
2016,89836093,85455608,1,,
2016,89836098,85456525,5,,1
2016,89836223,85462843,7,1,
2016,89843823,83832476,6,,
2016,89836285,85465055,7,,
2016,89838171,85564023,1,,
2016,89838180,85564093,7,,
2016,89836422,85472339,7,,
2016,89836426,85472376,7,,
2016,89836504,85476451,7,,
2016,89838340,85572615,7,,
2016,89837713,85540288,6,,
2016,89836717,85487128,7,,
2016,89837801,85544616,4,,
2016,89837824,85545675,5,,1
2016,89841021,85684805,7,,
2016,89836874,85496474,7,,
2016,89836953,85500619,7,0,
2016,89837976,85554179,7,,
2016,89841319,85698962,7,1,
2016,89841330,85699027,7,,
2016,89843914,86180247,6,,
2016,89837023,85503918,1,,
2016,89837075,85507015,7,0,
2016,89843541,84973145,7,,
2016,89841154,85691865,7,,
2016,89837126,85510121,5,,1
2016,89837133,85510152,7,,
2016,89843682,84979271,7,,
2016,89844022,85712036,6,,
2016,89844040,85138445,4,,
2016,89837321,85520540,7,,
2016,92894615,85691911,7,,
2016,92894635,85692935,7,,
2016,92900445,87824997,4,,
2016,92889382,85447821,5,,0
2016,92889438,85450145,5,,
2016,92894388,85682713,5,,
2016,92894425,85683810,6,,
2016,92888832,85412968,4,,
2016,92888916,85418078,7,,
2016,92888992,85423215,7,,
2016,89878649,85509024,7,,
2016,91709783,85587807,4,,
2016,92932374,85642591,7,,
2016,94153943,83282449,7,1,
2016,91679854,86916617,6,,
2016,94124922,83271886,7,,
2016,91680924,83364591,6,,
2016,93508370,87387595,6,,
2016,90455855,86924148,5,,
2016,94121177,86925130,7,,
2016,89846771,87823963,5,,
2016,92288277,87824033,7,,
2016,93511467,87824893,7,,
2016,92289322,84128667,7,,
2016,94123140,84128677,4,,
2016,91064729,83929176,4,,
2016,91677064,86925234,5,,
2016,90455904,86927224,6,,
2016,91068801,84018503,1,,
2016,90457944,84366572,1,,
2016,91680019,83361295,6,,
2016,89849840,85604955,6,,
2016,93509610,83318394,5,,
2016,92286458,83318420,6,,
2016,91069854,83362498,4,,
2016,92290475,86938081,7,,
2016,94125131,84131941,5,,
2016,92285402,86180191,6,,
2016,92286536,83321595,7,,
2016,90455023,83322533,3,,
2016,89845937,86348603,5,,
2016,90458122,83356999,7,,
2016,91069959,84456611,6,,
2016,90456106,84366511,4,,
2016,92291506,83274226,5,,
2016,91681179,83275203,7,,
2016,93509867,83329036,1,,
2016,92288711,84366524,7,,
2016,94123558,84373828,7,,
2016,94124490,86922852,7,,
2016,91680358,86619130,6,,
2016,93514697,88177191,6,,
2016,91680387,87006128,7,,
2016,93513801,87006148,6,,
2016,92285673,86384839,7,,
2016,89848319,84378174,7,,
2016,92902850,83279099,4,,
2016,92286894,83337907,7,,
2016,91676639,87963464,7,,
2016,89845456,87964383,6,,
2016,92288925,83546439,7,,
2016,91068379,83547532,7,,
2016,90458445,84380445,7,,
2016,90459408,83282343,4,,
2016,93513935,84868089,7,,
2016,89844437,87679764,7,1,
2016,89844444,87679802,4,,
2016,94122796,83548639,6,,
2016,90455572,83536787,6,,
2016,91070345,84871125,5,,1
2016,92903070,83339165,5,,
2016,92286007,86395613,7,,
2016,92290116,86730326,4,,
2016,94119959,85806204,7,,
2016,89839651,85635699,7,1,
2016,89839851,85644742,7,,
2016,92897503,83832630,1,,
2016,90455476,87964397,5,,
2016,91679104,86185495,7,,
2016,92894428,85683839,5,,
2016,94124769,83339030,4,,
2016,91071051,88177404,7,,
2016,90445290,85437934,7,,
2016,90446420,85496456,7,0,
2016,91669600,85580332,7,,
2016,94110565,85408666,7,,
2016,89835297,85411727,7,,
2016,92890707,85515293,7,,
2016,92888860,85414917,6,,
2016,94110678,85416069,7,,
2016,92888898,85417045,6,,
2016,89837247,85516337,7,,
2016,91668403,85516414,7,,
2016,91673673,84924896,5,,
2016,92897027,84966132,7,,
2016,92285899,87679686,5,,
2016,91676662,87963951,7,,
2016,91058987,85567313,4,,
2016,92892575,85613115,7,,
2016,91675705,87135127,4,,
2016,90447905,85570598,7,0,
2016,94113560,85570606,7,,
2016,91059935,85617343,7,0,
2016,89840045,85655999,7,0,
2016,92283119,87960947,6,,
2016,92283130,87961342,4,,
2016,91674766,84973073,7,,
2016,94118846,84973109,4,,
2016,89844516,86394686,7,,
2016,90455543,87818512,7,,
2016,90455587,86395702,7,,
2016,89846564,84522259,7,,
2016,89848722,86916643,7,,
2016,93513320,86918572,7,,
2016,89839278,85619534,5,,0
2016,89840084,85658022,1,,
2016,91062620,83289603,6,,
2016,93508234,84974071,7,,
2016,91066565,84513628,7,,
2016,93510295,84514720,7,,
2016,93513401,86920789,7,,
2016,93503017,85579101,7,,
2016,94114499,85620463,7,1,
2016,91060011,85621394,7,,
2016,94115310,85660274,7,,
2016,89843615,84976230,7,,
2016,91060895,85661285,7,1,
2016,92893562,85662268,7,,
2016,92282348,85682842,5,,1
2016,92282353,85682886,7,,
2016,91673975,84937936,7,,
2016,89842761,84938911,7,,
2016,90453647,87386708,4,,
2016,91064687,87388690,5,,
2016,93510444,86923063,6,,
2016,91677007,86923118,4,,
2016,91678079,87824932,7,,
2016,90456901,87824934,7,1,
2016,89847875,84019429,7,,
2016,93512505,86184499,7,,
2016,92291423,84133089,6,,
2016,92279017,85535177,7,0,
2016,94114588,85624547,7,0,
2016,92892849,85626627,7,,
2016,91061817,85683841,5,,
2016,94117172,86364240,6,,
2016,89843752,83929245,4,,
2016,91676004,86912234,1,,
2016,91676040,84979345,4,,
2016,89846855,87825946,6,,
2016,89847925,86185530,6,,
2016,91068856,86185540,7,,
2016,93512550,86186695,6,,
2016,91069917,86939139,7,,
2016,89849003,86939158,6,,
2016,93503962,85629496,7,,
2016,92280875,85629557,1,,
2016,92893663,85667470,6,,
2016,89841047,85685904,7,,
2016,91674116,84943996,7,,
2016,93507545,84944058,7,,
2016,94118364,84952999,7,,
2016,94119273,86182342,7,,
2016,94118463,84956079,7,,
2016,94118470,84956982,4,,
2016,94124923,83271892,4,,
2016,94114361,85613227,4,,
2016,94113626,85574824,1,,
2016,94124352,84458612,7,,
2016,94124366,84459629,7,,
2016,94113750,85582385,7,,
2016,94120133,86913289,1,,
2016,94113827,85585695,5,,
2016,94120238,83316282,5,,
2016,94120243,83316338,1,,
2016,94119362,85138565,7,,
2016,94119432,86378719,6,,
2016,94120329,83319521,4,,
2016,94163509,83537730,4,,
2016,92889296,85443446,7,1,
2016,92894917,85704969,1,,
2016,92901036,83547453,7,,
2016,92901045,83547526,7,,
2016,92900053,84517985,7,0,
2016,92900089,84519132,5,,
2016,92900096,84520070,7,,
2016,92888934,85419168,7,,
2016,92888957,85421188,7,,
2016,91678507,83541001,6,,
2016,91679433,84377032,7,,
2016,91680631,84871086,6,,
2016,89859604,85421185,4,,
2016,93511010,83923017,7,,
2016,92903049,83338044,6,,
2016,92287870,83924241,7,,
2016,90457537,83549634,7,0,
2016,92289014,83550738,5,,
2016,89849676,83271919,4,,
2016,94121901,84522236,6,,
2016,89847600,83555102,7,0,
2016,94122962,83556220,7,,
2016,92902208,86914387,5,,
2016,94123959,86914448,7,,
2016,89878650,85517448,5,,1
2016,92283715,87860297,7,,
2016,89848909,83361415,7,,
