"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,96196332,11,1,7940634
2017,16,96196646,75,9,7940688
2017,5,96197035,0.3,1,7940736
2017,12,96197035,1,1,7940734
2017,15,96197035,18,9,7940733
2017,5,96197938,0.43,1,7940828
2017,1,96198816,3,1,7940965
2017,5,96204087,1.4,1,7941556
2017,5,96204511,1.37,1,7941607
2017,5,96204884,28.3,1,7941670
2017,5,96204934,0.01,1,7941687
2017,12,96205197,0.6,1,7941749
2017,5,96206216,122,1,7941898
2017,5,96207131,1,11,7942036
2017,12,96206685,0.3,1,7941950
2017,5,96206958,15.52,1,7942006
2017,5,96207402,3,1,7942087
2017,1,96207426,6.2,1,7942091
2017,16,96207587,1,9,7942110
2017,5,96208790,0.5,1,7942294
2017,1,96217412,0.07,1,7942754
2017,4,96217412,0.46,1,7942756
2017,5,96220373,1,1,7942958
2017,17,96222167,,,7943120
2017,5,96223118,0.06,1,7943184
2017,2,96223819,1.12,1,7943219
2017,5,96223819,2.14,1,7943221
2017,5,96224037,7.51,1,7943246
2017,1,96226273,12.3,1,7943401
2017,4,96226273,0.5,1,7943400
2017,17,96226273,31.7,1,7943399
2017,1,96228001,25.47,1,7943502
2017,5,96228001,0.63,1,7943503
2017,5,96229997,1,1,7943640
2017,4,96232446,5.07,1,7943831
2017,5,96232594,0.18,1,7943836
2017,5,96237015,26.45,1,7944164
2017,5,96238167,1,1,7944327
2017,5,96343488,1,9,7962784
2017,5,96344383,0.026,1,7962944
2017,2,96347514,2.9,1,7963489
2017,5,96347514,7.6,1,7963487
2017,4,96347731,0.001,1,7963514
2017,4,96348489,0.1,1,7963614
2017,5,96355474,0.5,1,7964503
2017,1,96356020,0.2,1,7964525
2017,5,96360526,1.35,8,7964947
2017,5,96360599,23.78,1,7964958
2017,5,96362061,3.3,1,7965138
2017,5,96362374,0.01,1,7965164
2017,2,96388307,0.95,1,7968157
2017,5,96386914,3.52,1,7968091
2017,9,96386914,0.01,1,7968090
2017,1,96389431,10.78,1,7968320
2017,12,101092796,0.18,1,8661411
2017,12,101093262,1.005,5,8661482
2017,5,101093751,0.5,1,8661595
2017,2,101093865,6,1,8661615
2017,1,101093865,1,1,8661616
2017,4,101093865,2,1,8661614
2017,12,101094430,0.015,1,8661769
2017,17,101095519,,,8661907
2017,12,101098450,0.027,1,8662202
2017,12,101098450,59,5,8662203
2017,5,101099161,4.3,1,8662266
2017,4,97129072,,,8077833
2017,5,97129827,3,1,8077967
2017,5,97130452,38.4,1,8078070
2017,8,97130474,3,9,8078075
2017,12,97130474,2.4,1,8078074
2017,5,97130627,1.5,1,8078109
2017,5,97130728,6.8,1,8078128
2017,5,97132133,7.1,1,8078361
2017,5,97130993,7.5,1,8078178
2017,16,97133733,,,8078584
2017,16,97134595,3,9,8078673
2017,5,97137737,0.7,1,8079090
2017,5,97138722,5,1,8079196
2017,5,97140696,0.64,1,8079522
2017,5,97141608,2.2,1,8079626
2017,5,97143038,5.6,1,8079872
2017,12,97143203,1.14,1,8079897
2017,5,97143589,1.1,1,8079962
2017,5,97143733,2.7,1,8079974
2017,2,97143742,0.3,1,8079977
2017,5,97144552,1,3,8080092
2017,5,97144573,3.1,1,8080097
2017,4,97144573,1.2,1,8080096
2017,2,97144573,0.1,1,8080095
2017,5,97144755,18.27,1,8080129
2017,12,97144755,18,9,8080130
2017,5,97147594,1,1,8080529
2017,5,97148187,1,1,8080617
2017,5,96139915,0.16,1,7933041
2017,2,96139915,2.21,1,7933038
2017,5,96140506,2.3,1,7933118
2017,5,96142090,9.2,1,7933358
2017,5,96144832,1,1,7933707
2017,5,96144993,39,1,7933734
2017,12,96145086,1,1,7933755
2017,5,96146819,0.4,1,7934208
2017,5,96151767,0.004,1,7934904
2017,5,96155966,0.006,1,7935569
2017,5,96156370,14.044,1,7935617
2017,5,96157310,1,1,7935732
2017,16,96159745,,,7936085
2017,5,96159039,1,1,7935975
2017,8,96161064,9,9,7936223
2017,7,96161385,6,9,7936261
2017,15,96161385,13,9,7936259
2017,5,96161385,3.615,1,7936263
2017,16,96162993,0.076,9,7936398
2017,5,96166901,1,1,7936762
2017,5,96168549,0.4,1,7936886
2017,4,96171583,0.7,1,7937119
2017,5,96173022,3,1,7937277
2017,5,96173235,1,1,7937308
2017,5,96173398,5.1,1,7937334
2017,12,96175403,0.5,1,7937592
2017,5,96176364,1,1,7937724
2017,5,96176889,46.1,1,7937810
2017,17,96176915,,,7937812
2017,5,96179773,0.17,1,7938161
2017,12,96181297,0.7,1,7938374
2017,5,96181603,1.5,1,7938471
2017,5,96183407,1.14,1,7938728
2017,5,96183748,2.6,1,7938791
2017,18,96185302,,,7939008
2017,11,96185302,11.2,1,7939007
2017,12,96185302,22,1,7939006
2017,12,96186851,1.6,1,7939229
2017,5,96186314,5.8,1,7939156
2017,5,96186930,2.2,1,7939243
2017,5,96186955,2.5,1,7939246
2017,5,96188470,0.99,1,7939465
2017,5,96188885,0.4,1,7939545
2017,5,96189357,0.6,1,7939593
2017,5,96191685,1.63,1,7939859
2017,5,96192904,0.89,1,7940062
2017,5,96192884,7.2,1,7940055
2017,12,96194035,,,7940194
2017,5,96195079,1.8,1,7940387
2017,8,96196007,1,11,7940591
2017,5,96199658,1.36,1,7941045
2017,5,96203314,6,1,7941443
2017,5,96203878,2.06,1,7941503
2017,5,96204056,300,1,7941552
2017,12,96204267,1.589,7,7941580
2017,5,96204301,2.7,1,7941581
2017,5,96205019,0.119,1,7941704
2017,5,96204859,2.1,1,7941663
2017,5,96204925,8.1,1,7941685
2017,12,96205063,1.01,1,7941720
2017,5,96205137,4.98,1,7941742
2017,5,96205366,7.58,1,7941795
2017,12,96205848,1,1,7941849
2017,5,96207677,1,1,7942126
2017,5,96208185,1,1,7942194
2017,5,96208258,3,1,7942207
2017,5,96208465,7,9,7942236
2017,12,96208504,1,1,7942248
2017,12,96208509,1,1,7942250
2017,5,96208703,28,1,7942287
2017,5,96208795,2.3,1,7942295
2017,5,96216062,0.19,1,7942674
2017,1,96216062,0.49,1,7942673
2017,5,96216447,4.1,1,7942697
2017,12,96217163,5.2,1,7942735
2017,5,96217163,279.1,1,7942736
2017,5,96217187,55.6,1,7942742
2017,1,96217467,0.75,1,7942759
2017,5,96219852,1.81,1,7942917
2017,5,96218735,7.57,1,7942850
2017,1,96217750,1.42,1,7942783
2017,1,96218694,0.68,1,7942840
2017,4,96218735,3.12,1,7942848
2017,1,96218735,2.97,1,7942847
