"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2018,111821362,1,
2018,111827997,1,
2018,111693418,10,
2018,111700849,1,
2018,111709729,1,
2018,111796017,9,
2018,111710168,1,
2018,111710169,1,
2018,111719612,10,
2018,111821635,1,
2018,111823373,2,
2018,111827997,9,
2018,111828510,1,
2018,111828509,1,
2018,111829168,1,
2018,110965201,9,
2018,110975919,1,
2018,110981073,9,
2018,110976097,9,
2018,110974483,1,
2018,110976835,1,
2018,110981834,1,
2018,110977218,1,
2018,110986107,1,
2018,110982608,9,
2018,110987445,9,
2018,110983827,1,
2018,123454276,9,
2018,111817436,1,
2018,111822164,1,
2018,111822372,10,
2018,111822471,1,
2018,111822881,1,
2018,111819333,6,
2018,111823830,1,
2018,111829349,9,
2018,111833723,1,
2018,123454052,1,
2018,123457104,9,
2018,123454234,1,
2018,111679860,1,
2018,111698771,2,
2018,111702709,1,
2018,111700931,1,
2018,111711710,10,
2018,111716470,9,
2018,109543633,1,
2018,109548613,1,
2018,109544135,1,
2018,109555909,1,
2018,117761847,1,
2018,117755382,10,
2018,117762035,9,
2018,117762071,9,
2018,117762089,1,
2018,117757414,9,
2018,117757489,9,
2018,117762256,1,
2018,117755542,1,
2018,117762634,1,
2018,117762799,6,
2018,117762800,2,
2018,117762827,1,
2018,117762828,1,
2018,117755924,1,
2018,117763057,1,
2018,117763341,1,
2018,117763372,1,
2018,117763404,3,
2018,120426074,1,
2018,120436368,10,
2018,117761971,1,
2018,117761969,1,
2018,117763050,1,
2018,117766880,9,
2018,117766881,9,
2018,117764940,9,
2018,117765047,1,
2018,117758755,1,
2018,117770559,6,
2018,117782233,1,
2018,117770724,1,
2018,117777776,1,
2018,117781443,9,
2018,117778269,9,
2018,117779495,1,
2018,117779625,10,
2018,117779687,1,
2018,117784500,9,
2018,117784502,9,
2018,117785110,1,
2018,117785135,1,
2018,117785288,6,
2018,117796382,1,
2018,117798533,10,
2018,117799683,9,
2018,117791055,1,
2018,117795509,1,
2018,117795511,1,
2018,117802426,9,
2018,117807498,1,
2018,117803404,1,
2018,117812694,1,
2018,117813191,9,
2018,117810693,1,
2018,117817309,9,
2018,117813666,1,
2018,111794385,1,
2018,111805109,1,
2018,111813859,9,
2018,111818996,10,
2018,111818998,10,
2018,111819004,9,
2018,111824340,1,
2018,111826915,6,
2018,111828155,1,
2018,111831357,9,
2018,111825450,1,
2018,111825454,10,
2018,111830525,1,
2018,111836823,1,
2018,120414774,1,
2018,120414779,1,
2018,120414810,1,
2018,120414873,9,
2018,120414982,1,
2018,120410283,1,
2018,120410077,6,
2018,120415629,10,
2018,120415767,1,
2018,120415752,1,
2018,120415786,1,
2018,120416046,1,
2018,120419613,9,
2018,120410892,1,
2018,120419667,6,
2018,120421245,9,
2018,120421435,1,
2018,120409690,1,
2018,120420194,1,
2018,120422198,1,
2018,120426433,9,
2018,120431163,1,
2018,120426804,1,
2018,120422613,6,
2018,120422480,1,
2018,120422675,1,
2018,120427431,1,
2018,120428048,1,
2018,120423693,10,
2018,120423912,1,
2018,120428355,10,
2018,120423926,10,
2018,120432569,10,
2018,120432594,1,
2018,120428413,1,
2018,120424022,10,
2018,120424389,1,
2018,117763406,1,
2018,117763536,1,
2018,117763615,1,
2018,117763613,1,
2018,117763675,1,
2018,117763696,1,
2018,117766451,1,
2018,117758253,1,
2018,117766589,1,
2018,117766706,1,
2018,117764530,1,
2018,117764656,9,
2018,117764656,1,
2018,117764744,1,
2018,117766806,2,
2018,117764823,1,
2018,117766865,10,
2018,117765079,10,
2018,117764915,2,
2018,117764911,2,
2018,117765023,1,
2018,117767022,1,
2018,117765728,1,
2018,117765814,1,
2018,117759018,1,
2018,117771873,10,
2018,117759272,1,
2018,117772340,9,
2018,117772341,9,
2018,117768069,9,
2018,117768066,9,
2018,117772828,10,
2018,117775920,10,
2018,117772531,6,
2018,117772657,1,
2018,117776624,6,
2018,117768833,1,
2018,117773765,1,
2018,117773820,2,
2018,117768898,1,
2018,117768932,17,
2018,117774003,2,
2018,117761079,2,
2018,117774169,9,
2018,117774179,2,
2018,117769180,6,
2018,117775186,2,
2018,117776819,1,
2018,117774956,9,
2018,117774994,9,
2018,117781175,1,
2018,117775634,9,
2018,117777558,10,
2018,117775768,1,
2018,117781923,1,
2018,117781193,9,
2018,117781236,1,
2018,117770267,9,
2018,117782316,6,
2018,117782036,10,
2018,117782094,9,
2018,117782182,1,
2018,117783612,10,
2018,117782359,10,
2018,117782401,1,
2018,117782421,1,
2018,117782671,1,
2018,117779020,9,
2018,117779053,1,
2018,117783193,1,
2018,117786164,1,
2018,117783282,1,
2018,117783316,1,
2018,117783328,1,
2018,117786256,9,
2018,117783420,9,
2018,117786274,1,
2018,117783579,9,
2018,117783604,1,
2018,117785383,6,
2018,117786610,1,
2018,117786624,1,
2018,117780299,1,
2018,117784851,1,
2018,117784902,1,
2018,117780425,1,
2018,117780554,1,
2018,117787273,9,
2018,117785518,2,
2018,117787359,10,
2018,117791352,1,
2018,117791424,9,
2018,117796230,9,
2018,117796329,2,
2018,117796592,9,
2018,117791810,9,
2018,117796946,10,
2018,117796943,9,
2018,117796961,1,
2018,117797072,9,
2018,117792474,1,
2018,117793650,10,
2018,117798595,1,
2018,117793467,1,
2018,117801103,1,
2018,117793649,10,
2018,117794101,9,
2018,117799533,9,
2018,117799955,1,
2018,117789160,1,
2018,117794809,1,
2018,117800718,17,
2018,117800751,6,
2018,117800751,1,
2018,117800818,9,
2018,117800847,9,
2018,117800874,1,
2018,117795228,1,
2018,117800935,2,
2018,117800978,1,
2018,117789609,1,
2018,117801166,10,
2018,117789724,1,
2018,117801725,9,
2018,117789809,9,
2018,117795787,1,
2018,117801797,1,
2018,117789936,9,
2018,117801929,1,
2018,117801830,10,
2018,117802075,12,1
2018,117806492,1,
2018,117806539,9,
2018,117802111,1,
2018,117802126,1,
2018,117802222,2,
2018,117803960,1,
2018,117802660,1,
2018,117802992,1,
2018,117803013,10,
2018,117790659,1,
2018,117790675,10,
2018,117803265,1,
2018,117807447,1,
2018,117807445,1,
2018,117807444,1,
2018,117803478,1,
2018,117803622,1,
2018,117803854,1,
2018,117803883,1,
2018,117803959,1,
2018,117804028,1,
2018,117804374,1,
2018,117804329,4,
2018,117804402,1,
2018,117808362,1,
2018,117811520,1,
2018,117809795,6,
2018,117808409,10,
2018,117804487,1,
2018,117804575,1,
2018,117808577,10,
2018,117811667,1,
2018,117811839,9,
2018,117804757,9,
2018,117811991,1,
2018,117812047,9,
2018,117805160,10,
2018,117812226,9,
2018,117805407,1,
2018,117805675,1,
2018,117813174,1,
2018,117806053,1,
2018,117806062,1,
2018,117806088,1,
2018,117809890,1,
2018,117809891,9,
2018,117809897,9,
2018,117816141,1,
2018,117816514,9,
2018,117816625,10,
2018,117810798,10,
2018,117810660,1,
2018,117813251,1,
2018,117816984,9,
2018,117811002,1,
2018,117817397,1,
2018,117817487,10,
2018,117817808,10,
2018,120409594,1,
2018,120409681,1,
2018,120414699,9,
2018,120409925,1,
2018,120414878,1,
2018,120409926,1,
2018,120415063,1,
2018,120418800,1,
2018,120415665,1,
2018,120419206,10,
2018,120419204,10,
2018,120410557,1,
2018,120410635,10,
2018,120421959,1,
2018,120415846,6,
2018,120420184,1,
2018,120421743,10,
2018,120422100,1,
2018,120426886,2,
2018,120426852,9,
2018,120422496,1,
2018,120422405,9,
2018,120422407,10,
2018,120422455,9,
2018,120427135,10,
2018,120431400,1,
2018,120422836,1,
2018,120431224,1,
2018,120423875,1,
2018,120422884,9,
2018,120427449,9,
2018,120431611,9,
2018,120423164,1,
2018,120423216,1,
2018,120423280,1,
2018,120427908,1,
2018,120428026,1,
2018,120423599,1,
2018,120428945,6,
2018,120423922,10,
2018,120432647,10,
2018,120424027,1,
2018,120432811,1,
2018,120432807,1,
2018,120432813,1,
2018,120424421,1,
2018,120424510,1,
2018,120433287,9,
2018,120424961,9,
2018,120433365,1,
2018,120429153,1,
2018,120424976,10,
2018,120425028,1,
2018,117757362,1,
2018,117762016,9,
2018,117757451,10,
2018,117755459,1,
2018,117762192,1,
2018,117762490,9,
2018,117755656,9,
2018,117757715,1,
2018,117762662,1,
2018,117762741,2,
2018,117762759,1,
2018,117763047,1,
2018,117763345,9,
2018,117763388,1,
2018,117763417,1,
2018,117766272,9,
2018,117763459,1,
2018,117763572,1,
2018,117766239,9,
2018,117763835,6,
2018,117763875,9,
2018,117763916,9,
2018,117763977,1,
2018,117764050,1,
2018,117758354,9,
2018,117764675,10,
2018,117766807,1,
2018,117764776,1,
2018,117766814,9,
2018,117766843,9,
2018,117765058,6,
2018,117767023,1,
2018,117764947,9,
2018,117764947,1,
2018,117764978,1,
2018,117766936,10,
2018,117765233,1,
2018,117765244,9,
2018,117771902,1,
2018,117765580,1,
2018,117758835,1,
2018,117767373,1,
2018,117771624,1,
2018,117771621,1,
2018,117771661,9,
2018,117767895,9,
2018,117768027,17,
2018,117772182,1,
2018,117772181,1,
2018,117759852,1,
2018,117772215,9,
2018,117772498,1,
2018,117772355,1,
2018,117772371,1,
2018,117772370,1,
2018,117768198,1,
2018,117760038,1,
2018,117772499,1,
2018,117772500,1,
2018,117768789,2,
2018,117773992,9,
2018,117768866,1,
2018,117760892,3,
2018,117773835,3,
2018,117773832,3,
2018,117773873,1,
2018,117773876,1,
2018,117773878,1,
2018,117761069,2,
2018,117774049,1,
2018,117769026,1,
2018,117776162,10,
2018,117776322,2,
2018,117776472,10,
2018,117777129,1,
2018,117774745,2,
2018,117776052,9,
2018,117781271,9,
2018,117770249,1,
2018,117778395,1,
2018,117778559,10,
2018,117778617,1,
2018,117783318,1,
2018,117783102,9,
2018,117786298,1,
2018,117783578,1,
2018,117786332,10,
2018,117783609,1,
2018,117783724,1,
2018,117786623,10,
2018,117779639,1,
2018,117784110,10,
2018,117786695,9,
2018,117786697,9,
2018,117786696,9,
2018,117784970,9,
2018,117780433,10,
2018,117780645,1,
2018,117780696,9,
2018,117785577,1,
2018,117780969,1,
2018,117785750,1,
2018,117796171,6,
2018,117796215,1,
2018,117796234,1,
2018,117796237,1,
2018,117797036,10,
2018,117797179,9,
2018,117798032,1,
2018,117798082,1,
2018,117800705,17,
2018,117795462,10,
2018,117795586,6,
2018,117790099,1,
2018,117801440,1,
2018,117801490,1,
2018,117796083,6,
2018,117796083,1,
2018,117796081,9,
2018,117806436,1,
2018,117801927,1,
2018,117802291,9,
2018,117802342,9,
2018,117802386,9,
2018,117790698,6,
2018,117803155,1,
2018,117807399,1,
2018,117807456,1,
2018,117807485,1,
2018,117807538,1,
2018,117807560,1,
2018,117803758,10,
2018,117807736,1,
2018,117804618,10,
2018,117804638,1,
2018,117808649,1,
2018,117804661,1,
2018,117808762,1,
2018,117804961,1,
2018,117817934,1,
2018,117805155,1,
2018,117805232,12,1
2018,117809148,1,
2018,117809631,1,
2018,117812555,9,
2018,117812870,1,
2018,117816349,10,
2018,117816682,6,
2018,117810739,1,
2018,117813331,1,
2018,117813551,6,
2018,117813602,1,
2018,117817875,2,
2018,117817874,2,
2018,117817884,1,
2018,109539169,1,
2018,109549990,1,
2018,109554724,1,
2018,109549232,1,
2018,109560033,1,
2018,109555932,1,
2018,120401979,9,
2018,120402015,1,
2018,120402237,1,
2018,120392119,1,
2018,120392131,1,
2018,120403395,9,
2018,120392704,3,
2018,120392704,1,
2018,120402665,1,
2018,120393030,10,
2018,120403005,9,
2018,120403004,9,
2018,120403893,1,
2018,120403893,6,
2018,120404056,3,
2018,120405506,9,
2018,120398748,9,
2018,120403201,1,
2018,120403389,6,
2018,120398749,9,
2018,120404205,9,
2018,120404206,9,
2018,120404406,6,
2018,120399074,6,
2018,120405200,1,
2018,120405573,9,
2018,120399792,9,
2018,120395785,10,
2018,120411453,1,
2018,120396084,9,
2018,120406021,1,
2018,120400912,1,
2018,120406863,1,
2018,120407541,1,
2018,120401124,10,
2018,120412163,1,
2018,120412594,1,
2018,120412732,1,
2018,120408052,9,
2018,120417037,9,
2018,120413251,3,
2018,120408523,1,
2018,120413409,9,
2018,120413409,1,
2018,120413424,6,
2018,120413604,1,
2018,120417577,10,
2018,120413735,1,
2018,120414491,10,
2018,120414522,1,
2018,120414797,1,
2018,120418473,9,
2018,120415047,9,
2018,120414855,1,
2018,120415014,10,
2018,120418846,1,
2018,120415123,1,
2018,120410400,9,
2018,120415354,1,
2018,120415781,1,
2018,120419510,10,
2018,120419468,1,
2018,120421216,1,
2018,120415914,1,
2018,120421992,1,
2018,120420932,9,
2018,120420828,1,
2018,120426965,1,
2018,120421215,1,
2018,120420063,1,
2018,120421022,1,
2018,120422348,1,
2018,120427074,1,
2018,120431190,1,
2018,120422532,10,
2018,120422531,10,
2018,120422555,1,
2018,120427696,1,
2018,120422989,1,
2018,120431741,10,
2018,120432887,1,
2018,120423711,1,
2018,120432216,1,
2018,120423603,1,
2018,120423916,1,
2018,120428489,10,
2018,120432721,10,
2018,120432723,10,
