"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
209032018,20903,2018,"WI0010100","WI0010100","","N","N",,"I","ADAMS","ADAMS PD","Adams","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",1852,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUN-02,01-DEC-13,01-DEC-13,,01-MAR-16,01-MAR-16,"N","ADAMS","Non-MSA","Y","Y","Y"
209042018,20904,2018,"WI0010200","WI0010200","","N","N",,"I","ROME TOWN","ROME TOWNSHIP PD NEKOOSA","Rome Town","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",2670,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,0,0,0,0,0,01-JUN-02,01-JAN-13,01-JAN-13,,01-OCT-15,01-OCT-15,"N","ADAMS","Non-MSA","Y","Y","Y"
209072018,20907,2018,"WI0030000","WI0030000","","N","N",,"I","BARRON","BARRON CO SO BARRON","Barron","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","County",29306,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",27,22,49,2,21,23,0,0,01-JUN-02,01-SEP-06,01-SEP-06,,01-OCT-15,01-OCT-15,"N","BARRON","Non-MSA","Y","Y","Y"
209082018,20908,2018,"WI0030100","WI0030100","","N","N",,"I","RICE LAKE","RICE LAKE PD","Rice Lake","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",8332,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",17,0,17,1,0,1,0,0,01-JUN-02,01-MAY-06,01-MAY-06,,01-APR-17,01-APR-17,"N","BARRON","Non-MSA","Y","Y","Y"
209162018,20916,2018,"WI0050000","WI0050000","","N","N",,"I","BROWN","BROWN CO SO GREEN BAY","Brown","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","County",98328,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",147,110,257,12,61,73,0,0,01-JUN-02,01-JAN-16,01-JAN-16,,01-APR-17,01-APR-17,"N","BROWN","Green Bay, WI","Y","Y","Y"
209172018,20917,2018,"WI0050100","WI0050100","","N","N",,"I","DE PERE","DE PERE PD","De Pere","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",25199,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",33,0,33,3,4,7,0,0,01-JUN-02,01-JAN-15,01-JAN-15,,01-APR-17,01-APR-17,"N","BROWN","Green Bay, WI","Y","Y","Y"
209182018,20918,2018,"WI0050200","WI0050200","","N","N",,"I","GREEN BAY","GREEN BAY PD","Green Bay","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",105281,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",155,13,168,25,27,52,0,0,01-JUN-02,01-JAN-10,01-JAN-10,01-MAR-19,01-SEP-15,01-SEP-15,"N","BROWN","Green Bay, WI","Y","Y","Y"
209232018,20923,2018,"WI0050800","WI0050800","","N","N",,"I","ASHWAUBENON","ASHWAUBENON PD GREEN BAY","Ashwaubenon","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",17316,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",47,2,49,4,5,9,0,0,01-JUN-02,01-JAN-14,01-JAN-14,01-MAR-19,01-APR-17,01-APR-17,"N","BROWN","Green Bay, WI","Y","Y","Y"
209242018,20924,2018,"WI0050900","WI0050900","","N","N",,"I","HOBART-LAWRENCE","HOBART LAWRENCE POLICE DEPARTMENT","Hobart-Lawrence","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",14667,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",9,0,9,1,1,2,0,0,01-JUN-02,01-JAN-18,01-JAN-18,,01-MAR-19,01-MAR-19,"N","BROWN","Green Bay, WI","Y","Y","Y"
209282018,20928,2018,"WI0070000","WI0070000","","N","N",,"I","BURNETT","BURNETT CO SO SIREN","Burnett","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","County",12668,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",16,1,17,1,0,1,0,0,01-JUN-02,01-JAN-10,01-JAN-10,,01-OCT-15,01-OCT-15,"N","BURNETT","Non-MSA","Y","Y","Y"
209302018,20930,2018,"WI0070200","WI0070200","","N","N",,"I","SIREN","SIREN PD","Siren","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",773,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,1,1,0,0,01-JUN-02,01-JAN-10,01-JAN-10,,01-OCT-15,01-OCT-15,"N","BURNETT","Non-MSA","Y","Y","Y"
209312018,20931,2018,"WI0080000","WI0080000","","N","N",,"I","CALUMET","CALUMET CO SO CHILTON","Calumet","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","County",26623,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",24,9,33,2,19,21,0,0,01-JUN-02,01-JAN-09,01-JAN-09,,01-OCT-15,01-OCT-15,"N","CALUMET","Appleton, WI","Y","Y","Y"
209322018,20932,2018,"WI0080100","WI0080100","","N","N",,"I","CHILTON","CHILTON PD","Chilton","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",3798,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,1,0,1,0,0,01-JUN-02,01-JAN-09,01-JAN-09,,01-OCT-15,01-OCT-15,"N","CALUMET","Appleton, WI","Y","Y","Y"
209332018,20933,2018,"WI0080200","WI0080200","","N","N",,"I","NEW HOLSTEIN","NEW HOLSTEIN PD","New Holstein","","A",54,"Wisconsin","WI","WI","3","East North Central","2","Midwest","Region II","City",3098,23399,"WIUCR0001","Wisconsin Department of Justice Bureau of Justice Information and Analysis","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,0,1,1,0,0,01-JUN-02,01-JAN-09,01-JAN-09,,01-OCT-15,01-OCT-15,"N","CALUMET","Appleton, WI","Y","Y","Y"
