"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,125117512,128610130,24,38758900
2019,125121442,128607715,16,38758922
2019,125121444,128610151,3,38758924
2019,132396812,137215370,3,41783865
2019,125117603,128610209,5,38751203
2019,125121518,128607796,25,38758951
2019,125112355,128607797,25,38751204
2019,125112355,128607796,1,38758952
2019,125121518,128607797,1,38758950
2019,132401025,137209106,1,41788191
2019,132401027,137213077,16,41788193
2019,125122741,128616474,1,38759260
2019,125121575,128615232,1,38754411
2019,125123003,128610407,5,38751309
2019,132403520,137209119,1,41780098
2019,132403524,137213081,18,41780102
2019,132403532,137209138,24,41788201
2019,132403540,137209150,3,41780109
2019,132403543,137215416,3,41780112
2019,125123125,128608323,3,38759119
2019,125122087,128608331,3,38751331
2019,125123152,128615782,1,38751332
2019,125122123,128608357,1,38759130
2019,132403560,137209177,3,41780121
2019,125133439,128617360,19,38761659
2019,132396867,137215429,3,41780129
2019,132401048,137213096,3,41788203
2019,132403591,137209212,3,41780136
2019,132403593,137213113,21,41780137
2019,132401086,137213127,3,41788221
2019,132403621,137209244,3,41780144
2019,132403622,137213133,17,41780145
2019,132403627,137209250,3,41780146
2019,132396899,137213142,1,41783903
2019,125112714,128615991,1,38754491
2019,125122299,128608492,21,38759176
2019,132396899,137213140,1,41783902
2019,132403646,137209262,3,41780153
2019,125122433,128608543,19,38759204
2019,125122434,128616131,3,38761372
2019,125122506,128616189,3,38759213
2019,125122528,128610708,24,38759216
2019,125122528,128610709,16,38754498
2019,125122741,128616475,1,38754526
2019,125122844,128616589,3,38761488
2019,125133439,128617361,5,38759638
2019,125134141,128609821,1,38761795
2019,132403651,137215484,18,41780154
2019,125133167,128617038,18,38759515
2019,125123873,128617182,4,38754636
2019,125133324,128617219,3,38754652
2019,125133425,128611179,1,38761655
2019,125133425,128609278,1,38759635
2019,125128243,128617393,3,38754706
2019,125133475,128611234,3,38754708
2019,132403653,137209267,18,41780155
2019,125128291,128617475,24,38754730
2019,132403660,137209276,1,41780158
2019,132403681,137209291,3,41780168
2019,132403696,137209318,22,41780172
2019,132403698,137209319,3,41780173
2019,125133858,128611621,1,38759735
2019,125133858,128611620,1,38759734
2019,125128586,128611635,1,38761756
2019,132396966,137213219,3,41780175
2019,125133992,128611735,1,38754815
2019,132403705,137213223,1,41780176
2019,125135307,128619279,3,38760113
2019,132401178,137213228,3,41788256
2019,125129083,128612145,16,38754957
2019,125134384,128612188,3,38754965
2019,125124726,128612261,21,38759897
2019,125125344,128613104,21,38755150
2019,125135212,128619174,21,38760079
2019,132403709,137209330,18,41780177
2019,125134459,128612295,1,38759907
2019,125134476,128612308,19,38761869
2019,125134495,128612334,3,38759929
2019,125129318,128612415,1,38755003
2019,125134554,128618520,3,38759937
2019,125134555,128612429,16,38755006
2019,125124884,128620191,13,38759939
2019,125134600,128618592,3,38755027
2019,125134673,128618642,22,38759959
2019,125130111,128613252,24,38755201
2019,125125001,128612593,1,38761914
2019,125134709,128618673,3,38755046
2019,125134720,128618682,1,38759963
2019,125134734,128612626,19,38759966
2019,125129499,128612634,1,38759970
2019,125125014,128612634,1,38761915
2019,125134744,128612634,1,38755054
2019,125134749,128618715,3,38759971
2019,125125027,128618727,21,38761919
2019,125134773,128618740,3,38759977
2019,125134808,128620407,19,38759988
2019,125125083,128612726,5,38761935
2019,125125082,128612726,3,38759992
2019,125134895,128612852,1,38760013
2019,125129783,128612925,3,38755111
2019,125134979,128620645,1,38760029
2019,125125391,128619208,3,38761987
2019,125135078,128613051,3,38760043
2019,125129908,128619045,3,38760044
2019,125129945,128619079,1,38755142
2019,125129945,128619078,1,38760052
2019,125129971,128619110,3,38755146
2019,125130111,128613253,25,38755202
2019,125130058,128619223,1,38760089
2019,125135283,128619248,24,38760103
2019,125135329,128619293,26,38760118
2019,132403711,137213234,21,41788260
2019,132403717,137209340,3,41780184
2019,132403719,137209343,3,41780185
2019,125104029,128590360,3,38757022
2019,125104378,128590663,5,38757083
2019,125101022,128587580,3,38752648
2019,125096896,128591677,16,38757409
2019,125105504,128584911,5,38753015
2019,125096996,128591787,1,38749788
2019,125097042,128595043,1,38749808
2019,125102361,128595045,1,38753076
2019,125097042,128595045,25,38749809
2019,125102361,128595043,25,38753075
2019,125097082,128595079,3,38749821
2019,125097131,128595134,5,38749834
2019,125105684,128595208,3,38757488
2019,125102582,128592067,9,38753137
2019,125097282,128592084,1,38749862
2019,125097326,128595305,16,38749873
2019,125097404,128589137,22,38749889
2019,125105807,128592207,25,38757524
2019,125105807,128592209,3,38753147
2019,125105936,128592336,17,38757560
2019,125102789,128595489,24,38749942
2019,125097624,128595562,3,38753220
2019,125102858,128592439,1,38753223
2019,125107882,128595584,21,38749984
2019,125106429,128589820,3,38753302
2019,125108202,128589830,1,38757720
2019,125122214,128615889,24,38759141
2019,125097750,128589489,3,38750020
2019,125106271,128595804,3,38753277
2019,125106564,128599951,26,38757745
2019,125108194,128595879,24,38753301
2019,125122413,128616114,3,38759202
2019,125122559,128616248,1,38759222
2019,125123419,128616248,1,38761385
2019,125122583,128610731,21,38761388
2019,125133443,128609315,3,38759642
2019,125133551,128617457,24,38759670
2019,125133551,128611305,24,38759669
2019,125125243,128620658,13,38761959
2019,125124263,128611405,1,38761724
2019,125133690,128611429,17,38759695
2019,125123713,128616779,3,38759408
2019,125133690,128611430,16,38759696
2019,125129779,128618926,24,38760021
2019,125129846,128618969,9,38761960
2019,125125333,128613086,25,38761973
2019,125125331,128619093,25,38761969
2019,125125333,128619093,19,38761971
2019,125125331,128613086,19,38761970
2019,125135143,128619104,15,38760056
2019,125125352,128620788,16,38760064
2019,125125353,128620788,16,38761977
2019,125125369,128619171,1,38760077
2019,125135279,128619244,3,38760100
2019,125135280,128619245,1,38760101
2019,125135291,128619257,25,38760106
2019,125135290,128619258,25,38755197
2019,125135290,128619257,3,38755196
2019,125135291,128619258,3,38760105
2019,125130097,128613227,3,38755198
2019,125102246,128584922,19,38753021
2019,125105830,128589171,3,38757529
2019,125104314,128583549,21,38757074
2019,125096162,128583836,10,38749546
2019,125096019,128587628,3,38757102
2019,125108538,128596221,1,38753396
2019,125096443,128584202,1,38752812
2019,125104973,128588237,16,38752815
2019,125105344,128588595,3,38752967
2019,125105344,128588594,25,38749711
2019,125096758,128588595,25,38757363
