"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,11786705,21055,1,2019,"I",17-MAR-20,"Y","F","C","2019_01_WI0290200_NIBRS",70335646,0
2019,11786706,21055,2,2019,"I",17-MAR-20,"Y","F","C","2019_02_WI0290200_NIBRS",70337968,0
2019,11790589,21055,3,2019,"I",17-MAR-20,"Y","F","C","2019_03_WI0290200_NIBRS",69218627,0
2019,11789403,21055,4,2019,"I",17-MAR-20,"Y","F","C","2019_04_WI0290200_NIBRS",69210685,0
2019,11790590,21055,5,2019,"I",17-MAR-20,"Y","F","C","2019_05_WI0290200_NIBRS",69215268,0
2019,11790591,21055,6,2019,"I",17-MAR-20,"Y","F","C","2019_06_WI0290200_NIBRS",70335652,0
2019,11786707,21055,7,2019,"I",17-MAR-20,"Y","F","C","2019_07_WI0290200_NIBRS",69215272,0
2019,11789404,21055,8,2019,"I",17-MAR-20,"Y","F","C","2019_08_WI0290200_NIBRS",69210699,0
2019,11789405,21055,9,2019,"I",17-MAR-20,"Y","F","C","2019_09_WI0290200_NIBRS",69218639,0
2019,11789406,21055,10,2019,"I",17-MAR-20,"Y","F","C","2019_10_WI0290200_NIBRS",69218644,0
2019,11789407,21055,11,2019,"I",17-MAR-20,"Y","F","C","2019_11_WI0290200_NIBRS",70335662,0
2019,11786708,21055,12,2019,"I",17-MAR-20,"Y","F","C","2019_12_WI0290200_NIBRS",70335667,0
2019,11426384,21134,1,2019,"I",14-FEB-20,"Y","F","C","2019_01_WI0411700_NIBRS",67951927,0
2019,11426385,21134,2,2019,"I",14-FEB-20,"Y","F","C","2019_02_WI0411700_NIBRS",65962378,0
2019,11426386,21134,3,2019,"I",14-FEB-20,"Y","F","C","2019_03_WI0411700_NIBRS",67951931,0
2019,11427016,21134,4,2019,"I",14-FEB-20,"Y","F","C","2019_04_WI0411700_NIBRS",70336159,0
2019,11426387,21134,5,2019,"I",14-FEB-20,"Y","F","C","2019_05_WI0411700_NIBRS",70336165,0
2019,11426388,21134,6,2019,"I",14-FEB-20,"Y","F","C","2019_06_WI0411700_NIBRS",67947888,0
2019,11426389,21134,7,2019,"I",14-FEB-20,"Y","F","C","2019_07_WI0411700_NIBRS",70342605,0
2019,11426390,21134,8,2019,"I",14-FEB-20,"Y","F","C","2019_08_WI0411700_NIBRS",70342624,0
2019,11427017,21134,9,2019,"I",14-FEB-20,"Y","F","C","2019_09_WI0411700_NIBRS",67951956,0
2019,11415547,21134,10,2019,"I",14-FEB-20,"Y","F","C","2019_10_WI0411700_NIBRS",67944266,0
2019,11426391,21134,11,2019,"I",14-FEB-20,"Y","F","C","2019_11_WI0411700_NIBRS",70342609,0
2019,11415548,21134,12,2019,"I",14-FEB-20,"Y","F","C","2019_12_WI0411700_NIBRS",70342615,0
2019,11786749,21056,1,2019,"I",17-MAR-20,"Y","F","C","2019_01_WI0290300_NIBRS",69233860,0
2019,11786750,21056,2,2019,"I",17-MAR-20,"Y","F","C","2019_02_WI0290300_NIBRS",69237577,0
2019,11790634,21056,3,2019,"I",17-MAR-20,"Y","F","C","2019_03_WI0290300_NIBRS",70337405,0
2019,11786751,21056,4,2019,"I",17-MAR-20,"Y","F","C","2019_04_WI0290300_NIBRS",69233870,0
2019,11790635,21056,5,2019,"I",17-MAR-20,"Y","F","C","2019_05_WI0290300_NIBRS",69237586,0
2019,11789931,30034,1,2019,"Z",17-MAR-20,"Y","F","C","2019_01_WI0330100_NIBRS",69212604,0
2019,11789383,30034,2,2019,"Z",17-MAR-20,"Y","F","C","2019_02_WI0330100_NIBRS",69212607,0
2019,11789384,30034,3,2019,"Z",17-MAR-20,"Y","F","C","2019_03_WI0330100_NIBRS",69216852,0
2019,11789385,30034,4,2019,"Z",17-MAR-20,"Y","F","C","2019_04_WI0330100_NIBRS",69216853,0
2019,11789386,30034,5,2019,"Z",17-MAR-20,"Y","F","C","2019_05_WI0330100_NIBRS",69216854,0
2019,11789387,30034,6,2019,"Z",17-MAR-20,"Y","F","C","2019_06_WI0330100_NIBRS",69216855,0
2019,11786679,30034,7,2019,"Z",17-MAR-20,"Y","F","C","2019_07_WI0330100_NIBRS",69212626,0
2019,11786680,30034,8,2019,"Z",17-MAR-20,"Y","F","C","2019_08_WI0330100_NIBRS",69212630,0
2019,11786682,30034,9,2019,"Z",17-MAR-20,"Y","F","C","2019_09_WI0330100_NIBRS",69208131,0
2019,11664632,30034,10,2019,"I",09-MAR-20,"Y","F","C","2019_10_WI0330100_NIBRS",67941630,0
2019,11786683,30034,11,2019,"Z",17-MAR-20,"Y","F","C","2019_11_WI0330100_NIBRS",69208133,0
2019,11664633,30034,12,2019,"I",09-MAR-20,"Y","F","C","2019_12_WI0330100_NIBRS",67941640,0
2019,8149582,26309,1,2019,"I",,"Y","G","C","2019_01_WI0132900_NIBRS",43184740,0
2019,8157244,26309,2,2019,"I",,"Y","G","C","2019_02_WI0132900_NIBRS",43184748,0
2019,8164906,26309,3,2019,"I",,"Y","G","C","2019_03_WI0132900_NIBRS",48063010,0
2019,8172568,26309,4,2019,"I",,"Y","G","C","2019_04_WI0132900_NIBRS",48063014,0
2019,8180230,26309,5,2019,"Z",,"Y","G","C","2019_05_WI0132900_NIBRS",69208118,0
2019,8187892,26309,6,2019,"I",,"Y","G","C","2019_06_WI0132900_NIBRS",65863618,0
2019,8195554,26309,7,2019,"I",,"Y","G","C","2019_07_WI0132900_NIBRS",52557093,0
2019,8203216,26309,8,2019,"I",,"Y","G","C","2019_08_WI0132900_NIBRS",65863619,0
2019,8210878,26309,9,2019,"I",,"Y","G","C","2019_09_WI0132900_NIBRS",65863620,0
