"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2016,7146607,21712,1,2016,"U",,"N","F","C","2016_01_WV0460000_NIBRS",,0
2016,7169391,21712,2,2016,"U",,"N","F","C","2016_02_WV0460000_NIBRS",,0
2016,7192175,21712,3,2016,"U",,"N","F","C","2016_03_WV0460000_NIBRS",,0
2016,7214959,21712,4,2016,"U",,"N","F","C","2016_04_WV0460000_NIBRS",,0
2016,7237743,21712,5,2016,"U",,"N","F","C","2016_05_WV0460000_NIBRS",,0
2016,7260527,21712,6,2016,"U",,"N","F","C","2016_06_WV0460000_NIBRS",,0
2016,7283311,21712,7,2016,"U",,"N","F","C","2016_07_WV0460000_NIBRS",,0
2016,7306095,21712,8,2016,"U",,"N","F","C","2016_08_WV0460000_NIBRS",,0
2016,7328879,21712,9,2016,"U",,"N","F","C","2016_09_WV0460000_NIBRS",,0
2016,7351663,21712,10,2016,"U",,"N","F","C","2016_10_WV0460000_NIBRS",,0
2016,7374447,21712,11,2016,"U",,"N","F","C","2016_11_WV0460000_NIBRS",,0
2016,7397231,21712,12,2016,"U",,"N","F","C","2016_12_WV0460000_NIBRS",,0
2016,7146228,21333,1,2016,"I",,"N","F","C","2016_01_WV0010000_NIBRS",,0
2016,7169012,21333,2,2016,"I",,"Y","F","C","2016_02_WV0010000_NIBRS",4802239,0
2016,7191796,21333,3,2016,"I",,"N","F","C","2016_03_WV0010000_NIBRS",2096738,0
2016,7214580,21333,4,2016,"I",,"Y","F","C","2016_04_WV0010000_NIBRS",23251854,0
2016,7237364,21333,5,2016,"I",,"N","F","C","2016_05_WV0010000_NIBRS",4802438,0
2016,7260148,21333,6,2016,"I",,"N","F","C","2016_06_WV0010000_NIBRS",2096627,0
2016,7282932,21333,7,2016,"I",,"N","F","C","2016_07_WV0010000_NIBRS",2096588,0
2016,7305716,21333,8,2016,"I",,"Y","F","C","2016_08_WV0010000_NIBRS",2096674,0
2016,7328500,21333,9,2016,"I",,"N","F","C","2016_09_WV0010000_NIBRS",4802388,0
2016,7351284,21333,10,2016,"I",,"N","F","C","2016_10_WV0010000_NIBRS",4802526,0
2016,7374068,21333,11,2016,"I",,"N","F","C","2016_11_WV0010000_NIBRS",2096923,0
2016,7396852,21333,12,2016,"I",,"Y","F","C","2016_12_WV0010000_NIBRS",4802339,0
2016,7146379,21484,1,2016,"I",,"N","F","C","2016_01_WV0200500_NIBRS",4838377,0
2016,7169163,21484,2,2016,"I",,"N","F","C","2016_02_WV0200500_NIBRS",20993104,0
2016,7191947,21484,3,2016,"I",,"Y","F","C","2016_03_WV0200500_NIBRS",20992842,0
2016,7214731,21484,4,2016,"I",,"N","F","C","2016_04_WV0200500_NIBRS",,0
2016,7237515,21484,5,2016,"I",,"N","F","C","2016_05_WV0200500_NIBRS",20992941,0
2016,7260299,21484,6,2016,"I",,"N","F","C","2016_06_WV0200500_NIBRS",20991802,0
2016,7283083,21484,7,2016,"I",,"N","F","C","2016_07_WV0200500_NIBRS",20992420,0
2016,7305867,21484,8,2016,"I",,"N","F","C","2016_08_WV0200500_NIBRS",20991981,0
2016,7328651,21484,9,2016,"I",,"N","F","C","2016_09_WV0200500_NIBRS",20992132,0
2016,7351435,21484,10,2016,"I",,"N","F","C","2016_10_WV0200500_NIBRS",4838492,0
2016,7374219,21484,11,2016,"I",,"N","F","C","2016_11_WV0200500_NIBRS",4838296,0
2016,7397003,21484,12,2016,"I",,"N","F","C","2016_12_WV0200500_NIBRS",4838215,0
2016,7146525,21630,1,2016,"I",,"N","F","C","2016_01_WV0350000_NIBRS",4808927,0
2016,7169309,21630,2,2016,"I",,"Y","F","C","2016_02_WV0350000_NIBRS",21085413,0
2016,7192093,21630,3,2016,"I",,"Y","F","C","2016_03_WV0350000_NIBRS",21085464,0
2016,7214877,21630,4,2016,"I",,"N","F","C","2016_04_WV0350000_NIBRS",21084670,0
2016,7237661,21630,5,2016,"I",,"N","F","C","2016_05_WV0350000_NIBRS",21085487,0
2016,7260445,21630,6,2016,"I",,"N","F","C","2016_06_WV0350000_NIBRS",21085545,0
2016,7283229,21630,7,2016,"I",,"N","F","C","2016_07_WV0350000_NIBRS",21084733,0
2016,7306013,21630,8,2016,"I",,"Y","F","C","2016_08_WV0350000_NIBRS",21084825,0
2016,7328797,21630,9,2016,"I",,"N","F","C","2016_09_WV0350000_NIBRS",21084883,0
2016,7351581,21630,10,2016,"I",,"Y","F","C","2016_10_WV0350000_NIBRS",21084758,0
2016,7374365,21630,11,2016,"I",,"Y","F","C","2016_11_WV0350000_NIBRS",21084781,0
2016,7397149,21630,12,2016,"I",,"Y","F","C","2016_12_WV0350000_NIBRS",4808832,0
2016,7146467,21572,1,2016,"I",,"N","F","C","2016_01_WV0280200_NIBRS",,0
2016,7169251,21572,2,2016,"I",,"N","F","C","2016_02_WV0280200_NIBRS",,0
2016,7192035,21572,3,2016,"I",,"Y","F","C","2016_03_WV0280200_NIBRS",20998886,0
2016,7214819,21572,4,2016,"I",,"N","F","C","2016_04_WV0280200_NIBRS",,0
2016,7237603,21572,5,2016,"I",,"Y","F","C","2016_05_WV0280200_NIBRS",20999249,0
2016,7260387,21572,6,2016,"I",,"Y","F","C","2016_06_WV0280200_NIBRS",20998938,0
2016,7283171,21572,7,2016,"I",,"Y","F","C","2016_07_WV0280200_NIBRS",20998251,0
2016,7305955,21572,8,2016,"I",,"Y","F","C","2016_08_WV0280200_NIBRS",23249508,0
2016,7328739,21572,9,2016,"I",,"Y","F","C","2016_09_WV0280200_NIBRS",23249566,0
2016,7351523,21572,10,2016,"I",,"Y","F","C","2016_10_WV0280200_NIBRS",20998454,0
2016,7374307,21572,11,2016,"I",,"Y","F","C","2016_11_WV0280200_NIBRS",20998618,0
2016,7397091,21572,12,2016,"I",,"Y","F","C","2016_12_WV0280200_NIBRS",20998516,0
2016,7146255,21360,1,2016,"I",,"N","F","C","2016_01_WV0050000_NIBRS",,0
2016,7169039,21360,2,2016,"I",,"Y","F","C","2016_02_WV0050000_NIBRS",21102943,0
2016,7191823,21360,3,2016,"I",,"N","F","C","2016_03_WV0050000_NIBRS",,0
2016,7214607,21360,4,2016,"I",,"Y","F","C","2016_04_WV0050000_NIBRS",856318,0
2016,7237391,21360,5,2016,"I",,"Y","F","C","2016_05_WV0050000_NIBRS",23252833,0
2016,7260175,21360,6,2016,"I",,"Y","F","C","2016_06_WV0050000_NIBRS",21103060,0
2016,7282959,21360,7,2016,"I",,"Y","F","C","2016_07_WV0050000_NIBRS",23252853,0
2016,7305743,21360,8,2016,"I",,"Y","F","C","2016_08_WV0050000_NIBRS",21103171,0
