"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,30187291,101539834,1,13-OCT-17,3,"N",27,5,35,"M",2,2,"R","","",35,0
2017,30187292,101539834,2,13-OCT-17,3,"N",39,5,31,"M",2,2,"R","","",31,0
2017,30187308,101544087,1,10-MAY-17,1,"N",16,5,29,"M",1,2,"R","","",29,0
2017,30182681,101544132,1,18-APR-17,1,"N",20,5,12,"F",1,2,"R","R","",12,0
2017,30178025,101540208,1,05-MAY-17,1,"C",16,5,25,"M",1,2,"R","","",25,0
2017,30178026,101540208,2,05-MAY-17,1,"C",16,5,49,"M",1,2,"R","","",49,0
2017,30178032,101546083,1,03-MAR-17,1,"C",16,5,47,"F",1,2,"R","","",47,0
2017,30178063,101546131,1,29-AUG-18,1,"N",23,5,34,"F",1,2,"N","","",34,0
2017,30187557,101540551,1,30-APR-17,1,"N",16,5,20,"F",2,2,"R","","",20,0
2017,30183014,101540603,1,14-OCT-17,1,"N",23,5,38,"M",1,2,"R","","",38,0
2017,30178273,101544821,1,09-JAN-18,2,"N",16,5,30,"F",2,2,"R","","",30,0
2017,30183105,101544949,1,20-MAY-17,3,"N",16,5,33,"M",1,,"","","",33,0
2017,30187096,101539004,2,13-MAY-17,2,"N",35,5,50,"F",1,2,"N","","",50,0
2017,30182413,101539004,1,13-MAY-17,1,"N",16,5,38,"M",1,2,"R","","",38,0
2017,30182420,101539036,1,18-MAY-17,1,"N",51,5,21,"M",1,2,"N","","",21,0
2017,30182438,101543449,1,22-DEC-17,2,"N",16,5,31,"M",1,2,"R","","",31,0
2017,30177772,101543518,2,27-MAY-17,1,"N",16,5,30,"M",1,2,"R","","",30,0
2017,30177771,101543518,1,27-MAY-17,3,"N",11,5,31,"M",1,2,"R","","",31,0
2017,30182468,101543542,1,15-AUG-17,2,"N",16,5,28,"M",1,2,"R","","",28,0
2017,30177785,101539228,1,18-AUG-17,2,"N",23,5,18,"M",1,2,"R","","",18,0
