"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2017,96636100,90847916,7,,
2017,96636206,90848022,6,,
2017,96636292,90848112,1,,
2017,96309696,90488286,4,,
2017,96309775,90488370,5,,
2017,96309933,90488539,6,,
2017,96309966,90488578,7,,
2017,96309986,90488599,6,,
2017,96310254,90488908,7,,
2017,96310487,90489141,7,,
2017,96310480,90489141,1,,
2017,96310636,90489318,5,,
2017,96310632,90489318,7,,
2017,96310890,90489590,7,,
2017,96310994,90489706,7,,
2017,96311043,90489773,5,,
2017,96311050,90489773,7,,
2017,96311284,90490027,3,,
2017,96311317,90490059,7,,
2017,96311354,90490096,6,,
2017,96311423,90490190,6,,
2017,96311452,90490218,6,,
2017,96311481,90490262,5,,
2017,96311486,90490262,7,,
2017,96311568,90490340,7,,
2017,96311869,90490698,4,,
2017,96311918,90490748,6,,
2017,96311945,90490787,4,,
2017,96311994,90490837,3,,
2017,96312131,90490982,7,,
2017,96312141,90490992,7,,
2017,96312203,90491052,7,,
2017,96312266,90491104,6,,
2017,96312275,90491119,7,,
2017,96312440,90491290,6,,
2017,96312465,90491329,2,,
2017,96312564,90491459,7,,
2017,96312567,90491465,6,,
2017,96312584,90491489,5,,
2017,96312582,90491489,7,,
2017,96312594,90491498,1,,
2017,96312708,90491643,7,,
2017,96312770,90491715,7,,
2017,96312824,90491781,5,,
2017,96312822,90491781,7,,
2017,96313095,90492090,7,1,
2017,96313137,90492144,5,,
2017,96313135,90492144,7,,
2017,96313194,90492219,7,,
2017,96313287,90492328,7,,
2017,96313409,90492475,7,,
2017,96313421,90492490,4,,
2017,96313488,90492591,7,,
2017,96313551,90492657,6,,
2017,96313575,90492689,7,,
2017,96313642,90492766,4,,
2017,96313661,90492801,7,,
2017,96313716,90492875,6,,
2017,95959096,90117726,6,,
2017,95959201,90117842,6,,
2017,95959889,90118563,6,,
2017,95959975,90118627,3,,
2017,106382817,101545918,6,,
2017,101477068,96166839,7,,
2017,101477281,96167072,7,,
2017,101477562,96167369,6,,
2017,101477766,96167580,6,,
2017,101477839,96167674,6,,
2017,101477990,96167845,1,,
2017,101478111,96167960,6,,
2017,101478167,96168030,7,,
2017,101478209,96168076,7,,
2017,101478334,96168224,7,,
2017,101478445,96168345,3,,
2017,101478541,96168442,7,1,
2017,101478538,96168442,5,,1
2017,101478650,96168571,6,,
2017,101478749,96168682,7,,
2017,95382961,89504752,6,,
2017,95383056,89504841,6,,
2017,95383074,89504870,6,,
2017,95383065,89504870,5,,
2017,95383078,89504870,7,,
2017,95383130,89504921,6,,
2017,95383190,89504985,6,,
2017,95383504,89505295,5,,1
2017,95383508,89505295,7,1,
2017,95383573,89505356,7,,
2017,95383659,89505457,7,,
2017,95383653,89505457,5,,
2017,95383730,89505516,7,,
2017,95384608,89506448,7,,
2017,95384723,89506599,7,,
2017,95384805,89506707,4,,
2017,95384906,89506815,6,,
2017,95385819,89507739,6,,
2017,95385886,89507816,7,,
2017,95386203,89508138,7,,
2017,95386214,89508153,4,,
2017,95386320,89508273,5,,
2017,95386583,89508539,4,,
2017,95387121,89509061,5,,
2017,95387423,89509354,4,,
2017,95387068,89509001,7,,
2017,95387123,89509061,7,,
2017,95387505,89509438,6,,
2017,95387608,89509530,7,,
2017,95387679,89509603,6,,
2017,95387892,89509805,7,,
2017,95388413,89510321,5,,
2017,95388418,89510321,7,,
2017,95388462,89510365,6,,
2017,95388678,89510570,7,,
2017,95388591,89510489,7,1,
2017,95388658,89510549,7,,
2017,95390423,89512186,7,,
2017,95391031,89512817,7,,
2017,95391191,89512983,7,,
2017,95391203,89512998,6,,
2017,95391391,89513229,6,,
2017,95391469,89513319,6,,
2017,95391682,89513540,7,,
2017,95391707,89513564,7,,
2017,95391726,89513585,7,,
2017,95391761,89513621,6,,
2017,95391968,89513840,7,,
2017,95391973,89513840,5,,
2017,95391985,89513859,7,,
2017,95391991,89513865,7,,
2017,95392051,89513918,7,,
2017,95392054,89513918,5,,
2017,95392143,89514006,7,,
2017,95392176,89514037,7,,
2017,95392245,89514108,4,,
2017,95392451,89514321,3,,
2017,95392511,89514375,5,,
2017,95392516,89514375,7,,
2017,95393071,89514983,6,,
2017,95393274,89515203,7,,
2017,95393370,89515319,6,,
2017,95393422,89515397,7,,
2017,95393468,89515455,7,,
2017,95393528,89515530,5,,
2017,95393530,89515530,7,,
2017,95393673,89515675,7,,
2017,95393702,89515708,7,,
2017,95393783,89515787,7,,
2017,95394076,89516091,7,,
2017,95394348,89516383,5,,1
2017,95394353,89516383,7,1,
2017,95394941,89517039,7,,
2017,95394948,89517039,5,,
2017,95395028,89517125,6,,
2017,95395217,89517307,7,,
2017,95397647,89519881,1,,
2017,95397747,89519984,6,,
2017,95397838,89520074,7,,
2017,95397855,89520099,7,,
2017,95397878,89520119,5,,
2017,95397879,89520119,7,,
2017,96305324,90483502,6,,
2017,96305504,90483704,7,,
2017,96305835,90484042,7,,
2017,96305957,90484184,6,,
2017,96306013,90484249,6,,
2017,96306042,90484279,6,,
2017,96306097,90484344,7,,
2017,96306387,90484665,7,,
2017,96306403,90484665,5,,
2017,96306601,90484886,6,,
2017,96306624,90484903,6,,
2017,96306756,90485058,6,,
2017,96307089,90485411,6,,
2017,96307125,90485453,1,,
2017,96307166,90485497,4,,
2017,96307293,90485639,5,,
