"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,106375080,38,30,,114075018
2017,106371606,63,1,,114082140
2017,106379500,22,0,,114075037
2017,106379500,20,7000,,114075038
2017,106375335,10,,,114082422
2017,106371874,10,,,114082440
2017,106375877,21,65,,114075815
2017,106375877,20,60,,114082923
2017,106380158,11,1,,114080418
2017,106380188,63,1000,,114082994
2017,106372423,63,1200,,114080459
2017,106372454,63,1,,114083041
2017,106372456,10,,,114080499
2017,106380230,63,1600,,114083049
2017,106372499,7,1000,,114083091
2017,106380266,26,650,,114076034
2017,106380266,13,2350,,114076033
2017,106376058,20,30,,114076042
2017,106376058,25,1,,114080569
2017,106380299,38,300,,114080607
2017,106380305,38,150,,114076087
2017,106380308,63,2050,,114080623
2017,106380308,7,1200,,114080624
2017,106380307,63,50,21-APR-17,114080619
2017,106376109,10,,,114076092
2017,106380307,7,1200,21-APR-17,114080621
2017,106380307,10,1,21-APR-17,114080620
2017,106376125,63,800,,114080636
2017,106376136,3,3000,,114076137
2017,106376152,29,100,,114076154
2017,106376156,20,50,,114080671
2017,106376156,8,5,,114080669
2017,106372581,38,1755,,114083179
2017,106372581,36,100,,114083180
2017,106372599,63,1,,114080730
2017,106380396,20,1,,114083205
2017,106376256,3,1,,114076277
2017,106380461,3,15000,,114080848
2017,106377885,68,1000,,114088197
2017,106381789,9,0,,114088201
2017,106384149,16,234,,114092672
2017,106378136,31,500,,114092694
2017,106384162,63,0,,114092695
2017,106384162,10,,,114092696
2017,106378142,10,,,114092703
2017,106378146,38,30,,114088464
2017,106378146,3,200,,114088463
2017,106382043,10,,,114092719
2017,106378194,3,1500,,114088517
2017,106375909,20,15,,114075859
2017,106375908,38,200,,114075857
2017,106372409,10,,,114080433
2017,106380181,10,,,114082988
2017,106380191,15,250,,114075908
2017,106380207,9,0,,114075935
2017,106375986,26,800,,114075957
2017,106380221,36,395,,114075966
2017,106380260,3,20000,,114076020
2017,106380270,3,1,,114080563
2017,106376067,36,2050,,114076052
2017,106376066,36,2050,11-JAN-17,114076049
2017,106376075,38,600,,114080583
2017,106380286,3,1,27-OCT-17,114080589
2017,106380287,11,1,,114080592
2017,106376090,36,600,,114076070
2017,106380302,9,0,,114080609
2017,106380302,20,80,,114080610
2017,106380344,63,100,,114080666
2017,106376158,10,,,114080672
2017,106380367,3,3000,,114080697
2017,106376175,8,136,,114076179
2017,106380372,9,0,,114083187
2017,106372594,7,300,,114083192
2017,106372594,20,40,,114083191
2017,106376191,21,10,,114076196
2017,106376191,63,0,,114076193
2017,106380386,9,0,22-JAN-17,114076192
2017,106376191,9,0,,114076194
2017,106376195,63,500,,114076199
2017,106376221,4,200,,114083218
2017,106372638,38,200,,114076271
2017,106372639,25,200,,114080799
2017,106372639,63,600,,114083240
2017,106372642,13,350,,114080801
2017,106372642,63,350,,114080800
2017,106372642,16,300,,114076276
2017,106380522,3,15000,,114083328
2017,106380545,8,30,,114083343
2017,106372745,10,,,114086433
2017,106372772,6,150,,114083370
2017,106376401,4,25,,114086485
2017,106372784,63,5,27-JUL-17,114083384
2017,106372785,6,5,,114083387
2017,106372784,6,5,27-JUL-17,114083385
2017,106372785,63,5,,114083386
2017,106376657,3,1,,114086799
2017,106376656,3,1,11-MAR-17,114086798
2017,106376707,3,15000,,114086850
2017,106376716,3,500,,114086859
2017,106373098,17,2000,,114083782
2017,106376896,63,40,,114091459
2017,106381055,63,57,,114091582
2017,106377056,63,6075,,114083996
2017,106377056,17,800,,114083997
2017,106373267,63,0,,114084016
2017,106373269,3,1,17-SEP-17,114084019
2017,106373302,3,1,,114084062
2017,106381145,10,,,114087377
2017,106381173,3,1,,114091728
2017,106377188,3,1,,114091745
2017,106381289,6,1350,,114084231
2017,106381289,17,4200,,114084232
2017,106381361,16,150,,114091990
2017,106381361,20,450,,114091992
2017,106381361,6,3020,,114087720
2017,106381361,17,1850,,114087722
2017,106381361,63,420,,114087724
2017,106381361,25,1890,,114087717
2017,106381361,26,100,,114087719
2017,106381361,13,300,,114084319
2017,106377775,10,,,114088082
2017,106377875,10,,,114088187
2017,106377890,3,1,,114092476
2017,106377916,63,30,,114088227
2017,106377942,19,241,,114088261
2017,106381838,63,280,,114088272
2017,106377954,63,280,26-AUG-17,114084813
2017,106381949,10,,,114092630
2017,106382005,63,5000,,114088445
2017,106384177,63,100,,114084975
2017,106378168,10,,,114084996
2017,106378168,20,1070,,114084997
2017,106378168,63,25,,114084995
2017,106382064,6,132,,114092751
2017,106378187,6,132,10-FEB-17,114088507
2017,106378188,10,,,114088509
2017,106378244,63,100,,114088569
2017,106384420,38,1,,114092957
2017,106384435,3,350,,114088733
2017,106380152,11,1,,114080411
2017,106375927,25,50,,114080424
2017,106380209,27,116,,114083016
2017,106380209,63,742,,114075936
2017,106380209,7,2066,,114080471
2017,106375967,20,260,,114075939
2017,106372448,23,200,,114080486
2017,106380214,63,360,27-JAN-17,114080481
2017,106375976,10,,,114080487
2017,106380214,23,200,27-JAN-17,114080482
2017,106372448,63,380,,114080485
2017,106375985,26,500,,114075956
