"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,12,96636200,0.4,1,8002682
2017,5,96636137,1,1,8002663
2017,5,95384865,1,1,7819653
2017,5,95385793,2,1,7819768
2017,5,95387024,4,1,7819990
2017,5,95387071,1,1,7819996
2017,4,95387209,0,1,7820023
2017,8,95387403,39,9,7820056
2017,5,95388089,0,1,7820191
2017,5,95388522,2,1,7820272
2017,5,95388552,0.5,1,7820277
2017,5,95390353,1,1,7820474
2017,16,95390414,8,9,7820480
2017,5,95390601,1,9,7820507
2017,5,95390753,12,1,7820542
2017,5,95391163,0,1,7820649
2017,15,95392212,19,9,7820938
2017,5,95392244,1,9,7820946
2017,1,95392244,16.6,1,7820945
2017,12,95392316,3,1,7820973
2017,5,95392373,2,1,7820995
2017,8,95393069,2,9,7821182
2017,5,95394085,1,11,7821365
2017,5,95394078,,,7821363
2017,8,95394144,1,11,7821382
2017,5,95394144,1,11,7821381
2017,12,95395006,2.4,1,7821452
2017,5,95395336,11,1,7821490
2017,1,95396790,6,1,7821677
2017,8,95396790,8,9,7821678
2017,12,95397177,1,1,7821714
2017,12,95397172,,,7821713
2017,12,95397390,0.001,1,7821737
2017,5,95397412,0,3,7821742
2017,12,95397412,0.001,1,7821741
2017,5,95397913,0,1,7821816
2017,5,95397913,1,11,7821817
2017,4,95398044,2,9,7821843
2017,4,95398085,5,9,7821849
2017,1,95959056,3.5,1,7905711
2017,4,95959076,1,1,7905726
2017,8,95959156,1,9,7905758
2017,12,95959173,4,9,7905767
2017,5,95959179,0.001,1,7905771
2017,4,95959206,0.05,1,7905789
2017,5,95959259,1,1,7905818
2017,5,95959885,2,1,7905983
2017,12,95960095,0.25,1,7906011
2017,8,95960104,1,9,7906020
2017,12,95960115,0.25,1,7906028
2017,5,95960140,10,1,7906041
2017,16,95960178,2,9,7906048
2017,5,95960276,4.35,1,7906063
2017,5,95960280,2.3,4,7906065
2017,12,96636193,0.4,1,8002675
2017,5,95378103,13,1,7818466
2017,8,95378389,,,7818509
2017,8,95378438,4,9,7818523
2017,12,95380692,2,1,7818795
2017,12,95381057,0.1,1,7818820
2017,4,95381266,0.65,1,7818840
2017,5,95381266,16.54,1,7818839
2017,4,95382442,0.5,1,7819075
2017,4,95383128,0.4,1,7819328
2017,5,95383862,1,1,7819517
2017,5,95384113,1,1,7819540
2017,5,95384207,1,1,7819551
2017,5,95384735,1,1,7819633
2017,12,95385837,1,1,7819783
2017,8,95385837,71,9,7819782
2017,4,95392101,0.1,1,7820919
2017,5,95392339,7,1,7820986
2017,6,95392999,1,9,7821148
2017,8,95393036,1,9,7821164
2017,5,95393276,2,1,7821242
2017,12,95393424,1,11,7821279
2017,8,95393574,1,11,7821292
2017,16,95393574,1,11,7821293
2017,2,95393574,1,11,7821291
2017,12,95394098,1,11,7821377
2017,12,95395581,1,1,7821550
2017,5,95392842,0,1,7821117
2017,8,95392976,1,9,7821141
2017,2,95393050,0,1,7821174
2017,8,95393095,1,9,7821193
