"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,105327306,10,
2017,108631291,1,
2017,107241327,1,
2017,104715834,1,
2017,104677694,1,
2017,104699803,1,
2017,108623291,10,
2017,96576037,1,
2017,98468035,9,
2017,96573724,10,
2017,96577750,1,
2017,108296533,1,
2017,98468268,1,
2017,96585952,9,
2017,96585952,1,
2017,105324937,1,
2017,107270114,10,
2017,111432231,6,
2017,104703423,1,
2017,104710123,9,
2017,105922613,9,
2017,111419853,10,
2017,105935930,1,
2017,104677903,9,
2017,104707223,9,
2017,108627287,6,
2017,107239769,10,
2017,105330558,9,
2017,108626320,1,
2017,104675578,1,
2017,104700420,9,
2017,105312921,1,
2017,107467189,1,
2017,111431703,1,
2017,104689474,1,
2017,98888376,1,
2017,98891293,10,
2017,97782217,10,
2017,105323743,1,
2017,105320122,9,
2017,104676866,1,
2017,104716468,10,
2017,104721311,17,
2017,104711423,1,
2017,104695635,1,
2017,108527234,6,
2017,108298645,10,
2017,108627755,9,
2017,111419243,1,
2017,104687042,1,
2017,111414791,1,
2017,108413148,1,
2017,97770701,1,
2017,98883034,9,
2017,98896104,6,
2017,98880532,1,
2017,96573767,10,
2017,108301079,3,
2017,105324692,1,
2017,105335919,1,
2017,105334521,10,
2017,107273679,9,
2017,107273679,1,
2017,107235823,10,
2017,105331641,1,
2017,98873434,1,
2017,97766135,10,
2017,97765804,1,
2017,97775604,1,
2017,97779756,1,
2017,111421523,9,
2017,105923945,1,
2017,104679140,10,
2017,104678897,1,
2017,104678891,1,
2017,104669675,10,
2017,104671233,9,
2017,104675103,1,
2017,104646272,1,
2017,104647778,9,
2017,104648004,1,
2017,104653974,1,
2017,104665130,1,
2017,105919170,1,
2017,107252844,10,
2017,104720674,1,
2017,107255015,10,
2017,104678387,1,
2017,108297114,1,
2017,97065983,1,
2017,108627795,9,
2017,108627992,1,
2017,97760177,1,
2017,98468281,10,
2017,96577898,1,
2017,105325543,1,
2017,105322008,10,
2017,105324598,1,
2017,105329476,10,
2017,105337092,9,
2017,105321179,10,
2017,105321367,9,
2017,105321376,9,
2017,105327860,1,
2017,105331883,1,
2017,104677895,9,
2017,104716880,1,
2017,111415100,1,
2017,104677181,1,
2017,104701001,9,
2017,104710150,6,
2017,104710849,1,
2017,104676117,10,
2017,111421602,9,
2017,104703381,1,
2017,108632521,9,
2017,108628160,10,
2017,107914914,1,
2017,107240246,9,
2017,108628152,1,
2017,104711389,6,
2017,108632127,6,
2017,108631847,9,
2017,104718142,9,
2017,105312923,2,
2017,105330609,9,
2017,106203199,2,
2017,104677654,1,
2017,104690608,1,
2017,104711672,1,
2017,98890759,10,
2017,98888555,1,
2017,98897086,10,
2017,98897777,1,
2017,98897777,6,
2017,98890914,1,
2017,98891083,9,
2017,98875100,1,
2017,105331560,9,
2017,105323747,1,
2017,107246986,1,
2017,111415306,1,
2017,105930007,1,
2017,104680871,9,
2017,104713796,9,
2017,104676260,1,
2017,104678427,1,
2017,107235733,9,
2017,111418991,6,
2017,104685289,2,
2017,104694747,1,
2017,104699363,1,
2017,108626068,6,
2017,108627769,2,
2017,104712156,1,
2017,98870640,1,
2017,98877143,1,
2017,98884297,10,
2017,98878504,6,
2017,98878504,1,
2017,98897419,1,
2017,98879207,1,
2017,98884729,1,
2017,98876601,1,
2017,98878578,9,
2017,97767479,1,
