"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2018,125164270,101532401,45,"C",7,,""
2018,125164273,101532404,45,"C",12,,""
2018,125175334,101532408,16,"C",20,,""
2018,125175335,101532408,44,"C",20,,""
2018,125167611,101532408,49,"C",20,,"N"
2018,125164279,101532412,16,"C",18,,""
2018,125167617,101532415,51,"C",20,,""
2018,125164283,101532415,16,"C",20,,""
2018,125175341,101530764,16,"C",20,,""
2018,125175343,101532417,51,"C",11,,""
2018,125164285,101532418,5,"C",20,,""
2018,125164289,101536114,16,"C",18,,""
2018,125164294,101532425,45,"C",12,,""
2018,125167623,101532427,5,"C",13,,""
2018,125164298,101532428,45,"C",20,,""
2018,125164296,101536115,16,"C",21,,""
2018,125164295,101536115,27,"C",21,,""
2018,125164297,101536115,5,"C",21,,""
2018,125167624,101532429,51,"C",13,,""
2018,125167625,101536117,37,"C",21,,""
2018,125175345,101536119,49,"C",20,,"N"
2018,125175348,101532434,14,"C",25,,""
2018,125164306,101536122,45,"C",25,,""
2018,125175350,101530768,23,"C",12,,""
2018,125167629,101532442,2,"C",12,,""
2018,125167635,101530775,16,"C",13,,""
2018,125164319,101536131,41,"C",7,,""
2018,125164321,101532455,28,"C",24,,""
2018,125175366,101532455,23,"C",24,,""
2018,125175371,101530777,44,"C",13,,""
2018,125164325,101530779,45,"C",20,,""
2018,125175374,101530782,51,"C",7,,""
2018,125167645,101536140,16,"C",14,,""
2018,125167644,101536140,5,"C",14,,""
2018,125167650,101536143,41,"C",25,,""
2018,125164336,101530788,45,"C",13,,""
2018,125175384,101532474,45,"C",13,,""
2018,125167655,101532472,20,"C",13,,""
2018,125167657,101532475,16,"C",13,,""
2018,125164341,101536152,23,"C",8,,""
2018,125164346,101530797,16,"C",13,,""
2018,125167672,101536158,16,"C",13,,""
2018,125164359,101530803,11,"C",7,,""
2018,125175394,101532497,16,"C",13,,""
2018,125167683,101530804,44,"C",20,,""
2018,125167685,101536162,44,"C",13,,""
2018,125167688,101530809,16,"C",20,,""
2018,125175402,101532509,7,"C",13,,""
2018,125164377,101532514,2,"C",20,,""
2018,125167697,101532514,5,"C",20,,""
2018,125164379,101536169,5,"C",10,,""
2018,125164378,101536169,45,"C",13,,""
2018,125175407,101532515,5,"C",18,,""
