"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,107944985,98472224,1,4,,,,5,53,"M",1,2,"R",53,0
2018,107945097,98472332,1,4,,,,5,57,"F",1,2,"R",57,0
2018,107945307,98472531,1,1,,,,,,"",,,"",,
2018,107945655,98472849,1,4,,,,5,54,"F",1,2,"R",54,0
2018,107945696,98472885,1,4,,,,5,54,"M",1,2,"R",54,0
2018,107945903,98473068,1,4,,,,5,14,"F",0,3,"R",14,0
2018,107946500,98473608,1,8,,,,,,"",,,"",,
2018,107949062,98475857,1,4,,,,5,25,"F",1,2,"R",25,0
2018,107950024,98476675,1,4,,,,4,,"U",0,3,"R",,
2018,107950073,98476711,1,4,,,,5,22,"F",1,2,"R",22,0
2018,107950277,98476889,1,4,,,,5,58,"F",1,2,"R",58,0
2018,107950554,98477135,1,4,,,,5,59,"M",1,,"",59,0
2018,107950589,98477171,1,4,,,,5,61,"M",2,,"",61,0
2018,107950683,98477250,1,4,,,,5,54,"M",0,,"",54,0
2018,107950766,98477332,1,8,,,,,,"",,,"",,
2018,107950811,98477367,1,4,,,,5,47,"M",1,,"",47,0
2018,107954067,98480251,1,4,,,,5,23,"F",1,2,"R",23,0
2018,108296417,98783427,1,4,,,,5,20,"M",1,2,"R",20,0
2018,108296570,98783576,1,4,,,,5,62,"M",1,2,"R",62,0
2018,108296627,98783632,1,8,,,,,,"",,,"",,
2018,108296713,98783718,1,8,,,,,,"",,,"",,
2018,108296772,98783771,1,8,,,,,,"",,,"",,
2018,108296798,98783794,1,4,,,,5,57,"M",2,2,"R",57,0
2018,108296837,98783832,1,1,,,,,,"",,,"",,
2018,108296841,98783839,1,8,,,,,,"",,,"",,
2018,108296956,98783941,1,4,,,,5,22,"F",1,3,"R",22,0
2018,108296949,98783935,1,8,,,,,,"",,,"",,
2018,108297027,98784011,1,8,,,,,,"",,,"",,
2018,108297049,98784031,1,4,,,,5,33,"F",1,3,"R",33,0
2018,108297064,98784045,1,4,,,,5,26,"F",1,2,"R",26,0
2018,108297100,98784078,1,4,,,,5,66,"M",1,2,"R",66,0
2018,108297133,98784106,2,4,,,,5,44,"F",1,2,"R",44,0
2018,108297127,98784106,1,4,,,,5,40,"M",1,2,"R",40,0
2018,108297191,98784158,1,4,,,,5,4,"M",0,3,"R",4,0
2018,108297348,98784301,1,1,,,,,,"",,,"",,
2018,108297365,98784315,1,4,,,,5,50,"F",1,2,"R",50,0
2018,108297397,98784344,1,4,,,,5,34,"F",1,2,"R",34,0
2018,108297414,98784360,1,4,,,,5,42,"F",1,2,"R",42,0
2018,108297437,98784382,1,4,,,,5,38,"M",1,2,"R",38,0
2018,108297528,98784466,1,1,,,,,,"",,,"",,
2018,108297542,98784480,1,4,,,,5,20,"F",2,2,"R",20,0
2018,108297547,98784483,1,4,,,,5,42,"M",1,2,"R",42,0
2018,108297576,98784510,2,4,,,,5,34,"F",2,3,"N",34,0
2018,108297587,98784521,1,1,,,,,,"",,,"",,
2018,108297610,98784538,1,4,,,,5,64,"M",1,3,"R",64,0
2018,108297623,98784550,1,1,,,,,,"",,,"",,
2018,108297625,98784552,1,8,,,,,,"",,,"",,
2018,108297745,98784665,1,1,,,,,,"",,,"",,
2018,108297773,98784691,1,4,,,,5,23,"M",0,3,"R",23,0
2018,108297819,98784734,1,4,,,,5,61,"M",1,2,"R",61,0
2018,108297838,98784753,1,4,,,,5,22,"F",1,2,"N",22,0
2018,108297868,98784783,1,4,,,,5,54,"F",1,2,"R",54,0
2018,108298029,98784921,2,4,,,,5,45,"F",1,2,"N",45,0
2018,108298007,98784905,1,4,,,,5,69,"M",1,2,"R",69,0
2018,108298021,98784921,1,1,,,,,,"",,,"",,
2018,108298036,98784931,1,4,,,,5,21,"M",1,2,"R",21,0
2018,108298050,98784939,1,4,,,,5,53,"M",1,2,"R",53,0
2018,108298073,98784960,1,4,,,,5,31,"F",1,2,"R",31,0
2018,108298132,98785009,1,4,,,,5,48,"M",1,2,"R",48,0
2018,108298202,98785071,1,4,,,,3,,"M",1,2,"N",,
2018,108298327,98785182,1,4,,,,5,35,"M",1,2,"N",35,0
2018,108298463,98785307,1,4,,,,5,25,"M",1,2,"R",25,0
2018,108298563,98785390,1,4,,,,5,70,"M",1,2,"R",70,0
2018,108298527,98785363,1,4,,,,5,61,"M",1,2,"R",61,0
2018,108298556,98785386,1,4,,,,5,60,"M",1,2,"R",60,0
2018,124854954,113257789,1,8,,,,,,"",,,"",,
2018,108298729,98785531,3,4,,,,5,50,"M",1,2,"N",50,0
2018,108298727,98785531,1,2,,,,,,"",,,"",,
2018,108298724,98785531,2,4,,,,5,40,"M",1,2,"N",35,45
2018,108298761,98785561,1,1,,,,,,"",,,"",,
2018,108298794,98785593,1,4,,,,5,34,"M",0,2,"N",34,0
2018,108298804,98785602,1,4,,,,5,47,"F",1,2,"R",47,0
2018,108298852,98785643,1,4,,,,5,26,"F",2,2,"R",26,0
2018,108298873,98785664,1,4,,,,5,16,"M",1,2,"R",16,0
2018,108299030,98785808,1,4,,,,4,,"M",0,3,"R",,
2018,108298947,98785736,1,8,,,,,,"",,,"",,
2018,108298965,98785754,2,4,,,,5,60,"F",1,2,"R",60,0
2018,108299062,98785838,1,1,,,,,,"",,,"",,
2018,108299107,98785885,1,4,,,,5,34,"F",1,2,"R",34,0
2018,108299151,98785926,1,8,,,,,,"",,,"",,
2018,108299210,98785982,1,8,,,,,,"",,,"",,
2018,108299329,98786094,1,4,,,,5,18,"F",1,2,"R",18,0
2018,124858114,113254018,1,4,,,,5,30,"F",1,2,"R",30,0
2018,124852787,113248887,1,4,,,,5,67,"F",1,2,"R",67,0
2018,124855143,113257955,1,8,,,,,,"",,,"",,
