"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,139986773,123054010,1,5,26,"M",2,,26,0
2019,139986808,123043683,0,,,"",,,,
2019,139948573,123054007,0,,,"",,,,
2019,139986782,123024213,0,,,"",,,,
2019,139986800,123024245,2,5,30,"F",1,,30,0
2019,139948606,123024245,1,5,23,"M",2,,23,0
2019,139978058,123054044,1,5,26,"F",1,,26,0
2019,139978061,123054044,2,5,27,"M",2,,27,0
2019,139948631,123024259,1,5,19,"F",1,,19,0
2019,139986852,123043704,1,5,38,"M",1,,38,0
2019,139978102,123024292,0,,,"",,,,
2019,139948664,123054105,1,4,,"U",0,,,
2019,139978121,123054130,1,5,25,"M",2,,25,0
2019,139986924,123054138,0,,,"",,,,
2019,139986949,123054167,1,5,35,"M",1,,35,0
2019,139987001,123054208,1,5,42,"M",1,,42,0
2019,139978204,123024447,0,,,"",,,,
2019,139978218,123043819,1,5,32,"M",1,,32,0
2019,139948849,123054260,1,5,43,"M",1,,43,0
2019,139987071,123054269,1,5,20,"M",2,,20,0
2019,139978254,123024485,1,5,41,"M",0,,41,0
2019,139948886,123054308,1,5,16,"M",1,,16,0
2019,139948934,123024548,1,5,24,"F",1,,24,0
2019,139978318,123043912,1,5,40,"M",1,,40,0
2019,139978332,123054381,1,5,30,"M",1,,30,0
2019,139987229,123054405,0,,,"",,,,
2019,139987239,123024601,1,5,22,"M",1,,22,0
2019,139949006,123054437,0,,,"",,,,
2019,139987292,123054464,1,5,28,"F",1,,28,0
2019,139987418,123054584,1,5,38,"M",1,,38,0
2019,139978613,123054676,1,5,38,"F",1,,38,0
2019,139987536,123054715,1,5,42,"F",1,,42,0
2019,139978660,123054723,0,,,"",,,,
2019,139987552,123054730,0,,,"",,,,
2019,139987632,123054818,2,5,27,"M",1,,27,0
2019,139949398,123054818,1,5,27,"F",1,,27,0
2019,139949420,123054836,0,,,"",,,,
2019,139987652,123025029,1,5,35,"M",1,,35,0
2019,139949455,123054861,0,,,"",,,,
2019,139949461,123025071,0,,,"",,,,
2019,139987705,123054892,0,,,"",,,,
2019,139978838,123054897,1,4,,"M",0,,,
2019,139978845,123054906,0,,,"",,,,
2019,139978859,123054917,0,,,"",,,,
2019,139978870,123054933,1,5,24,"M",1,,24,0
2019,139987759,123054956,1,5,52,"M",2,,52,0
2019,139949538,123054967,1,5,53,"M",1,,53,0
2019,139987874,123044442,0,,,"",,,,
2019,139949638,123025238,1,5,26,"M",1,,26,0
2019,139978988,123025244,1,5,28,"M",1,,28,0
2019,139979024,123055108,0,,,"",,,,
2019,139979042,123025314,1,4,,"U",0,,,
2019,139987960,123055123,1,5,32,"M",1,,32,0
2019,139949723,123044520,1,5,38,"M",1,,38,0
2019,139986819,123024255,1,5,22,"M",2,,22,0
2019,139986834,123054062,2,5,54,"M",1,,54,0
2019,139986830,123054062,1,5,55,"M",1,,55,0
2019,139978083,123024280,1,5,42,"M",1,,42,0
2019,139948670,123043727,1,5,45,"M",1,,45,0
2019,139986959,123043772,1,5,44,"M",1,,44,0
2019,139986970,123054186,1,5,42,"M",1,,42,0
2019,139948770,123054200,1,4,,"U",0,,,
2019,139948783,123054219,0,,,"",,,,
2019,139978196,123054221,1,5,50,"M",1,,50,0
2019,139978213,123043812,1,5,45,"M",1,,45,0
2019,139987079,123043840,1,5,29,"M",1,,29,0
2019,139978260,123054299,1,5,64,"M",1,,64,0
2019,139978271,123054317,1,5,38,"F",1,,38,0
2019,139948906,123024524,1,5,53,"M",1,,53,0
2019,139948917,123043876,1,5,49,"F",1,,49,0
2019,139987160,123054359,1,5,36,"M",1,,36,0
2019,139987177,123024568,1,5,44,"F",1,,44,0
2019,139978337,123054385,2,5,59,"M",1,,59,0
2019,139987197,123054385,1,5,30,"M",1,,30,0
2019,139978352,123054412,1,5,26,"F",2,,26,0
2019,139978360,123024607,0,,,"",,,,
2019,139949004,123054432,1,5,33,"M",1,,33,0
2019,139949032,123054473,1,5,32,"M",1,,32,0
2019,139987313,123054489,0,,,"",,,,
2019,139978429,123054496,1,4,,"M",0,,,
2019,139949073,123054515,1,5,23,"F",1,,23,0
2019,139978461,123054533,0,,,"",,,,
2019,139987363,123054541,0,,,"",,,,
2019,139949107,123054556,1,5,36,"F",1,,36,0
2019,139949110,123024740,1,5,31,"M",1,,31,0
2019,139987398,123054570,0,,,"",,,,
2019,139978507,123044052,1,5,19,"F",1,,19,0
2019,139978605,123054665,1,5,28,"F",1,,28,0
2019,139949281,123024901,1,5,53,"F",1,,53,0
2019,139978684,123054748,1,5,30,"M",2,,30,0
2019,139987583,123054760,0,,,"",,,,
2019,139949373,123054800,1,5,22,"M",1,,22,0
2019,139987626,123054812,1,5,29,"M",0,,29,0
2019,139987638,123054824,0,,,"",,,,
2019,139949418,123054833,0,,,"",,,,
2019,139978796,123054851,0,,,"",,,,
2019,139987676,123054857,1,5,25,"F",1,,25,0
2019,139978810,123044304,1,5,33,"M",2,,33,0
2019,139949485,123044326,0,,,"",,,,
2019,139987767,123054959,0,,,"",,,,
2019,139978909,123025156,0,,,"",,,,
2019,139987941,123044491,0,,,"",,,,
2019,139949726,123025329,2,5,28,"M",1,,28,0
2019,139949725,123025329,1,5,26,"M",1,,26,0
2019,139979124,123055194,1,5,45,"F",1,,45,0
2019,139988111,123055259,2,5,46,"M",2,,46,0
2019,139988110,123055259,1,5,29,"F",1,,29,0
2019,139988131,123055274,0,,,"",,,,
2019,139986747,123053986,2,5,32,"F",1,,32,0
2019,139986746,123053986,1,5,37,"F",1,,37,0
2019,139986748,123053986,3,5,44,"F",1,,44,0
2019,139986775,123054012,0,,,"",,,,
2019,139948591,123024221,0,,,"",,,,
2019,139978043,123024234,1,5,34,"M",2,,34,0
2019,139948605,123024244,1,5,29,"M",1,,29,0
2019,139978048,123024244,2,5,35,"M",1,,35,0
2019,139948567,123043664,2,5,41,"F",1,,41,0
2019,139948566,123043664,1,5,37,"M",1,,37,0
2019,139986761,123053999,1,5,36,"M",1,,36,0
2019,139986812,123043688,1,5,35,"M",2,,35,0
2019,139948632,123054057,1,5,27,"M",1,,27,0
2019,139948648,123054078,1,5,39,"M",0,,39,0
2019,139978092,123024285,0,,,"",,,,
2019,139978611,123054673,0,,,"",,,,
2019,139949264,123044155,1,5,27,"M",1,,27,0
2019,139978640,123054705,1,5,38,"F",1,,38,0
2019,139987544,123054721,0,,,"",,,,
2019,139978665,123054726,1,5,42,"M",1,,42,0
2019,139987566,123054743,2,5,17,"M",1,,17,0
2019,139987565,123054743,1,5,46,"M",1,,46,0
2019,139949326,123044197,1,5,29,"M",1,,29,0
2019,139949342,123024967,1,5,20,"M",1,,20,0
2019,139978739,123054796,1,5,42,"M",1,,42,0
2019,139987657,123054845,1,5,31,"F",1,,31,0
2019,139987697,123054875,1,4,,"M",1,,,
2019,139978839,123044324,0,,,"",,,,
2019,139987716,123054905,0,,,"",,,,
2019,139949491,123054910,0,,,"",,,,
2019,139949504,123054922,1,5,12,"M",1,,12,0
2019,139978869,123054931,0,,,"",,,,
2019,139987749,123054949,1,5,32,"M",1,,32,0
2019,139949549,123054975,1,5,31,"M",1,,31,0
2019,139949557,123054983,1,5,47,"F",1,,47,0
2019,139978999,123044473,1,5,41,"M",1,,41,0
2019,139986780,123054016,1,5,28,"M",1,,28,0
2019,139948614,123024250,1,5,44,"M",1,,44,0
2019,139986832,123054058,0,,,"",,,,
2019,139986875,123054095,1,5,23,"M",2,,23,0
2019,139948678,123054119,0,,,"",,,,
2019,139978131,123054137,1,5,16,"M",1,,16,0
2019,139948709,123043753,1,5,49,"M",2,,49,0
2019,139978140,123043753,2,5,36,"F",1,,36,0
2019,139948727,123024355,1,5,30,"F",1,,30,0
2019,139986960,123024371,0,,,"",,,,
2019,139987003,123043800,1,5,20,"M",1,,20,0
2019,139978189,123024398,0,,,"",,,,
2019,139987014,123054218,1,5,24,"M",1,,24,0
2019,139987027,123054232,0,,,"",,,,
2019,139987046,123054243,1,5,45,"M",1,,45,0
2019,139948845,123054254,0,,,"",,,,
2019,139948856,123054272,0,,,"",,,,
2019,139978247,123054284,1,5,37,"F",1,,37,0
2019,139987109,123043857,1,5,29,"M",1,,29,0
2019,139948930,123043880,1,5,47,"M",1,,47,0
2019,139987169,123054364,1,5,39,"F",1,,39,0
2019,139949102,123054548,0,,,"",,,,
2019,139978527,123054597,1,5,31,"M",1,,31,0
2019,139978548,123054611,1,5,17,"M",1,,17,0
2019,139978573,123054635,1,5,53,"F",1,,53,0
2019,139949221,123024845,1,5,22,"M",1,,22,0
2019,139978598,123054658,1,5,26,"M",1,,26,0
2019,139949235,123044132,1,5,41,"F",1,,41,0
2019,139949236,123044132,2,5,44,"M",1,,44,0
2019,139949243,123054677,1,5,22,"M",1,,22,0
2019,139949266,123054694,1,5,20,"M",1,,20,0
2019,139949275,123054704,0,,,"",,,,
2019,139949285,123024906,1,5,21,"M",1,,21,0
2019,139987571,123054754,1,5,34,"M",1,,34,0
