"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,130848838,23987443
2019,12,130859856,23985709
2019,12,141512724,27411458
2019,18,141512704,27411448
2019,12,141509747,27391031
2019,19,141509747,27391032
2019,3,141512949,27391034
2019,12,141512961,27411522
2019,12,141480741,27421821
2019,20,141513012,27411535
2019,12,141481133,27421861
2019,18,141516232,27421873
2019,12,141516244,27421874
2019,20,141510289,27391103
2019,3,141510370,27391130
2019,12,141516438,27421927
2019,20,141513919,27411691
2019,12,141513926,27421938
2019,12,141510406,27421942
2019,3,141516606,27421975
2019,5,141516672,27421985
2019,19,141510774,27421996
2019,12,141516755,27422001
2019,23,141510850,27391221
2019,23,141510849,27391220
2019,23,141510852,27391222
2019,20,141516795,27426796
2019,9,141510951,27391241
2019,3,141516905,27422036
2019,12,148889440,29679592
2019,20,148889450,29687791
2019,18,148880439,29687818
2019,12,148880439,29687817
2019,12,141509634,27391010
2019,3,148889591,29687827
2019,3,148880514,29687840
2019,12,148889771,29679655
2019,12,141512767,27411465
2019,20,141480656,27411479
2019,3,141512858,27411491
2019,12,141513575,27411604
2019,20,141513681,27411626
2019,12,141516264,27421877
2019,12,141516296,27391111
2019,10,141513736,27411637
2019,20,141516338,27421897
2019,12,141513835,27411666
2019,19,141513852,27411670
2019,20,141516419,27421921
2019,20,141516429,27421924
2019,20,141510379,27391134
2019,12,141513900,27411685
2019,20,141516451,27421933
2019,12,141513909,27411687
2019,4,141510436,27391146
2019,12,141516545,27421959
2019,12,141516550,27421961
2019,12,141510498,27391161
2019,18,141510738,27391199
2019,20,141516772,27422006
2019,12,141516849,27422022
2019,3,141514421,27426810
2019,20,141516920,27422041
2019,12,141517022,27422064
2019,20,141514551,27426847
2019,12,141521322,27422090
2019,4,141517198,27422093
2019,12,141517221,27422099
2019,12,141511039,27422056
2019,12,141517001,27422058
2019,20,141511076,27391256
2019,19,141516905,27422037
2019,12,141517047,27422069
2019,12,141514539,27422073
2019,12,141521182,27391275
2019,3,141521199,27391279
2019,12,141517123,27422082
2019,20,141521257,27391292
2019,19,141517237,27422103
2019,12,141521397,27422104
2019,12,141517248,27422105
2019,12,141514697,27426876
2019,12,141480613,27421790
2019,12,141480682,27391015
2019,12,141510198,27411575
2019,12,141516206,27411609
2019,3,141516234,27411617
